S.No.,Category,State/UT,Age_Below14_Total,Age_14_18_Total,Age_18_30_Total,Age_30_45_Total,Age_45_60_Total,Age_60Plus_Total,Total_All,year
1,State,ANDHRA PRADESH,572,770,4460,5761,3844,2005,17412,2015
2,State,ARUNACHAL PRADESH,21,31,113,135,54,15,369,2015
3,State,ASSAM,183,673,1436,1124,709,206,4331,2015
4,State,BIHAR,600,1181,3320,3064,1755,448,10368,2015
5,State,CHHATTISGARH,1289,1367,6077,5491,3704,1345,19273,2015
6,State,GOA,25,14,222,247,167,125,800,2015
7,State,GUJARAT,1114,1577,7661,9570,6161,2385,28468,2015
8,State,HARYANA,464,880,4285,4278,2497,869,13273,2015
9,State,HIMACHAL PRADESH,119,167,1060,1131,667,226,3370,2015
10,State,JAMMU & KASHMIR,44,74,565,783,406,40,1912,2015
11,State,JHARKHAND,173,383,1943,1739,1036,463,5737,2015
12,State,KARNATAKA,885,1174,8338,8403,5693,1911,26404,2015
13,State,KERALA,345,486,2012,2762,3376,2504,11485,2015
14,State,MADHYA PRADESH,3169,3984,12283,11689,6452,3052,40629,2015
15,State,MAHARASHTRA,3070,2836,15330,19677,15124,8529,64566,2015
16,State,MANIPUR,7,8,84,126,48,13,286,2015
17,State,MEGHALAYA,38,34,167,126,34,22,421,2015
18,State,MIZORAM,9,9,69,56,32,8,183,2015
19,State,NAGALAND,3,5,30,35,7,8,88,2015
20,State,ODISHA,404,1266,3486,3950,2530,951,12587,2015
21,State,PUNJAB,214,767,2792,3506,2335,810,10424,2015
22,State,RAJASTHAN,1043,2166,9254,9467,5069,1319,28318,2015
23,State,SIKKIM,13,9,70,62,37,19,210,2015
24,State,TAMIL NADU,966,1428,8809,10444,7823,4195,33665,2015
25,State,TELANGANA,549,719,3794,4978,3270,1299,14609,2015
26,State,TRIPURA,44,28,144,159,120,55,550,2015
27,State,UTTAR PRADESH,1529,3175,11871,11710,6444,2253,36982,2015
28,State,UTTARAKHAND,57,166,856,934,522,213,2748,2015
29,State,WEST BENGAL,544,922,4387,5038,3107,1154,15152,2015
30,UT,A & N ISLANDS,14,7,31,59,52,24,187,2015
31,UT,CHANDIGARH,14,36,62,80,53,21,266,2015
32,UT,D & N HAVELI,11,4,48,37,13,11,124,2015
33,UT,DAMAN & DIU,6,2,54,50,27,6,145,2015
34,UT,DELHI (UT),293,360,2381,2313,1199,355,6901,2015
35,UT,LAKSHADWEEP,0,0,1,3,3,0,7,2015
36,UT,PUDUCHERRY,30,28,169,332,426,222,1207,2015
37,State,ANDHRA PRADESH,528,839,4508,6396,3698,1839,17808,2016
38,State,ARUNACHAL PRADESH,19,31,148,182,63,13,456,2016
39,State,ASSAM,172,523,1616,1887,1032,285,5515,2016
40,State,BIHAR,985,1750,3301,2566,1465,504,10571,2016
41,State,CHHATTISGARH,1251,1075,5617,5078,3339,1754,18114,2016
42,State,GOA,30,15,226,212,161,124,768,2016
43,State,GUJARAT,993,1351,6813,9082,6571,2600,27410,2016
44,State,HARYANA,509,944,4688,4862,2943,1045,14991,2016
45,State,HIMACHAL PRADESH,79,130,932,1113,766,342,3362,2016
46,State,JAMMU & KASHMIR,36,100,655,691,252,31,1765,2016
47,State,JHARKHAND,223,731,2051,1833,1105,572,6515,2016
48,State,KARNATAKA,733,1045,6571,9005,6484,2391,26229,2016
49,State,KERALA,359,332,1912,2908,3663,2835,12009,2016
50,State,MADHYA PRADESH,3361,3743,11954,12064,7378,3506,42006,2016
51,State,MAHARASHTRA,3092,3116,15383,21392,16748,9371,69102,2016
52,State,MANIPUR,7,8,84,126,48,13,286,2016
53,State,MEGHALAYA,23,15,150,149,57,27,421,2016
54,State,MIZORAM,18,10,50,74,41,10,203,2016
55,State,NAGALAND,3,9,26,21,12,8,79,2016
56,State,ODISHA,433,838,3099,4227,2775,916,12288,2016
57,State,PUNJAB,215,539,2665,4261,2632,694,11006,2016
58,State,RAJASTHAN,925,2225,8882,9606,5309,1464,28411,2016
59,State,SIKKIM,10,6,96,90,63,25,290,2016
60,State,TAMIL NADU,813,1428,7613,10289,8328,4519,32990,2016
61,State,TELANGANA,386,904,3361,4889,2982,1058,13580,2016
62,State,TRIPURA,45,54,221,203,173,63,759,2016
63,State,UTTAR PRADESH,1658,3681,10673,10073,5743,2240,34068,2016
64,State,UTTARAKHAND,35,111,482,593,288,129,1638,2016
65,State,WEST BENGAL,509,1532,5469,5326,3155,1203,17194,2016
66,UT,A & N ISLANDS,12,7,31,68,78,46,242,2016
67,UT,CHANDIGARH,12,19,96,126,91,82,426,2016
68,UT,D & N HAVELI,4,10,41,34,27,3,119,2016
69,UT,DAMAN & DIU,11,2,53,58,34,13,171,2016
70,UT,DELHI (UT),175,338,2244,2386,1182,254,6579,2016
71,UT,LAKSHADWEEP,0,0,1,4,5,2,12,2016
72,UT,PUDUCHERRY,12,16,158,275,244,133,838,2016
73,State,ANDHRA PRADESH,443,1178,4388,5466,3956,1807,17238,2017
74,State,ARUNACHAL PRADESH,11,13,87,90,27,5,233,2017
75,State,ASSAM,155,655,1550,1479,721,230,4790,2017
76,State,BIHAR,1261,2243,3549,2797,1436,511,11797,2017
77,State,CHHATTISGARH,1366,1123,5125,5183,3589,1712,18098,2017
78,State,GOA,31,20,225,268,179,120,843,2017
79,State,GUJARAT,774,1393,6711,8016,5441,2206,24541,2017
80,State,HARYANA,368,807,4987,4894,3318,844,15218,2017
81,State,HIMACHAL PRADESH,100,134,1073,967,755,220,3249,2017
82,State,JAMMU & KASHMIR,32,101,479,518,195,29,1354,2017
