S.No.,State/UT,year,Road_Accidents_January,Road_Accidents_February,Road_Accidents_March,Road_Accidents_April,Road_Accidents_May,Road_Accidents_June,Road_Accidents_July,Road_Accidents_August,Road_Accidents_September,Road_Accidents_October,Road_Accidents_November,Road_Accidents_December,Road_Accidents_Total,Category
19,MADHYA PRADESH,2015,3401,3020,3541,3952,4033,3573,2991,3041,2978,3494,3444,3391,40859,State
20,MAHARASHTRA,2015,3571,3445,3657,3700,3992,3435,3283,3255,3267,3439,3423,3783,42250,State
21,MANIPUR,2015,43,57,66,62,64,55,42,38,47,58,63,73,668,State
22,MEGHALAYA,2015,47,32,27,31,38,25,42,37,35,38,33,36,421,State
23,MIZORAM,2015,10,9,6,7,5,7,5,3,5,1,7,6,71,State
24,NAGALAND,2015,3,1,3,4,2,4,5,4,3,6,2,5,42,State
25,ODISHA,2015,976,891,1000,904,929,940,772,726,750,784,864,1006,10542,State
26,PUDUCHERRY,2015,128,115,125,130,133,129,135,131,134,123,123,124,1530,UT
27,PUNJAB,2015,482,504,540,544,562,546,549,524,520,675,644,612,6702,State
28,RAJASTHAN,2015,1878,2023,2018,2125,2347,2117,1889,1803,1981,2020,2046,1825,24072,State
29,SIKKIM,2015,25,21,22,18,19,21,17,16,16,12,9,15,211,State
30,TAMIL NADU,2015,6056,5723,5848,5546,5944,5818,5519,5912,5956,5977,5406,5354,69059,State
31,TELANGANA,2015,1781,1704,1781,1840,2126,1754,1835,1616,1498,1752,1727,1838,21252,State
32,TRIPURA,2015,47,42,57,44,51,51,53,53,64,62,59,64,647,State
33,UTTAR PRADESH,2015,2646,2521,2438,2372,2508,2317,2047,2146,2064,2128,2286,2622,28095,State
34,UTTARAKHAND,2015,116,129,119,109,139,123,103,114,123,160,144,144,1523,State
35,WEST BENGAL,2015,1538,1361,1490,1415,1599,1593,1429,1336,1461,1545,1479,1460,17706,State
36,ANDAMAN AND NICOBAR ISLANDS,2016,19,15,23,24,25,13,19,26,19,15,21,19,238,UT
37,ANDHRA PRADESH,2016,2033,1940,2106,2182,2011,1843,1843,2064,1813,1929,1892,2002,23658,State
38,ARUNACHAL PRADESH,2016,32,29,22,15,13,22,23,8,12,21,14,16,227,State
