S.No.,Category,State/UT,Road_Accidents_0000_hrs_to_0300_hrs_Night,Road_Accidents_0300_hrs_to_0600_hrs_Night,Road_Accidents_0600_hrs_to_0900_hrs_Day,Road_Accidents_0900_hrs_to_1200_hrs_Day,Road_Accidents_1200_hrs_to_1500_hrs_Day,Road_Accidents_1500_hrs_to_1800_hrs_Day,Road_Accidents_1800_hrs_to_2100_hrs_Night,Road_Accidents_2100_hrs_to_2400_hrs_Night,Road_Accidents_Total,year
68,UT,D & N HAVELI,1,1,5,8,10,15,16,14,70,2016
69,UT,DAMAN & DIU,2,0,6,5,8,5,13,4,43,2016
70,UT,DELHI (UT),769,738,799,881,970,962,1123,1133,7375,2016
71,UT,LAKSHADWEEP,0,0,0,0,0,0,0,1,1,2016
72,UT,PUDUCHERRY,180,142,191,185,189,300,360,216,1763,2016
73,State,ANDHRA PRADESH,1320,1636,2695,3225,3599,3817,3883,2281,22456,2017
74,State,ARUNACHAL PRADESH,1,3,7,22,23,31,34,6,127,2017
75,State,ASSAM,441,537,864,1226,1030,1131,919,657,6805,2017
76,State,BIHAR,430,841,1545,1776,1283,1398,1103,479,8855,2017
77,State,CHHATTISGARH,644,1138,1701,2047,2233,2402,2385,1013,13563,2017
78,State,GOA,284,227,337,561,617,753,685,456,3920,2017
79,State,GUJARAT,1172,1190,2152,2863,2732,3144,3364,2014,18631,2017
80,State,HARYANA,911,1177,1433,1459,1545,1678,2038,1441,11682,2017
81,State,HIMACHAL PRADESH,176,164,387,477,413,532,577,385,3111,2017
82,State,JAMMU & KASHMIR,166,286,533,915,1226,1246,786,285,5443,2017
83,State,JHARKHAND,335,373,696,888,816,785,875,430,5198,2017
84,State,KARNATAKA,2450,2650,4948,6543,6786,7534,7137,4494,42542,2017
85,State,KERALA,897,1730,6165,6871,6211,8056,6751,1789,38470,2017
86,State,MADHYA PRADESH,1962,1748,4626,7831,8683,9085,9410,5245,48590,2017
87,State,MAHARASHTRA,1874,1999,3012,4265,4370,4806,5034,3463,28823,2017
88,State,MANIPUR,4,17,50,99,124,124,117,51,586,2017
89,State,MEGHALAYA,31,27,30,33,41,31,54,39,286,2017
90,State,MIZORAM,4,5,11,11,9,10,10,5,65,2017
91,State,NAGALAND,2,1,6,11,11,11,13,5,60,2017
92,State,ODISHA,953,1068,1122,1481,1601,1753,1707,1170,10855,2017
93,State,PUNJAB,428,451,827,807,931,972,1132,774,6322,2017
94,State,RAJASTHAN,923,1154,2180,3257,3937,4382,4057,2222,22112,2017
95,State,SIKKIM,13,8,17,20,36,29,30,18,171,2017
96,State,TAMIL NADU,2308,3613,7897,9402,9404,11666,14486,6786,65562,2017
97,State,TELANGANA,1210,1239,2162,3188,3250,4174,4688,2573,22484,2017
98,State,TRIPURA,11,22,43,101,76,111,88,52,504,2017
99,State,UTTAR PRADESH,3026,3351,4387,4801,4717,4848,5489,3960,34579,2017
100,State,UTTARAKHAND,113,107,165,205,231,265,264,230,1580,2017
101,State,WEST BENGAL,827,1215,1588,2072,2069,2020,1992,1527,13310,2017
102,UT,A & N ISLANDS,3,7,20,27,33,41,39,19,189,2017
103,UT,CHANDIGARH,23,11,56,77,37,59,42,31,336,2017
104,UT,D & N HAVELI,1,1,3,5,11,19,17,10,67,2017
105,UT,DAMAN & DIU,6,0,5,7,15,16,16,14,79,2017
106,UT,DELHI (UT),747,701,724,730,802,871,1037,1060,6672,2017
107,UT,LAKSHADWEEP,0,0,0,0,0,1,1,0,2,2017
108,UT,PUDUCHERRY,88,84,220,241,254,278,307,221,1693,2017
109,State,ANDHRA PRADESH,1241,1462,2309,2933,3229,3705,4007,2122,21008,2018
110,State,ARUNACHAL PRADESH,12,12,18,28,30,63,43,23,229,2018
111,State,ASSAM,385,721,999,1166,985,1225,1002,697,7180,2018
112,State,BIHAR,477,1131,1714,1851,1483,1329,1065,550,9600,2018
113,State,CHHATTISGARH,673,721,1571,1859,2183,2643,2924,1291,13865,2018
114,State,GOA,279,212,389,564,538,632,648,448,3710,2018
115,State,GUJARAT,1182,1101,1929,2862,2990,3129,3271,1950,18414,2018
116,State,HARYANA,883,1053,1360,1535,1733,1661,1923,1504,11652,2018
117,State,HIMACHAL PRADESH,143,106,246,419,462,577,733,433,3119,2018
118,State,JAMMU & KASHMIR,232,338,509,999,1182,1276,979,482,5997,2018
119,State,JHARKHAND,243,304,762,953,830,976,883,443,5394,2018
120,State,KARNATAKA,2137,2465,4411,6069,6428,7355,8238,4604,41707,2018
121,State,KERALA,914,1075,4736,7396,6182,8011,8382,3485,40181,2018
122,State,MADHYA PRADESH,2432,2166,4282,7376,8329,8641,8988,5255,47469,2018
123,State,MAHARASHTRA,2088,2187,2945,3961,4453,4809,5351,3946,29740,2018
124,State,MANIPUR,36,31,59,82,96,116,130,52,602,2018
125,State,MEGHALAYA,24,16,18,37,38,48,43,34,258,2018
126,State,MIZORAM,3,5,6,6,7,12,7,4,50,2018
127,State,NAGALAND,3,4,5,3,6,10,8,11,50,2018
