S.No.,Category,State/UT,Road_Accidents_January,Road_Accidents_February,Road_Accidents_March,Road_Accidents_April,Road_Accidents_May,Road_Accidents_June,Road_Accidents_July,Road_Accidents_August,Road_Accidents_September,Road_Accidents_October,Road_Accidents_November,Road_Accidents_December,Road_Accidents_Total,year
26,State,TRIPURA,70,62,47,38,59,54,50,55,50,50,63,57,655,2019
27,State,UTTAR PRADESH,3570,3160,3347,2995,3462,3345,2858,2761,2574,2829,3279,3357,37537,2019
28,State,UTTARAKHAND,121,117,104,97,128,137,123,108,85,101,101,130,1352,2019
29,State,WEST BENGAL,935,965,947,904,951,932,1142,1018,1015,1129,1106,1189,12233,2019
31,UT,A & NISLANDS,17,14,29,25,14,23,22,14,15,18,20,19,230,2019
32,UT,CHANDIGARH,30,21,22,22,25,26,25,36,14,27,29,27,304,2019
33,UT,D & N HAVELI,7,6,6,6,6,8,3,5,4,9,5,3,68,2019
34,UT,DAMAN & DIU,3,6,7,8,5,5,7,5,9,3,1,4,63,2019
35,UT,DELHI (UT),524,469,522,445,480,485,469,412,422,455,469,449,5601,2019
36,UT,LAKSHADWEEP,0,1,0,0,0,0,0,0,0,0,0,0,1,2019
37,UT,PUDUCHERRY,127,105,118,108,114,125,118,125,124,111,105,112,1392,2019
1,State,ANDHRA PRADESH,1888,1894,1522,485,1044,1338,1235,1410,1578,1749,1862,1919,17924,2020
2,State,ARUNACHAL PRADESH,19,20,17,4,9,4,10,4,6,16,23,27,159,2020
3,State,ASSAM,832,824,658,148,358,513,407,446,507,617,680,747,6737,2020
4,State,BIHAR,781,866,731,404,523,792,660,679,753,674,803,973,8639,2020
5,State,CHHATTISGARH,1382,1269,951,309,716,932,957,923,875,1027,1170,1163,11674,2020
6,State,GOA,341,317,196,83,156,156,129,144,156,183,242,272,2375,2020
7,State,GUJARAT,1536,1538,1231,347,667,956,959,972,1087,1284,1377,1453,13407,2020
8,State,HARYANA,894,939,774,215,511,742,803,850,830,995,974,979,9506,2020
9,State,HIMACHAL PRADESH,189,190,173,48,118,138,224,217,213,280,222,223,2235,2020
10,State,JHARKHAND,429,466,405,92,183,397,312,339,351,426,483,522,4405,2020
11,State,KARNATAKA,3774,3651,3026,804,2260,2660,2332,2797,2844,2996,3356,3678,34178,2020
12,State,KERALA,3991,3776,2881,447,1368,2022,1755,1740,2005,2312,2595,2907,27799,2020
13,State,MADHYA PRADESH,4521,4335,3505,852,2100,3534,3497,3465,3561,4131,4599,4296,42396,2020
14,State,MAHARASHTRA,2540,2389,1945,584,1201,1516,1407,1635,1720,2139,2355,2780,22211,2020
15,State,MANIPUR,56,64,53,12,28,23,33,20,30,27,43,43,432,2020
16,State,MEGHALAYA,28,22,16,3,12,14,11,8,16,16,25,34,205,2020
17,State,MIZORAM,7,6,3,2,2,1,4,2,3,2,5,10,47,2020
18,State,NAGALAND,3,0,5,1,3,3,1,1,1,0,5,4,27,2020
19,State,ODISHA,1056,956,801,265,583,757,725,736,844,934,971,1189,9817,2020
20,State,PUNJAB,491,507,415,146,318,357,437,401,443,554,599,505,5173,2020
21,State,RAJASTHAN,1945,2044,1646,369,941,1468,1667,1621,1671,1853,1982,1914,19121,2020
22,State,SIKKIM,17,12,11,1,7,5,6,6,4,14,12,13,108,2020
23,State,TAMIL NADU,4675,4407,3790,688,2373,2985,3323,4275,4577,4799,4828,4764,45484,2020
24,State,TELANGANA,2005,2078,1595,454,1279,1349,1418,1461,1535,1694,2030,2274,19172,2020
25,State,TRIPURA,58,56,50,8,24,35,28,30,39,40,40,58,466,2020
26,State,UTTAR PRADESH,3028,2938,2260,1039,1680,2092,2143,2366,2332,2612,3027,3136,28653,2020
27,State,UTTARAKHAND,118,108,88,12,49,65,74,79,105,109,108,135,1050,2020
28,State,WEST BENGAL,1214,1155,1028,257,408,740,830,844,952,1147,1152,1116,10843,2020
29,Union Territories,A & N ISLANDS,27,21,12,0,14,10,12,3,11,10,8,13,141,2020
30,Union Territories,CHANDIGARH,17,17,11,4,9,7,16,17,12,18,14,15,157,2020
31,Union Territories,D & N HAVELI AND DAMAN & DIU,14,9,3,2,5,6,9,9,10,11,11,9,98,2020
32,Union Territories,DELHI (UT),492,407,390,99,171,261,356,371,382,472,380,406,4187,2020
33,Union Territories,JAMMU & KASHMIR,361,440,356,147,321,386,408,465,468,536,520,453,4861,2020
34,Union Territories,LADAKH,5,5,7,2,6,11,20,15,16,30,20,2,139,2020
35,Union Territories,LAKSHADWEEP,0,0,0,0,0,0,0,1,0,0,0,0,1,2020
36,Union Territories,PUDUCHERRY,132,133,98,17,35,63,66,65,92,86,86,96,969,2020
1,State,ANDHRA PRADESH,2120,1845,1906,1703,1233,1594,1792,1968,1815,1924,1649,2007,21556,2021
2,State,ARUNACHAL PRADESH,24,29,19,24,14,15,14,20,25,27,19,31,261,2021
3,State,ASSAM,687,757,709,648,488,393,426,520,526,605,665,645,7069,2021
4,State,BIHAR,848,888,839,835,795,811,724,689,732,752,817,823,9553,2021
5,State,CHHATTISGARH,1493,1319,1246,589,523,929,1052,1090,1005,1057,1068,1024,12395,2021
6,State,GOA,301,235,285,210,131,169,199,212,227,252,287,342,2850,2021
7,State,GUJARAT,1459,1308,1446,1005,990,1232,1198,1271,1159,1343,1379,1410,15200,2021
8,State,HARYANA,810,830,949,876,515,787,812,779,802,1018,949,922,10049,2021
9,State,HIMACHAL PRADESH,209,175,197,205,107,173,213,221,196,254,240,218,2408,2021
