S.No.,State/UT,Year,National Highways - Died,State Highways - Died,Expressways - Died,Other Roads - Died,Total - Died
112,Chhattisgarh,2018,1306,1075,0,2212,4593
113,Dadra and Nagar Haveli and Daman and Diu,2018,0,22,0,68,90
114,Delhi,2018,264,110,0,1360,1734
115,Goa,2018,121,22,0,121,264
116,Gujarat,2018,2116,2427,94,3403,8040
117,Haryana,2018,1963,1334,37,2095,5429
118,Himachal Pradesh,2018,418,218,0,441,1077
119,Jammu and Kashmir,2018,400,119,0,467,986
120,Jharkhand,2018,1141,1217,55,1129,3542
121,Karnataka,2018,3936,3084,0,3970,10990
122,Kerala,2018,1248,876,0,2179,4303
123,Lakshadweep,2018,0,0,0,1,1
124,Madhya Pradesh,2018,2637,3432,0,5358,11427
125,Maharashtra,2018,3867,3951,107,5938,13863
126,Manipur,2018,79,29,0,27,135
127,Meghalaya,2018,107,29,14,46,196
128,Mizoram,2018,26,28,0,8,62
129,Nagaland,2018,20,6,0,9,35
130,Odisha,2018,1996,1329,25,1886,5236
131,Puducherry,2018,120,43,0,63,226
132,Punjab,2018,1760,1332,34,1612,4738
133,Rajasthan,2018,3762,1874,19,4665,10320
134,Sikkim,2018,11,32,0,28,71
135,Tamil Nadu,2018,4492,4285,0,3439,12216
136,Telangana,2018,1894,1299,1,3409,6603
137,Tripura,2018,83,66,0,63,212
138,Uttar Pradesh,2018,6928,6375,764,8474,22541
139,Uttarakhand,2018,602,285,0,186,1073
140,West Bengal,2018,2004,1405,63,1997,5469
141,Andaman and Nicobar Islands,2019,7,5,0,8,20
142,Andhra Pradesh,2019,2997,2080,0,2907,7984
143,Arunachal Pradesh,2019,37,38,0,34,109
144,Assam,2019,1479,717,0,1049,3245
145,Bihar,2019,3403,1854,0,1948,7205
146,Chandigarh,2019,13,0,0,91,104
147,Chhattisgarh,2019,1455,1146,0,2402,5003
148,Dadra and Nagar Haveli and Daman and Diu,2019,0,28,0,50,78
149,Delhi,2019,271,187,0,1050,1508
150,Goa,2019,121,29,0,149,299
151,Gujarat,2019,1942,2164,42,3280,7428
152,Haryana,2019,1829,1274,104,2062,5269
153,Himachal Pradesh,2019,451,211,0,462,1124
154,Jammu and Kashmir,2019,364,118,0,527,1009
155,Jharkhand,2019,1511,987,66,1237,3801
156,Karnataka,2019,3826,3179,0,3946,10951
157,Kerala,2019,1290,1040,0,2040,4370
158,Lakshadweep,2019,0,0,0,0,0
159,Madhya Pradesh,2019,3165,3299,0,5392,11856
160,Maharashtra,2019,5083,3813,167,5545,14608
161,Manipur,2019,111,35,0,10,156
162,Meghalaya,2019,104,24,0,48,176
163,Mizoram,2019,25,29,0,9,63
164,Nagaland,2019,11,3,0,8,22
165,Odisha,2019,2107,1483,64,1679,5333
166,Puducherry,2019,120,19,0,8,147
167,Punjab,2019,1670,1146,15,1782,4613
168,Rajasthan,2019,3891,2004,91,4577,10563
169,Sikkim,2019,27,25,0,32,84
170,Tamil Nadu,2019,3921,3423,0,3181,10525
171,Telangana,2019,2384,958,0,3622,6964
172,Tripura,2019,105,70,0,64,239
173,Uttar Pradesh,2019,7187,6385,761,8952,23285
