S.No.,State/UT,year,Road_Accidents_0000_hrs_to_0300_hrs_Night,Road_Accidents_0300_hrs_to_0600_hrs_Night,Road_Accidents_0600_hrs_to_0900_hrs_Day,Road_Accidents_0900_hrs_to_1200_hrs_Day,Road_Accidents_1200_hrs_to_1500_hrs_Day,Road_Accidents_1500_hrs_to_1800_hrs_Day,Road_Accidents_1800_hrs_to_2100_hrs_Night,Road_Accidents_2100_hrs_to_2400_hrs_Night,Road_Accidents_Total,Category
66,TELANGANA,2016,1607,1931,2276,2975,3239,3956,4139,2688,22811,State
67,TRIPURA,2016,4,9,66,124,101,93,103,57,557,State
68,UTTAR PRADESH,2016,2628,3139,4064,4040,3752,4536,5160,3289,30608,State
69,UTTARAKHAND,2016,65,219,352,216,196,237,136,124,1545,State
70,WEST BENGAL,2016,1125,1419,2133,2016,2666,2856,2815,1919,16949,State
71,ANDAMAN AND NICOBAR ISLANDS,2017,3,7,20,27,33,41,39,19,189,UT
72,ANDHRA PRADESH,2017,1320,1636,2695,3225,3599,3817,3883,2281,22456,State
73,ARUNACHAL PRADESH,2017,1,3,7,22,23,31,34,6,127,State
74,ASSAM,2017,441,537,864,1226,1030,1131,919,657,6805,State
75,BIHAR,2017,430,841,1545,1776,1283,1398,1103,479,8855,State
76,CHANDIGARH,2017,23,11,56,77,37,59,42,31,336,UT
77,CHHATTISGARH,2017,644,1138,1701,2047,2233,2402,2385,1013,13563,State
78,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2017,7,1,8,12,26,35,33,24,146,UT
79,DELHI,2017,747,701,724,730,802,871,1037,1060,6672,UT
80,GOA,2017,284,227,337,561,617,753,685,456,3920,State
81,GUJARAT,2017,1172,1190,2152,2863,2732,3144,3364,2014,18631,State
82,HARYANA,2017,911,1177,1433,1459,1545,1678,2038,1441,11682,State
83,HIMACHAL PRADESH,2017,176,164,387,477,413,532,577,385,3111,State
84,JAMMU AND KASHMIR,2017,166,286,533,915,1226,1246,786,285,5443,UT
85,JHARKHAND,2017,335,373,696,888,816,785,875,430,5198,State
86,KARNATAKA,2017,2450,2650,4948,6543,6786,7534,7137,4494,42542,State
87,KERALA,2017,897,1730,6165,6871,6211,8056,6751,1789,38470,State
88,LAKSHADWEEP,2017,0,0,0,0,0,1,1,0,2,UT
89,MADHYA PRADESH,2017,1962,1748,4626,7831,8683,9085,9410,5245,48590,State
90,MAHARASHTRA,2017,1874,1999,3012,4265,4370,4806,5034,3463,28823,State
91,MANIPUR,2017,4,17,50,99,124,124,117,51,586,State
92,MEGHALAYA,2017,31,27,30,33,41,31,54,39,286,State
93,MIZORAM,2017,4,5,11,11,9,10,10,5,65,State
94,NAGALAND,2017,2,1,6,11,11,11,13,5,60,State
95,ODISHA,2017,953,1068,1122,1481,1601,1753,1707,1170,10855,State
96,PUDUCHERRY,2017,88,84,220,241,254,278,307,221,1693,UT
97,PUNJAB,2017,428,451,827,807,931,972,1132,774,6322,State
98,RAJASTHAN,2017,923,1154,2180,3257,3937,4382,4057,2222,22112,State
99,SIKKIM,2017,13,8,17,20,36,29,30,18,171,State
100,TAMIL NADU,2017,2308,3613,7897,9402,9404,11666,14486,6786,65562,State
101,TELANGANA,2017,1210,1239,2162,3188,3250,4174,4688,2573,22484,State
102,TRIPURA,2017,11,22,43,101,76,111,88,52,504,State
103,UTTAR PRADESH,2017,3026,3351,4387,4801,4717,4848,5489,3960,34579,State
104,UTTARAKHAND,2017,113,107,165,205,231,265,264,230,1580,State
105,WEST BENGAL,2017,827,1215,1588,2072,2069,2020,1992,1527,13310,State
106,ANDAMAN AND NICOBAR ISLANDS,2018,6,10,35,38,40,48,52,25,254,UT
107,ANDHRA PRADESH,2018,1241,1462,2309,2933,3229,3705,4007,2122,21008,State
108,ARUNACHAL PRADESH,2018,12,12,18,28,30,63,43,23,229,State
109,ASSAM,2018,385,721,999,1166,985,1225,1002,697,7180,State
110,BIHAR,2018,477,1131,1714,1851,1483,1329,1065,550,9600,State
111,CHANDIGARH,2018,19,10,52,73,33,52,43,35,317,UT
112,CHHATTISGARH,2018,673,721,1571,1859,2183,2643,2924,1291,13865,State
113,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2018,8,2,9,20,19,27,41,25,151,UT
114,DELHI,2018,793,675,738,745,731,817,1059,959,6517,UT
115,GOA,2018,279,212,389,564,538,632,648,448,3710,State
116,GUJARAT,2018,1182,1101,1929,2862,2990,3129,3271,1950,18414,State
117,HARYANA,2018,883,1053,1360,1535,1733,1661,1923,1504,11652,State
118,HIMACHAL PRADESH,2018,143,106,246,419,462,577,733,433,3119,State
119,JAMMU AND KASHMIR,2018,232,338,509,999,1182,1276,979,482,5997,UT
120,JHARKHAND,2018,243,304,762,953,830,976,883,443,5394,State
121,KARNATAKA,2018,2137,2465,4411,6069,6428,7355,8238,4604,41707,State
122,KERALA,2018,914,1075,4736,7396,6182,8011,8382,3485,40181,State
123,LAKSHADWEEP,2018,0,0,0,0,1,1,1,0,3,UT
124,MADHYA PRADESH,2018,2432,2166,4282,7376,8329,8641,8988,5255,47469,State
125,MAHARASHTRA,2018,2088,2187,2945,3961,4453,4809,5351,3946,29740,State
126,MANIPUR,2018,36,31,59,82,96,116,130,52,602,State
127,MEGHALAYA,2018,24,16,18,37,38,48,43,34,258,State
128,MIZORAM,2018,3,5,6,6,7,12,7,4,50,State
129,NAGALAND,2018,3,4,5,3,6,10,8,11,50,State
130,ODISHA,2018,680,780,1174,1584,1718,1993,2207,1126,11262,State
131,PUDUCHERRY,2018,58,88,230,301,151,297,346,126,1597,UT
132,PUNJAB,2018,504,566,818,813,773,881,1257,812,6424,State
133,RAJASTHAN,2018,1112,1281,2150,3116,3565,4123,4184,2212,21743,State
134,SIKKIM,2018,14,11,10,23,26,31,35,19,169,State
135,TAMIL NADU,2018,2450,3319,7657,9384,9478,11171,14238,6223,63920,State
136,TELANGANA,2018,1043,1183,2372,3196,3442,4249,4485,2260,22230,State
137,TRIPURA,2018,15,7,51,79,88,111,119,81,551,State
138,UTTAR PRADESH,2018,3468,3305,4289,4885,4590,5179,6300,4839,36855,State
139,UTTARAKHAND,2018,107,138,196,178,175,237,260,178,1469,State
140,WEST BENGAL,2018,979,1137,1379,1720,1795,1794,1688,1335,11827,State
141,ANDAMAN AND NICOBAR ISLANDS,2019,9,3,26,39,42,43,42,26,230,UT
142,ANDHRA PRADESH,2019,858,1206,2311,2864,3261,3679,4425,2073,20677,State
143,ARUNACHAL PRADESH,2019,12,12,17,24,24,52,43,16,200,State
144,ASSAM,2019,443,548,958,1481,1244,1420,1122,839,8055,State
145,BIHAR,2019,566,1665,1627,1630,1201,1485,1255,578,10007,State
146,CHANDIGARH,2019,16,7,46,36,39,43,65,52,304,UT
147,CHHATTISGARH,2019,563,632,1515,2107,2226,2598,2882,1376,13899,State
148,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2019,9,3,6,8,24,32,25,24,131,UT
149,DELHI,2019,521,482,645,708,669,735,946,895,5601,UT
150,GOA,2019,245,150,306,528,563,595,635,418,3440,State
151,GUJARAT,2019,906,808,1643,2586,2576,2750,3396,1838,16503,State
152,HARYANA,2019,740,927,1281,1477,1552,1738,1946,1276,10937,State
153,HIMACHAL PRADESH,2019,136,91,220,372,430,575,679,393,2896,State
154,JAMMU AND KASHMIR,2019,191,250,531,1088,1182,1145,935,473,5795,UT
155,JHARKHAND,2019,317,499,708,828,837,804,809,415,5217,State
156,KARNATAKA,2019,1870,2052,4319,6026,6590,7164,8197,4426,40644,State
157,KERALA,2019,1063,1394,4866,7312,6199,7862,7962,3286,39944,State
158,LAKSHADWEEP,2019,0,0,0,1,0,0,0,0,1,UT
159,MADHYA PRADESH,2019,2720,2467,4936,7616,8884,9284,9767,5967,51641,State
160,MAHARASHTRA,2019,2047,2040,2694,3771,4107,4509,4801,3317,27286,State
161,MANIPUR,2019,14,16,81,101,127,127,143,63,672,State
162,MEGHALAYA,2019,17,22,25,28,33,39,36,36,236,State
163,MIZORAM,2019,3,7,3,9,4,12,9,10,57,State
164,NAGALAND,2019,0,1,3,6,5,5,5,1,26,State
165,ODISHA,2019,1023,1193,1399,1367,1359,1456,1485,1782,11064,State
166,PUDUCHERRY,2019,180,185,180,190,201,190,114,152,1392,UT
167,PUNJAB,2019,347,414,705,824,867,967,1215,977,6316,State
168,RAJASTHAN,2019,1048,1200,2503,3395,4022,4702,4369,2239,23478,State
169,SIKKIM,2019,5,6,11,28,37,33,41,11,172,State
170,TAMIL NADU,2019,2008,2781,6768,8190,8109,9971,13143,6258,57228,State
171,TELANGANA,2019,1124,991,2227,3105,3260,4131,4489,2243,21570,State
172,TRIPURA,2019,13,8,59,128,133,149,114,51,655,State
173,UTTAR PRADESH,2019,3612,3701,4401,4953,4962,5476,5823,4609,37537,State
174,UTTARAKHAND,2019,115,116,152,185,209,202,200,173,1352,State
175,WEST BENGAL,2019,944,992,1345,1821,1742,1990,1979,1420,12233,State
176,ANDAMAN AND NICOBAR ISLANDS,2020,1,3,10,14,28,29,41,15,141,UT
177,ANDHRA PRADESH,2020,483,966,2242,2776,2748,3476,3793,1440,17924,State
178,ARUNACHAL PRADESH,2020,7,4,15,22,24,34,34,19,159,State
179,ASSAM,2020,495,577,726,1205,1114,1087,915,618,6737,State
180,BIHAR,2020,422,837,1100,1599,1093,1829,1178,581,8639,State
181,CHANDIGARH,2020,8,6,15,12,14,24,40,38,157,UT
182,CHHATTISGARH,2020,598,738,1225,1808,2083,2228,2082,912,11674,State
183,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2020,3,2,8,10,16,22,17,20,98,UT
184,DELHI,2020,446,340,470,558,454,533,655,731,4187,UT
185,GOA,2020,175,95,208,372,338,413,463,311,2375,State
186,GUJARAT,2020,777,808,1476,2035,2207,2272,2616,1216,13407,State
187,HARYANA,2020,547,800,1110,1216,1299,1453,1876,1205,9506,State
188,HIMACHAL PRADESH,2020,101,47,190,283,292,471,545,306,2235,State
189,JAMMU AND KASHMIR,2020,99,156,618,941,1051,1049,797,289,5000,UT
190,JHARKHAND,2020,213,266,575,827,817,698,664,345,4405,State
191,KARNATAKA,2020,1835,1921,3459,5098,5630,5774,6914,3547,34178,State
192,KERALA,2020,630,958,3517,5141,4216,5635,5690,2012,27799,State
193,LAKSHADWEEP,2020,0,0,0,0,0,1,0,0,1,UT
194,MADHYA PRADESH,2020,1994,1731,3672,5860,7190,7994,9008,4947,42396,State
195,MAHARASHTRA,2020,1442,1299,2301,3058,3369,3712,4365,2665,22211,State
