S.No.,State/UT,Year,0000 hrs to 0300 hrs (Night),0300 hrs to 0600 hrs (Night),0600 hrs to 0900 hrs (Day),0900 hrs to 1200 hrs (Day),1200 hrs to 1500 hrs (Day),1500 hrs to 1800 hrs (Day),1800 hrs to 2100 hrs (Night),2100 hrs to 2400 hrs (Night)
96,Puducherry,2017,88,84,220,241,254,278,307,221
97,Punjab,2017,428,451,827,807,931,972,1132,774
98,Rajasthan,2017,923,1154,2180,3257,3937,4382,4057,2222
99,Sikkim,2017,13,8,17,20,36,29,30,18
100,Tamil Nadu,2017,2308,3613,7897,9402,9404,11666,14486,6786
101,Telangana,2017,1210,1239,2162,3188,3250,4174,4688,2573
102,Tripura,2017,11,22,43,101,76,111,88,52
103,Uttar Pradesh,2017,3026,3351,4387,4801,4717,4848,5489,3960
104,Uttarakhand,2017,113,107,165,205,231,265,264,230
105,West Bengal,2017,827,1215,1588,2072,2069,2020,1992,1527
106,Andaman and Nicobar Islands,2018,6,10,35,38,40,48,52,25
107,Andhra Pradesh,2018,1241,1462,2309,2933,3229,3705,4007,2122
108,Arunachal Pradesh,2018,12,12,18,28,30,63,43,23
109,Assam,2018,385,721,999,1166,985,1225,1002,697
110,Bihar,2018,477,1131,1714,1851,1483,1329,1065,550
111,Chandigarh,2018,19,10,52,73,33,52,43,35
112,Chhattisgarh,2018,673,721,1571,1859,2183,2643,2924,1291
113,Dadra and Nagar Haveli and Daman and Diu,2018,8,2,9,20,19,27,41,25
114,Delhi,2018,793,675,738,745,731,817,1059,959
115,Goa,2018,279,212,389,564,538,632,648,448
116,Gujarat,2018,1182,1101,1929,2862,2990,3129,3271,1950
117,Haryana,2018,883,1053,1360,1535,1733,1661,1923,1504
118,Himachal Pradesh,2018,143,106,246,419,462,577,733,433
119,Jammu and Kashmir,2018,232,338,509,999,1182,1276,979,482
120,Jharkhand,2018,243,304,762,953,830,976,883,443
121,Karnataka,2018,2137,2465,4411,6069,6428,7355,8238,4604
122,Kerala,2018,914,1075,4736,7396,6182,8011,8382,3485
123,Lakshadweep,2018,0,0,0,0,1,1,1,0
124,Madhya Pradesh,2018,2432,2166,4282,7376,8329,8641,8988,5255
125,Maharashtra,2018,2088,2187,2945,3961,4453,4809,5351,3946
126,Manipur,2018,36,31,59,82,96,116,130,52
127,Meghalaya,2018,24,16,18,37,38,48,43,34
128,Mizoram,2018,3,5,6,6,7,12,7,4
129,Nagaland,2018,3,4,5,3,6,10,8,11
130,Odisha,2018,680,780,1174,1584,1718,1993,2207,1126
131,Puducherry,2018,58,88,230,301,151,297,346,126
132,Punjab,2018,504,566,818,813,773,881,1257,812
133,Rajasthan,2018,1112,1281,2150,3116,3565,4123,4184,2212
134,Sikkim,2018,14,11,10,23,26,31,35,19
135,Tamil Nadu,2018,2450,3319,7657,9384,9478,11171,14238,6223
136,Telangana,2018,1043,1183,2372,3196,3442,4249,4485,2260
137,Tripura,2018,15,7,51,79,88,111,119,81
138,Uttar Pradesh,2018,3468,3305,4289,4885,4590,5179,6300,4839
139,Uttarakhand,2018,107,138,196,178,175,237,260,178
140,West Bengal,2018,979,1137,1379,1720,1795,1794,1688,1335
141,Andaman and Nicobar Islands,2019,9,3,26,39,42,43,42,26
142,Andhra Pradesh,2019,858,1206,2311,2864,3261,3679,4425,2073
143,Arunachal Pradesh,2019,12,12,17,24,24,52,43,16
144,Assam,2019,443,548,958,1481,1244,1420,1122,839
145,Bihar,2019,566,1665,1627,1630,1201,1485,1255,578
146,Chandigarh,2019,16,7,46,36,39,43,65,52
147,Chhattisgarh,2019,563,632,1515,2107,2226,2598,2882,1376
148,Dadra and Nagar Haveli and Daman and Diu,2019,9,3,6,8,24,32,25,24
149,Delhi,2019,521,482,645,708,669,735,946,895
150,Goa,2019,245,150,306,528,563,595,635,418
151,Gujarat,2019,906,808,1643,2586,2576,2750,3396,1838
152,Haryana,2019,740,927,1281,1477,1552,1738,1946,1276
153,Himachal Pradesh,2019,136,91,220,372,430,575,679,393
154,Jammu and Kashmir,2019,191,250,531,1088,1182,1145,935,473
155,Jharkhand,2019,317,499,708,828,837,804,809,415
156,Karnataka,2019,1870,2052,4319,6026,6590,7164,8197,4426
157,Kerala,2019,1063,1394,4866,7312,6199,7862,7962,3286
