S.No.,State/UT,Year,Truck/Lorry/Mini Truck - Died,Bus - Died,SUV/Car/Jeep - Died,Tractor - Died,Three Wheeler/Auto Rickshaw - Died,Two Wheeler - Died,Other Motor Vehicles - Died
111,Chandigarh,2018,4,2,67,0,15,7,6
112,Chhattisgarh,2018,910,191,657,257,81,1730,767
113,Dadra and Nagar Haveli and Daman and Diu,2018,31,2,11,0,6,33,7
114,Delhi,2018,272,109,491,5,94,498,265
115,Goa,2018,9,3,29,0,0,184,39
116,Gujarat,2018,1321,249,1955,123,524,2955,913
117,Haryana,2018,869,180,1312,149,194,1493,1232
118,Himachal Pradesh,2018,121,106,490,45,5,259,51
119,Jammu and Kashmir,2018,128,116,317,25,26,215,159
120,Jharkhand,2018,388,334,711,68,357,1573,111
121,Karnataka,2018,1153,740,1945,232,568,5020,1332
122,Kerala,2018,235,214,517,6,213,2052,1066
123,Lakshadweep,2018,0,0,0,0,0,1,0
124,Madhya Pradesh,2018,1521,649,2119,661,273,4277,1927
125,Maharashtra,2018,2020,544,2249,278,620,6389,1763
126,Manipur,2018,40,4,30,0,5,39,17
127,Meghalaya,2018,65,5,65,1,17,33,10
128,Mizoram,2018,10,11,21,0,8,10,2
129,Nagaland,2018,12,0,18,0,1,3,1
130,Odisha,2018,658,190,753,90,312,2143,1090
131,Puducherry,2018,1,5,8,0,4,99,109
132,Punjab,2018,489,260,1269,59,260,1932,469
133,Rajasthan,2018,1504,631,2986,551,208,2983,1457
134,Sikkim,2018,14,0,49,0,1,6,1
135,Tamil Nadu,2018,1938,1471,3068,105,274,3965,1395
136,Telangana,2018,881,426,1271,237,433,2828,527
137,Tripura,2018,18,3,49,0,14,63,65
138,Uttar Pradesh,2018,5295,1989,5568,913,1190,6474,1112
139,Uttarakhand,2018,124,154,396,23,7,260,109
140,West Bengal,2018,1738,526,904,226,178,1174,723
141,Andaman and Nicobar Islands,2019,0,1,0,0,0,13,6
142,Andhra Pradesh,2019,1043,469,1298,277,729,3012,1156
143,Arunachal Pradesh,2019,32,0,37,3,1,30,6
144,Assam,2019,299,285,894,41,187,1362,177
145,Bihar,2019,1116,551,1177,262,561,2981,557
