S.No.,State/UT,year,Deaths_Natural,Deaths_Other_Causes,Deaths_Total,Population_Lakh,Category
36,ANDAMAN AND NICOBAR ISLANDS,2016,1,241,242,5.5,UT
37,ANDHRA PRADESH,2016,426,17382,17808,517.4,State
38,ARUNACHAL PRADESH,2016,47,409,456,13.2,State
39,ASSAM,2016,544,4971,5515,325.8,State
40,BIHAR,2016,1057,9514,10571,1043.0,State
41,CHANDIGARH,2016,4,422,426,18.0,UT
42,CHHATTISGARH,2016,305,17809,18114,259.9,State
43,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2016,0,290,290,7.6,UT
44,DELHI,2016,6,6573,6579,214.9,UT
45,GOA,2016,0,768,768,19.9,State
46,GUJARAT,2016,127,27283,27410,630.8,State
47,HARYANA,2016,604,14387,14991,276.1,State
48,HIMACHAL PRADESH,2016,84,3278,3362,71.2,State
49,JAMMU AND KASHMIR,2016,280,1485,1765,124.6,UT
50,JHARKHAND,2016,757,5758,6515,338.0,State
51,KARNATAKA,2016,96,26133,26229,625.7,State
52,KERALA,2016,29,11980,12009,357.5,State
53,LAKSHADWEEP,2016,0,12,12,0.8,UT
54,MADHYA PRADESH,2016,899,41107,42006,782.6,State
55,MAHARASHTRA,2016,482,68620,69102,1205.5,State
56,MANIPUR,2016,0,286,286,26.0,State
57,MEGHALAYA,2016,18,403,421,27.8,State
58,MIZORAM,2016,11,192,203,10.7,State
59,NAGALAND,2016,0,79,79,23.9,State
60,ODISHA,2016,467,11821,12288,425.9,State
61,PUDUCHERRY,2016,0,838,838,16.8,UT
62,PUNJAB,2016,298,10708,11006,292.0,State
63,RAJASTHAN,2016,195,28216,28411,732.8,State
64,SIKKIM,2016,5,285,290,6.5,State
65,TAMIL NADU,2016,48,32942,32990,695.2,State
66,TELANGANA,2016,292,13288,13580,368.5,State
67,TRIPURA,2016,21,738,759,38.4,State
68,UTTAR PRADESH,2016,1307,32761,34068,2192.4,State
69,UTTARAKHAND,2016,54,1584,1638,106.8,State
70,WEST BENGAL,2016,220,16974,17194,938.3,State
71,ANDAMAN AND NICOBAR ISLANDS,2017,1,186,187,3.9,UT
72,ANDHRA PRADESH,2017,346,16892,17238,517.5,State
73,ARUNACHAL PRADESH,2017,29,204,233,14.8,State
74,ASSAM,2017,99,4691,4790,336.7,State
75,BIHAR,2017,1089,10708,11797,1165.5,State
76,CHANDIGARH,2017,1,299,300,11.6,UT
77,CHHATTISGARH,2017,353,17745,18098,280.8,State
78,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2017,2,304,306,8.600000000000001,UT
79,DELHI,2017,0,4911,4911,191.8,UT
80,GOA,2017,0,843,843,15.2,State
81,GUJARAT,2017,205,24336,24541,663.9,State
82,HARYANA,2017,161,15057,15218,280.0,State
83,HIMACHAL PRADESH,2017,167,3082,3249,72.2,State
84,JAMMU AND KASHMIR,2017,127,1227,1354,133.2,UT
85,JHARKHAND,2017,319,5794,6113,365.1,State
86,KARNATAKA,2017,122,23496,23618,649.3,State
87,KERALA,2017,143,11665,11808,348.2,State
88,LAKSHADWEEP,2017,0,6,6,0.7,UT
89,MADHYA PRADESH,2017,583,40028,40611,803.3,State
90,MAHARASHTRA,2017,478,64159,64637,1202.5,State
91,MANIPUR,2017,5,273,278,30.5,State
92,MEGHALAYA,2017,32,445,477,11.7,State
93,MIZORAM,2017,2,214,216,31.7,State
94,NAGALAND,2017,1,83,84,21.1,State
95,ODISHA,2017,931,13395,14326,433.7,State
96,PUDUCHERRY,2017,0,1552,1552,14.5,UT
97,PUNJAB,2017,154,9679,9833,294.6,State
98,RAJASTHAN,2017,198,27634,27832,755.8,State
99,SIKKIM,2017,13,281,294,6.5,State
100,TAMIL NADU,2017,94,27999,28093,751.1,State
101,TELANGANA,2017,259,11293,11552,367.8,State
102,TRIPURA,2017,28,711,739,39.2,State
103,UTTAR PRADESH,2017,897,33863,34760,2200.4,State
104,UTTARAKHAND,2017,64,1517,1581,109.3,State
105,WEST BENGAL,2017,240,14869,15109,958.9,State
106,ANDAMAN AND NICOBAR ISLANDS,2018,0,183,183,4.0,UT
107,ANDHRA PRADESH,2018,210,16599,16809,520.3,State
108,ARUNACHAL PRADESH,2018,35,304,339,14.9,State
109,ASSAM,2018,225,5031,5256,340.4,State
110,BIHAR,2018,1082,11635,12717,1183.3,State
111,CHANDIGARH,2018,0,242,242,11.7,UT
112,CHHATTISGARH,2018,238,18601,18839,284.7,State
