Sl. No.,Category,State/UT/City,Truck/Lorry - Offenders,Truck/Lorry - Victims,Truck/Lorry - Total,Bus - Offenders,Bus - Victims,Bus - Total,SUV/Station Wagon/etc. - Offenders,SUV/Station Wagon/etc. - Victims,SUV/Station Wagon/etc. - Total,Car - Offenders,Car - Victims,Car - Total,Jeep - Offenders,Jeep - Victims,Jeep - Total,Tractor - Offenders,Tractor - Victims,Tractor - Total,Three Wheeler/Auto Rickshaw - Offenders,Three Wheeler/Auto Rickshaw - Victims,Three Wheeler/Auto Rickshaw - Total,Two Wheeler - Offenders,Two Wheeler - Victims,Two Wheeler - Total,Other Motor Vehicles - Offenders,Other Motor Vehicles - Victims,Other Motor Vehicles - Total,Bicycle - Offenders,Bicycle - Victims,Bicycle - Total,Hand Drawn Vehicle/Cycle Rickshaw - Offenders,Hand Drawn Vehicle/Cycle Rickshaw - Victims,Hand Drawn Vehicle/Cycle Rickshaw - Total,Animal Drawn Vehicle - Offenders,Animal Drawn Vehicle - Victims,Animal Drawn Vehicle - Total,Pedestrian - Offenders,Pedestrian - Victims,Pedestrian - Total,Others - Offenders,Others - Victims,Others - Total,Grand Total - Offenders,Grand Total - Victims,Grand Total - Total
1,State,Andhra Pradesh,373,727,1100,101,340,441,12,112,124,223,488,711,14,28,42,95,261,356,195,515,710,1698,1139,2837,43,218,261,44,37,81,0,0,0,4,12,16,89,583,672,70,163,233,2961,4623,7584
2,State,Arunachal Pradesh,22,14,36,0,1,1,22,8,30,28,10,38,2,1,3,1,4,5,1,1,2,14,7,21,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,117,46,163
3,State,Assam,190,215,405,67,146,213,140,69,209,154,320,474,5,4,9,10,35,45,58,83,141,328,452,780,31,39,70,77,28,105,0,0,0,0,0,0,20,159,179,13,69,82,1093,1619,2712
4,State,Bihar,587,358,945,535,206,741,307,169,476,416,202,618,418,41,459,132,69,201,332,202,534,1528,741,2269,14,25,39,77,7,84,2,0,2,1,0,1,95,182,277,31,52,83,4475,2254,6729
5,State,Chhattisgarh,373,537,910,71,120,191,42,105,147,205,199,404,29,77,106,81,176,257,39,42,81,1029,701,1730,77,189,266,60,41,101,2,6,8,1,0,1,27,190,217,100,74,174,2136,2457,4593
6,State,Goa,3,6,9,0,3,3,1,2,3,7,17,24,0,2,2,0,0,0,0,0,0,91,93,184,0,0,0,0,3,3,0,0,0,0,0,0,4,32,36,0,0,0,106,158,264
7,State,Gujarat,312,1009,1321,43,206,249,67,326,393,301,940,1241,79,242,321,24,99,123,119,405,524,881,2074,2955,26,54,80,24,84,108,5,0,5,1,1,2,7,660,667,10,41,51,1899,6141,8040
8,State,Haryana,184,685,869,15,165,180,18,227,245,134,823,957,11,99,110,14,135,149,27,167,194,432,1061,1493,52,132,184,11,60,71,2,7,9,2,24,26,46,640,686,88,168,256,1036,4393,5429
9,State,Himachal Pradesh,39,82,121,14,92,106,24,22,46,126,209,335,37,72,109,32,13,45,2,3,5,156,103,259,4,1,5,2,5,7,0,3,3,0,1,1,1,30,31,1,3,4,438,639,1077
10,State,Jammu & Kashmir,66,62,128,59,57,116,28,50,78,106,125,231,3,5,8,9,16,25,11,15,26,127,88,215,58,35,93,0,0,0,0,0,0,0,0,0,6,52,58,2,6,8,475,511,986
