Sl. No.,Category,State/UT/City,National Highways - Cases,National Highways - Injured,National Highways - Died,State Highways - Cases,State Highways - Injured,State Highways - Died,Expressways - Cases,Expressways - Injured,Expressways - Died,Other Roads - Cases,Other Roads - Injured,Other Roads - Died,Total - Cases,Total - Injured,Total - Died
1,State,Andhra Pradesh,6834,7376,2848,5462,5385,1829,38,52,18,8674,9196,2889,21008,22009,7584
2,State,Arunachal Pradesh,71,59,35,88,101,71,0,0,0,70,83,57,229,243,163
3,State,Assam,3397,2839,1361,1835,1505,634,38,45,22,1910,1692,695,7180,6081,2712
4,State,Bihar,4092,2857,3210,2596,1640,1613,0,0,0,2912,2182,1906,9600,6679,6729
5,State,Chhattisgarh,3938,3603,1306,2872,2803,1075,5,6,0,7050,6304,2212,13865,12716,4593
6,State,Goa,1455,625,121,300,125,22,0,0,0,1955,752,121,3710,1502,264
7,State,Gujarat,3663,3375,2116,4929,5087,2427,212,205,94,9610,8952,3403,18414,17619,8040
8,State,Haryana,3669,2893,1963,2705,2332,1334,47,45,37,5231,4549,2095,11652,9819,5429
9,State,Himachal Pradesh,1348,2179,418,744,1154,218,0,0,0,1027,1659,441,3119,4992,1077
10,State,Jammu & Kashmir,2155,2713,400,727,882,119,0,0,0,3115,4260,467,5997,7855,986
11,State,Jharkhand,1649,1154,1141,1681,1294,1217,85,38,55,1979,1489,1129,5394,3975,3542
12,State,Karnataka,13641,16095,3936,10681,15450,3084,0,0,0,17385,20017,3970,41707,51562,10990
13,State,Kerala,9161,10463,1248,7552,8756,876,0,0,0,23468,26239,2179,40181,45458,4303
14,State,Madhya Pradesh,9047,9605,2637,12395,14702,3432,0,0,0,26027,26842,5358,47469,51149,11427
15,State,Maharashtra,7466,6655,3867,8037,7167,3951,292,147,107,13945,11133,5938,29740,25102,13863
16,State,Manipur,308,559,79,196,341,29,0,0,0,98,146,27,602,1046,135
17,State,Meghalaya,141,126,107,33,15,29,7,15,14,77,76,46,258,232,196
18,State,Mizoram,20,36,26,22,35,28,0,0,0,8,2,8,50,73,62
19,State,Nagaland,30,39,20,9,13,6,0,0,0,11,38,9,50,90,35
20,State,Odisha,4270,4311,1996,2823,2891,1329,42,38,25,4127,4149,1886,11262,11389,5236
21,State,Punjab,2293,1100,1760,1843,1044,1332,47,37,34,2241,1158,1612,6424,3339,4738
22,State,Rajasthan,6695,6995,3762,3595,3527,1874,53,55,19,11400,10970,4665,21743,21547,10320
23,State,Sikkim,47,93,11,71,176,32,0,0,0,51,88,28,169,357,71
24,State,Tamil Nadu,19583,24016,4492,22849,26739,4285,0,0,0,21488,23782,3439,63920,74537,12216
25,State,Telangana,6461,6397,1894,3639,4520,1299,16,3,1,12114,12693,3409,22230,23613,6603
26,State,Tripura,188,224,83,186,289,66,0,0,0,177,228,63,551,741,212
27,State,Uttar Pradesh,11219,6496,6928,10511,6361,6375,1524,931,764,13601,8534,8474,36855,22322,22541
28,State,Uttarakhand,829,769,602,345,436,285,0,0,0,295,378,186,1469,1583,1073
29,State,West Bengal,3201,3376,2004,2487,2495,1405,293,277,63,5846,4691,1997,11827,10839,5469
State,State,Total (States),126871,127028,50371,111213,117265,40276,2699,1894,1253,195892,192282,58709,436675,438469,150609
30,Union Territory,A & N Islands,93,98,8,101,99,6,0,0,0,60,63,5,254,260,19
31,Union Territory,Chandigarh,23,22,8,0,0,0,0,0,0,294,245,93,317,267,101
32,Union Territory,D & N Haveli,0,0,0,33,23,22,0,0,0,47,43,32,80,66,54
33,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,71,86,36,71,86,36
34,Union Territory,Delhi (UT),815,653,264,374,325,110,0,0,0,5328,4662,1360,6517,5640,1734
35,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,3,3,1,3,3,1
36,Union Territory,Puducherry,771,771,120,136,136,43,0,0,0,690,820,63,1597,1727,226
Union Territory,Union Territory,Total (UTs),1702,1544,400,644,583,181,0,0,0,6493,5922,1590,8839,8049,2171
Total (All India),Total (All India),Total (All India),128573,128572,50771,111857,117848,40457,2699,1894,1253,202385,198204,60299,445514,446518,152780
37,City,Agra,18,12,18,42,31,42,12,9,12,114,73,114,186,125,186
38,City,Ahmedabad,67,67,21,90,91,17,46,43,15,1414,1171,320,1617,1372,373
39,City,Allahabad,235,155,114,195,154,110,0,0,0,448,232,150,878,541,374
40,City,Amritsar,34,26,27,15,10,10,0,0,0,74,46,40,123,82,77
41,City,Asansol,204,140,134,81,44,55,0,0,0,112,127,61,397,311,250
42,City,Aurangabad,0,0,0,177,112,65,0,0,0,420,293,127,597,405,192
43,City,Bengaluru,770,684,176,185,165,31,0,0,0,3656,3280,479,4611,4129,686
44,City,Bhopal,135,136,27,523,489,54,0,0,0,2017,1563,68,2675,2188,149
45,City,Chandigarh (City),23,22,8,0,0,0,0,0,0,294,245,93,317,267,101
46,City,Chennai,1480,1481,260,1215,1197,229,0,0,0,4885,4760,771,7580,7438,1260
47,City,Coimbatore,344,373,50,405,391,61,0,0,0,387,376,51,1136,1140,162
48,City,Delhi (City),762,612,218,355,310,105,0,0,0,4651,4165,1122,5768,5087,1445
49,City,Dhanbad,78,62,63,41,25,23,55,43,25,13,11,8,187,141,119
50,City,Durg Bhilainagar,103,124,22,95,93,13,0,0,0,477,469,96,675,686,131
51,City,Faridabad,208,178,99,0,0,0,4,4,3,497,467,153,709,649,255
52,City,Ghaziabad,44,4,47,39,4,42,12,1,13,104,12,114,199,21,216
53,City,Gwalior,227,212,100,0,0,0,0,0,0,1013,952,50,1240,1164,150
54,City,Hyderabad,407,368,52,229,217,34,0,0,0,2210,2044,224,2846,2629,310
