Sl. No.,Category,State/UT/City,National Highways - Cases,National Highways - Injured,National Highways - Died,State Highways - Cases,State Highways - Injured,State Highways - Died,Expressways - Cases,Expressways - Injured,Expressways - Died,Other Roads - Cases,Other Roads - Injured,Other Roads - Died,Total - Cases,Total - Injured,Total - Died
55,City,Indore,257,207,24,193,194,19,0,0,0,2248,1773,260,2698,2174,303
56,City,Jabalpur,627,580,47,480,444,36,0,0,0,1139,1047,92,2246,2071,175
57,City,Jaipur,667,528,191,123,104,20,21,23,9,1970,1610,472,2781,2265,692
58,City,Jamshedpur,0,0,0,91,58,26,0,0,0,95,88,57,186,146,83
59,City,Jodhpur,195,197,107,13,18,10,0,0,0,341,219,128,549,434,245
60,City,Kannur,207,258,29,27,30,2,0,0,0,387,447,37,621,735,68
61,City,Kanpur,529,225,304,439,137,302,72,64,8,86,47,39,1126,473,653
62,City,Kochi,559,631,49,312,208,27,0,0,0,1440,1574,65,2311,2413,141
63,City,Kolkata,12,4,8,21,14,8,0,0,0,2140,1419,278,2173,1437,294
64,City,Kollam,978,1074,138,0,0,0,0,0,0,962,923,103,1940,1997,241
65,City,Kota,49,68,21,14,14,1,0,0,0,403,396,67,466,478,89
66,City,Kozhikode,520,562,70,161,172,17,0,0,0,742,818,67,1423,1552,154
67,City,Lucknow,157,79,150,35,31,19,2,1,1,678,424,282,872,535,452
68,City,Ludhiana,138,49,103,74,47,46,0,0,0,265,144,179,477,240,328
69,City,Madurai,77,72,14,633,652,100,0,0,0,252,221,39,962,945,153
70,City,Malappuram,262,291,52,351,326,40,0,0,0,199,244,30,812,861,122
71,City,Meerut,201,213,104,186,116,72,0,0,0,156,61,47,543,390,223
72,City,Mumbai,19,2,19,52,2,52,0,0,0,620,161,475,691,165,546
73,City,Nagpur,248,187,68,137,116,38,0,0,0,955,872,178,1340,1175,284
74,City,Nasik,97,18,67,38,15,53,0,0,0,129,14,139,264,47,259
75,City,Patna,501,172,290,78,22,82,0,0,0,42,22,34,621,216,406
76,City,Pune,38,11,33,79,40,51,0,0,0,277,95,202,394,146,286
77,City,Raipur,281,117,40,225,126,29,0,0,0,727,463,71,1233,706,140
78,City,Rajkot,83,53,53,107,76,53,0,0,0,378,352,96,568,481,202
79,City,Ranchi,105,146,79,187,53,124,0,0,0,45,44,27,337,243,230
80,City,Srinagar,100,118,14,0,0,0,0,0,0,275,265,32,375,383,46
81,City,Surat,47,28,24,44,32,21,0,0,0,857,753,273,948,813,318
82,City,Thiruvananthapuram,471,632,44,134,204,19,0,0,0,1431,1911,139,2036,2747,202
83,City,Thrissur,238,289,50,873,1016,76,0,0,0,1111,1288,92,2222,2593,218
84,City,Tiruchirappalli,208,256,44,135,145,19,0,0,0,259,250,59,602,651,122
85,City,Vadodara,186,136,89,44,30,11,2,1,1,544,473,81,776,640,182
86,City,Varanasi,59,28,32,82,47,38,0,0,0,67,41,28,208,116,98
87,City,Vasai Virar,43,25,24,122,95,41,0,0,0,199,79,109,364,199,174
88,City,Vijayawada,729,591,188,111,103,17,0,0,0,823,797,152,1663,1491,357
89,City,Vishakhapatnam,255,149,130,81,37,41,0,0,0,585,539,172,921,725,343
City,City,Total (Cities),14282,12652,4135,9369,8057,2401,226,189,87,45613,40160,8642,69490,61058,15265
