Si. No.,Category,State/UT/City,Rural Area(Near School/College/Educational Institution) - Male,Rural Area(Near School/College/Educational Institution) - Female,Rural Area(Near School/College/Educational Institution) - Transgender,Rural Area(Near School/College/Educational Institution) - Total,Rural Area (Near Residential Area) - Male,Rural Area (Near Residential Area) - Female,Rural Area (Near Residential Area) - Transgender,Rural Area (Near Residential Area) - Total,Rural Area (Near Religious Place) - Male,Rural Area (Near Religious Place) - Female,Rural Area (Near Religious Place) - Transgender,Rural Area (Near Religious Place) - Total,Rural Area (Near Recreation Place/ Cinema Hall) - Male,Rural Area (Near Recreation Place/ Cinema Hall) - Female,Rural Area (Near Recreation Place/ Cinema Hall) - Transgender,Rural Area (Near Recreation Place/ Cinema Hall) - Total,Rural Area (Near Factory) - Male,Rural Area (Near Factory) - Female,Rural Area (Near Factory) - Transgender,Rural Area (Near Factory) - Total,Rural Area (Others) - Male,Rural Area (Others) - Female,Rural Area (Others) - Transgender,Rural Area (Others) - Total,Rural Area (Sub Total) - Male,Rural Area (Sub Total) - Female,Rural Area (Sub Total) - Transgender,Rural Area (Sub Total) - Total,Urban Area (Near School/College/ Educational Institution) - Male,Urban Area (Near School/College/ Educational Institution) - Female,Urban Area (Near School/College/ Educational Institution) - Transgender,Urban Area (Near School/College/ Educational Institution) - Total,Urban Area (Near Residential Area) - Male,Urban Area (Near Residential Area) - Female,Urban Area (Near Residential Area) - Transgender,Urban Area (Near Residential Area) - Total,Urban Area (Near Religious Place) - Male,Urban Area (Near Religious Place) - Female,Urban Area (Near Religious Place) - Transgender,Urban Area (Near Religious Place) - Total,Urban Area (Near Recreation Place/ Cinema Hall) - Male,Urban Area (Near Recreation Place/ Cinema Hall) - Female,Urban Area (Near Recreation Place/ Cinema Hall) - Transgender,Urban Area (Near Recreation Place/ Cinema Hall) - Total,Urban Area (Near Factory/Industrial Area) - Male,Urban Area (Near Factory/Industrial Area) - Female,Urban Area (Near Factory/Industrial Area) - Transgender,Urban Area (Near Factory/Industrial Area) - Total,Urban Area (At Pedestrian Crossing) - Male,Urban Area (At Pedestrian Crossing) - Female,Urban Area (At Pedestrian Crossing) - Transgender,Urban Area (At Pedestrian Crossing) - Total,Urban Area (Others) - Male,Urban Area (Others) - Female,Urban Area (Others) - Transgender,Urban Area (Others) - Total,Urban Area (Sub Total) - Male,Urban Area (Sub Total) - Female,Urban Area (Sub Total) - Transgender,Urban Area (Sub Total) - Total,Grand Total - Male,Grand Total - Female,Grand Total - Transgender,Grand Total - Total
14,State,Maharashtra,222,33,0,255,1938,205,0,2143,166,35,0,201,44,9,0,53,268,29,0,297,4621,551,0,5172,7259,862,0,8121,479,79,0,558,1364,199,0,1563,213,30,0,243,142,18,0,160,272,28,0,300,110,13,0,123,844,106,0,950,3424,473,0,3897,10683,1335,0,12018
15,State,Manipur,8,1,0,9,39,6,0,45,0,0,0,0,7,1,0,8,0,0,0,0,32,2,0,34,86,10,0,96,6,2,0,8,8,2,0,10,0,0,0,0,4,3,0,7,0,0,0,0,4,1,0,5,1,0,0,1,23,8,0,31,109,18,0,127
16,State,Meghalaya,3,0,0,3,29,1,0,30,24,0,0,24,1,0,0,1,0,0,0,0,28,4,0,32,85,5,0,90,4,1,0,5,23,7,0,30,0,1,0,1,2,0,0,2,1,0,0,1,0,0,0,0,9,0,0,9,39,9,0,48,124,14,0,138
17,State,Mizoram,2,1,0,3,18,5,0,23,3,1,0,4,0,0,0,0,1,0,0,1,0,0,0,0,24,7,0,31,4,0,0,4,15,2,0,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,22,44,9,0,53
18,State,Nagaland,0,1,0,1,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,14,1,0,15,0,0,0,0,9,1,0,10,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,12,25,2,0,27
19,State,Odisha,78,9,0,87,392,29,0,421,149,13,0,162,133,7,0,140,110,4,0,114,1324,145,0,1469,2186,207,0,2393,71,5,0,76,342,30,0,372,118,6,0,124,203,14,0,217,189,16,0,205,22,0,0,22,1168,161,0,1329,2113,232,0,2345,4299,439,0,4738
20,State,Punjab,183,27,0,210,748,104,0,852,139,22,0,161,63,12,0,75,215,18,0,233,575,89,0,664,1923,272,0,2195,181,28,0,209,564,84,0,648,116,24,0,140,142,21,0,163,182,31,0,213,102,21,0,123,206,19,0,225,1493,228,0,1721,3416,500,0,3916
21,State,Rajasthan,162,29,0,191,892,139,0,1031,62,12,0,74,47,5,0,52,195,33,0,228,4708,451,0,5159,6066,669,0,6735,97,19,0,116,337,77,0,414,52,10,0,62,59,8,0,67,217,26,0,243,83,15,0,98,1304,213,0,1517,2149,368,0,2517,8215,1037,0,9252
22,State,Sikkim,1,0,0,1,11,2,0,13,1,0,0,1,0,0,0,0,0,0,0,0,10,3,0,13,23,5,0,28,2,1,0,3,5,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,10,4,0,14,33,9,0,42
23,State,Tamil Nadu,344,80,0,424,1027,172,0,1199,241,66,0,307,384,58,0,442,345,61,0,406,1558,221,0,1779,3899,658,0,4557,323,68,0,391,615,145,0,760,194,60,0,254,303,68,0,371,404,100,0,504,367,116,0,483,639,100,0,739,2845,657,0,3502,6744,1315,0,8059
24,State,Telangana,49,15,0,64,485,84,0,569,74,13,0,87,61,19,0,80,72,21,0,93,2495,345,0,2840,3236,497,0,3733,219,48,0,267,715,129,0,844,404,100,0,504,274,61,0,335,277,69,0,346,151,32,0,183,580,90,0,670,2620,529,0,3149,5856,1026,0,6882
25,State,Tripura,10,0,0,10,67,6,0,73,5,1,0,6,3,1,0,4,2,0,0,2,23,4,0,27,110,12,0,122,5,1,0,6,43,7,0,50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,13,60,10,0,70,170,22,0,192
26,State,Uttar Pradesh,1289,250,0,1539,3498,547,0,4045,554,120,0,674,265,53,0,318,514,76,0,590,4070,705,0,4775,10190,1751,0,11941,867,168,0,1035,2214,367,0,2581,560,91,0,651,262,67,0,329,557,124,0,681,0,0,0,0,1550,269,0,1819,6010,1086,0,7096,16200,2837,0,19037
27,State,Uttarakhand,11,2,0,13,44,13,0,57,2,0,0,2,23,2,0,25,4,0,0,4,236,24,0,260,320,41,0,361,10,2,0,12,36,12,0,48,2,0,0,2,25,7,0,32,1,0,0,1,0,0,0,0,210,27,0,237,284,48,0,332,604,89,0,693
28,State,West Bengal,85,14,0,99,850,134,0,984,48,8,0,56,25,7,0,32,69,7,0,76,1733,220,0,1953,2810,390,0,3200,84,23,0,107,466,70,0,536,30,5,0,35,34,12,0,46,83,11,0,94,99,29,0,128,912,113,0,1025,1708,263,0,1971,4518,653,0,5171
Total (States),Total (States),Total (States),4918,872,0,5790,21636,3222,0,24858,3122,571,0,3693,2305,402,0,2707,3206,456,0,3662,39293,5042,0,44335,74480,10565,0,85045,4072,825,0,4897,12461,2179,0,14640,2679,519,0,3198,2739,518,0,3257,3454,605,0,4059,1599,371,0,1970,12022,1878,0,13900,39026,6895,0,45921,113506,17460,0,130966
29,Union Territories,A & N Islands,0,0,0,0,2,2,0,4,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,5,8,2,0,10,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,4,12,2,0,14
30,Union Territories,Chandigarh,2,1,0,3,2,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,7,3,1,0,4,2,1,0,3,4,0,0,4,0,0,0,0,3,0,0,3,6,0,0,6,23,3,0,26,41,5,0,46,46,7,0,53
31,Union Territories,D & N Haveli and Daman & Diu,9,1,0,10,28,1,0,29,0,0,0,0,8,0,0,8,5,0,0,5,1,0,0,1,51,2,0,53,2,0,0,2,2,2,0,4,1,0,0,1,3,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,9,2,0,11,60,4,0,64
32,Union Territories,Delhi (UT),7,0,0,7,13,3,0,16,3,1,0,4,0,0,0,0,1,0,0,1,12,2,0,14,36,6,0,42,60,3,0,63,358,27,0,385,39,3,0,42,14,0,0,14,42,2,0,44,23,0,0,23,547,36,0,583,1083,71,0,1154,1119,77,0,1196
33,Union Territories,Jammu & Kashmir,18,0,0,18,136,29,0,165,11,2,0,13,2,0,0,2,21,1,0,22,228,55,0,283,416,87,0,503,9,2,0,11,50,11,0,61,4,2,0,6,2,0,0,2,8,1,0,9,12,4,0,16,118,5,0,123,203,25,0,228,619,112,0,731
34,Union Territories,Ladakh,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,15,0,0,15,0,0,0,0,2,0,0,2,2,0,0,2,0,0,0,0,1,0,0,1,3,0,0,3,9,0,0,9,17,0,0,17,32,0,0,32
35,Union Territories,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
