Si. No.,Category,State/UT/City,Truck/Lorry - Offenders,Truck/Lorry - Victims,Truck/Lorry - Total,Bus - Offenders,Bus - Victims,Bus - Total,SUV/Station Wagon/etc. - Offenders,SUV/Station Wagon/etc. - Victims,SUV/Station Wagon/etc. - Total,Car - Offenders,Car - Victims,Car - Total,Jeep - Offenders,Jeep - Victims,Jeep - Total,Tractor - Offenders,Tractor - Victims,Tractor - Total,Three Wheeler/Auto Rickshaw - Offenders,Three Wheeler/Auto Rickshaw - Victims,Three Wheeler/Auto Rickshaw - Total,Two Wheeler - Offenders,Two Wheeler - Victims,Two Wheeler - Total,Other Motor Vehicles - Offenders,Other Motor Vehicles - Victims,Other Motor Vehicles - Total,Bicycle - Offenders,Bicycle - Victims,Bicycle - Total,Hand Drawn Vehicle/ Cycle Rickshaw - Offenders,Hand Drawn Vehicle/ Cycle Rickshaw - Victims,Hand Drawn Vehicle/ Cycle Rickshaw - Total,Animal Drawn Vehicle - Offenders,Animal Drawn Vehicle - Victims,Animal Drawn Vehicle - Total,Pedestrian - Offenders,Pedestrian - Victims,Pedestrian - Total,Others - Offenders,Others - Victims,Others - Total,Grand Total - Offenders,Grand Total - Victims,Grand Total - Total
48,City,Coimbatore,0,13,13,0,10,10,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,6,23,29,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,59,65
49,City,Delhi (City),26,72,98,12,26,38,10,11,21,79,183,262,1,6,7,2,0,2,6,45,51,147,324,471,6,106,112,1,14,15,0,2,2,0,0,0,4,53,57,3,12,15,297,854,1151
50,City,Dhanbad,4,0,4,1,0,1,3,0,3,1,0,1,2,0,2,0,0,0,2,0,2,58,0,58,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,83,0,83
51,City,Durg Bhilainagar,0,0,0,1,0,1,0,0,0,8,3,11,0,0,0,0,0,0,0,3,3,34,9,43,0,0,0,8,3,11,0,0,0,0,0,0,0,0,0,0,0,0,51,18,69
52,City,Faridabad,0,8,8,0,0,0,0,1,1,0,6,6,0,0,0,0,4,4,0,4,4,0,81,81,0,0,0,0,17,17,0,0,0,0,0,0,0,68,68,0,41,41,0,230,230
53,City,Ghaziabad,0,3,3,0,3,3,0,8,8,0,23,23,0,0,0,0,2,2,0,28,28,0,71,71,0,3,3,0,6,6,0,0,0,0,0,0,0,17,17,0,0,0,0,164,164
54,City,Gwalior,2,14,16,0,9,9,2,5,7,3,23,26,0,0,0,2,0,2,2,8,10,8,15,23,0,0,0,4,0,4,0,0,0,0,0,0,0,33,33,0,0,0,23,107,130
55,City,Hyderabad,4,2,6,4,4,8,1,2,3,12,14,26,0,0,0,0,0,0,25,40,65,69,77,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,139,254
56,City,Indore,0,2,2,0,1,1,0,0,0,0,9,9,0,4,4,0,2,2,0,2,2,0,128,128,0,7,7,0,2,2,0,0,0,0,0,0,0,56,56,0,0,0,0,213,213
57,City,Jabalpur,21,31,52,2,7,9,12,10,22,16,15,31,0,0,0,2,3,5,3,6,9,32,43,75,11,13,24,1,0,1,0,0,0,0,0,0,1,1,2,1,1,2,102,130,232
58,City,Jaipur,37,50,87,9,19,28,18,33,51,17,52,69,2,5,7,3,17,20,3,6,9,79,125,204,1,16,17,1,6,7,0,0,0,0,1,1,0,78,78,26,2,28,196,410,606
59,City,Jamshedpur,0,0,0,1,3,4,0,0,0,3,4,7,0,0,0,0,0,0,2,3,5,18,10,28,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,25,22,47
60,City,Jodhpur,5,5,10,0,30,30,1,1,2,9,14,23,2,4,6,0,0,0,2,4,6,90,23,113,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,1,5,6,110,96,206
61,City,Kannur,0,0,0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0,1,0,1,3,25,28,0,0,0,0,4,4,0,0,0,0,0,0,0,18,18,0,0,0,6,51,57
62,City,Kanpur,26,88,114,19,26,45,0,13,13,22,36,58,1,10,11,0,4,4,7,14,21,81,69,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,260,416
63,City,Kochi,0,0,0,0,1,1,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,53,53,0,0,0,0,4,4,0,0,0,0,0,0,0,27,27,0,0,0,0,101,101
64,City,Kolkata,0,63,63,0,55,55,0,3,3,0,34,34,0,0,0,0,0,0,0,6,6,0,36,36,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,201
65,City,Kollam,0,0,0,0,0,0,0,5,5,0,7,7,0,0,0,0,0,0,0,3,3,1,118,119,0,0,0,0,13,13,0,0,0,0,0,0,0,47,47,0,0,0,1,193,194
66,City,Kota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,34,8,42,0,1,1,1,0,1,0,0,0,0,0,0,0,15,15,0,0,0,35,25,60
67,City,Kozhikode,0,12,12,0,5,5,0,0,0,0,15,15,0,2,2,0,0,0,0,5,5,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,91,91
68,City,Lucknow,102,50,152,18,6,24,5,4,9,51,47,98,0,0,0,6,1,7,0,3,3,60,55,115,0,7,7,0,4,4,0,0,0,0,0,0,0,0,0,0,22,22,242,199,441
69,City,Ludhiana,2,61,63,0,11,11,1,8,9,9,23,32,1,5,6,1,7,8,2,7,9,57,18,75,1,46,47,4,0,4,0,1,1,0,0,0,16,0,16,0,0,0,94,187,281
70,City,Madurai,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,4,51,0,51,0,0,0,3,0,3,1,0,1,0,0,0,20,0,20,0,0,0,81,0,81
71,City,Malappuram,0,4,4,0,3,3,0,1,1,0,10,10,0,0,0,0,1,1,1,10,11,8,36,44,0,0,0,0,1,1,0,0,0,0,0,0,0,19,19,0,0,0,9,85,94
72,City,Meerut,4,19,23,0,9,9,1,9,10,9,14,23,0,0,0,0,0,0,9,22,31,44,11,55,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68,84,152
73,City,Mumbai,29,48,77,4,19,23,0,9,9,26,44,70,4,2,6,0,1,1,4,11,15,86,84,170,3,18,21,1,1,2,0,0,0,0,3,3,7,12,19,0,2,2,164,254,418
74,City,Nagpur,0,74,74,1,2,3,0,0,0,2,35,37,0,0,0,0,4,4,0,5,5,1,97,98,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,220,224
75,City,Nasik,5,0,5,3,0,3,7,0,7,13,0,13,11,0,11,0,0,0,1,0,1,58,0,58,0,0,0,1,0,1,0,0,0,0,0,0,5,0,5,0,0,0,104,0,104
76,City,Patna,0,12,12,0,16,16,3,6,9,1,2,3,0,0,0,0,0,0,6,2,8,68,64,132,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79,102,181
77,City,Pune,11,25,36,1,3,4,0,0,0,16,7,23,0,1,1,0,0,0,3,3,6,30,35,65,0,3,3,0,0,0,0,0,0,0,0,0,0,4,4,1,2,3,62,83,145
78,City,Raipur,5,1,6,0,0,0,1,1,2,4,4,8,0,0,0,1,3,4,2,1,3,66,27,93,1,0,1,0,8,8,0,0,0,0,0,0,0,10,10,0,24,24,80,79,159
79,City,Rajkot,1,2,3,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,6,7,13,54,19,73,5,0,5,0,3,3,0,0,0,0,0,0,0,35,35,0,0,0,69,69,138
80,City,Ranchi,0,0,0,0,0,0,9,0,9,12,0,12,13,0,13,2,0,2,16,0,16,56,56,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,56,164
81,City,Srinagar,0,4,4,0,1,1,1,14,15,2,8,10,0,0,0,0,0,0,0,2,2,11,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31,45
