Sl. No.,Category,State/UT/City,National Highways - Cases,National Highways - Injured,National Highways - Died,State Highways - Cases,State Highways - Injured,State Highways - Died,Expressways - Cases,Expressways - Injured,Expressways - Died,Other Roads - Cases,Other Roads - Injured,Other Roads - Died,Total - Cases,Total - Injured,Total - Died
1,State,Andhra Pradesh,7367,8405,3027,4990,5603,1871,0,0,0,10099,13467,3162,22456,27475,8060
2,State,Arunachal Pradesh,44,43,22,41,73,27,0,0,0,42,55,23,127,171,72
3,State,Assam,2957,2280,1337,1494,1119,467,2,0,1,2352,1878,792,6805,5277,2597
4,State,Bihar,3432,2169,2338,2777,2023,1798,0,0,0,2646,1822,1418,8855,6014,5554
5,State,Chhattisgarh,3632,3587,1178,3373,3360,1011,0,0,0,6558,5581,1947,13563,12528,4136
6,State,Goa,1556,598,118,429,254,33,0,0,0,1935,887,183,3920,1739,334
7,State,Gujarat,3997,3823,2080,4946,4942,2248,335,315,156,9353,8875,3179,18631,17955,7663
8,State,Haryana,3141,2849,1778,3168,2941,1457,92,72,25,5281,4523,2209,11682,10385,5469
9,State,Himachal Pradesh,1332,2599,526,381,611,103,8,39,0,1390,2123,551,3111,5372,1180
10,State,Jammu & Kashmir,2017,2431,398,760,1104,118,2,2,0,2664,3652,360,5443,7189,876
11,State,Jharkhand,1742,1092,1183,1737,1324,1076,133,86,73,1586,1416,924,5198,3918,3256
12,State,Karnataka,14281,17786,3829,11279,14804,3079,0,0,0,16982,20371,3701,42542,52961,10609
13,State,Kerala,8993,9990,1336,7043,7913,878,0,0,0,22434,24768,1917,38470,42671,4131
14,State,Madhya Pradesh,9919,10312,2446,12896,14869,3002,0,0,0,25775,27933,4995,48590,53114,10443
15,State,Maharashtra,7286,8607,3571,7793,7427,3887,518,507,169,13226,10984,5393,28823,27525,13020
16,State,Manipur,379,694,95,147,247,28,0,0,0,60,88,9,586,1029,132
17,State,Meghalaya,185,269,160,25,20,25,12,12,6,64,78,41,286,379,232
18,State,Mizoram,32,22,32,24,19,31,0,0,0,9,5,4,65,46,67
19,State,Nagaland,38,37,29,12,16,7,0,0,0,10,26,9,60,79,45
20,State,Odisha,4881,4596,1999,3035,3435,1331,58,70,60,2881,3075,1233,10855,11176,4623
21,State,Punjab,2339,1552,1735,1610,1187,1232,0,0,0,2373,1422,1636,6322,4161,4603
22,State,Rajasthan,6639,6782,3875,3528,3732,1996,57,59,27,11888,11498,4546,22112,22071,10444
23,State,Sikkim,54,143,19,53,112,27,0,0,0,64,120,17,171,375,63
24,State,Tamil Nadu,20696,25268,5892,22527,24951,5691,0,0,0,22339,24352,4574,65562,74571,16157
25,State,Telangana,6211,6856,1954,3895,4453,1357,0,0,0,12378,12681,3285,22484,23990,6596
26,State,Tripura,221,324,72,185,273,60,0,0,0,98,119,31,504,716,163
27,State,Uttar Pradesh,11433,7141,6949,9975,6510,6331,884,552,629,12287,7397,6852,34579,21600,20761
28,State,Uttarakhand,839,829,454,349,308,219,0,0,0,392,278,245,1580,1415,918
29,State,West Bengal,3405,3148,1908,2991,2701,1682,314,256,44,6600,5519,2178,13310,11624,5812
State,State,Total (States),129048,134232,50340,111463,116331,41072,2415,1970,1190,193766,194993,55414,436692,447526,148016
30,Union Territory,A & N Islands,60,123,7,50,45,9,0,0,0,79,95,5,189,263,21
31,Union Territory,Chandigarh,31,25,1,0,0,0,0,0,0,305,267,111,336,292,112
32,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,67,60,43,67,60,43
33,Union Territory,Daman & Diu,9,2,5,0,0,0,0,0,0,70,68,31,79,70,36
34,Union Territory,Delhi (UT),857,765,323,423,392,145,0,0,0,5392,4929,1170,6672,6086,1638
35,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0
36,Union Territory,Puducherry,937,1098,183,157,213,26,0,0,0,599,630,18,1693,1941,227
Union Territory,Union Territory,Total (UTs),1894,2013,519,630,650,180,0,0,0,6514,6051,1378,9038,8714,2077
