Sl. No.,Category,State/UT/City,National Highways - Cases,National Highways - Injured,National Highways - Died,State Highways - Cases,State Highways - Injured,State Highways - Died,Expressways - Cases,Expressways - Injured,Expressways - Died,Other Roads - Cases,Other Roads - Injured,Other Roads - Died,Total - Cases,Total - Injured,Total - Died
Total (All India),Total (All India),Total (All India),130942,136245,50859,112093,116981,41252,2415,1970,1190,200280,201044,56792,445730,456240,150093
37,City,Agra,43,23,43,128,110,128,5,0,5,102,94,102,278,227,278
38,City,Ahmedabad,108,82,54,65,56,16,56,39,20,1321,1120,259,1550,1297,349
39,City,Allahabad,178,162,114,237,144,93,0,0,0,327,135,120,742,441,327
40,City,Amritsar,45,41,24,19,21,8,0,0,0,55,38,35,119,100,67
41,City,Asansol,186,112,79,68,43,72,0,0,0,107,124,43,361,279,194
42,City,Aurangabad,0,0,0,135,83,52,0,0,0,508,367,141,643,450,193
43,City,Bengaluru,849,699,149,238,205,25,0,0,0,3977,3352,468,5064,4256,642
44,City,Bhopal,197,162,38,133,112,22,0,0,0,2288,1897,100,2618,2171,160
45,City,Chandigarh (City),24,20,1,0,0,0,0,0,0,295,259,108,319,279,109
46,City,Chennai,1502,1423,304,1180,1148,245,0,0,0,4575,4404,750,7257,6975,1299
47,City,Coimbatore,410,379,95,443,424,92,0,0,0,446,388,90,1299,1191,277
48,City,Delhi (City),750,649,274,382,364,126,0,0,0,4891,4483,1006,6023,5496,1406
49,City,Dhanbad,89,46,37,43,22,20,64,33,36,17,8,7,213,109,100
50,City,Durg Bhilainagar,203,207,34,101,149,27,0,0,0,555,499,91,859,855,152
51,City,Faridabad,200,148,105,0,0,0,0,0,0,512,462,171,712,610,276
52,City,Ghaziabad,42,10,48,34,6,38,0,0,0,136,13,141,212,29,227
53,City,Gwalior,197,241,40,0,0,0,0,0,0,1094,1045,124,1291,1286,164
54,City,Hyderabad,332,277,46,144,128,16,0,0,0,2358,1965,248,2834,2370,310
55,City,Indore,464,351,35,400,324,32,0,0,0,2449,1841,247,3313,2516,314
56,City,Jabalpur,425,411,14,319,321,10,0,0,0,1591,1315,165,2335,2047,189
57,City,Jaipur,722,687,219,151,151,52,57,59,27,2053,1653,515,2983,2550,813
58,City,Jamshedpur,41,29,27,14,23,15,0,0,0,127,95,56,182,147,98
59,City,Jodhpur,231,196,141,24,35,31,0,0,0,365,285,120,620,516,292
60,City,Kannur,195,257,33,51,95,2,0,0,0,332,348,33,578,700,68
61,City,Kanpur,513,279,234,610,310,300,0,0,0,92,49,43,1215,638,577
62,City,Kochi,746,751,52,287,296,21,0,0,0,1470,1553,64,2503,2600,137
63,City,Kolkata,19,9,11,32,25,12,0,0,0,2516,2201,306,2567,2235,329
64,City,Kollam,896,890,128,0,0,0,0,0,0,884,873,85,1780,1763,213
65,City,Kota,102,87,36,15,35,6,0,0,0,364,349,51,481,471,93
66,City,Kozhikode,674,706,108,32,33,6,0,0,0,761,805,70,1467,1544,184
67,City,Lucknow,138,75,104,45,40,26,4,3,1,671,493,240,858,611,371
68,City,Ludhiana,183,64,147,77,58,53,0,0,0,303,194,151,563,316,351
69,City,Madurai,72,66,21,618,613,130,0,0,0,230,212,38,920,891,189
70,City,Malappuram,218,241,51,207,220,37,0,0,0,412,421,65,837,882,153
71,City,Meerut,192,140,87,269,198,98,0,0,0,86,70,32,547,408,217
72,City,Mumbai,34,7,34,16,0,16,0,0,0,705,251,540,755,258,590
73,City,Nagpur,283,208,67,275,226,37,0,0,0,863,796,197,1421,1230,301
74,City,Nasik,49,41,29,12,10,53,0,0,0,196,64,90,257,115,172
75,City,Patna,248,132,198,380,179,108,0,0,0,41,53,14,669,364,320
76,City,Pune,62,47,46,62,35,37,0,0,0,369,153,268,493,235,351
77,City,Raipur,272,111,35,314,160,40,0,0,0,745,376,75,1331,647,150
78,City,Rajkot,209,149,74,109,97,26,0,0,0,299,248,61,617,494,161
79,City,Ranchi,105,146,79,187,53,124,0,0,0,45,44,27,337,243,230
80,City,Srinagar,93,72,20,0,0,0,0,0,0,270,273,40,363,345,60
81,City,Surat,21,13,13,54,40,30,0,0,0,682,651,197,757,704,240
82,City,Thiruvananthapuram,446,450,43,62,72,5,0,0,0,1532,1881,124,2040,2403,172
83,City,Thrissur,103,106,15,416,474,29,0,0,0,865,965,64,1384,1545,108
84,City,Tiruchirappalli,299,405,79,125,137,23,0,0,0,214,226,32,638,768,134
85,City,Vadodara,180,141,91,1,1,0,0,0,0,686,613,95,867,755,186
86,City,Varanasi,73,40,35,85,43,43,0,0,0,105,73,35,263,156,113
87,City,Vasai Virar,45,27,32,124,95,43,0,0,0,211,84,121,380,206,196
88,City,Vijayawada,748,713,180,109,138,40,0,0,0,634,674,129,1491,1525,349
89,City,Vishakhapatnam,269,144,134,49,60,16,0,0,0,1056,1090,146,1374,1294,296
City,City,Total (Cities),14725,12872,4137,8881,7612,2481,186,134,89,47788,41925,8540,71580,62543,15247
