Sl. No.,Category,State/UT/City,Deaths due to Forces of Nature - 2016,Deaths due to Forces of Nature - 2017,Deaths due to Forces of Nature - % Variation,Deaths due to Other Causes - 2016,Deaths due to Other Causes - 2017,Deaths due to Other Causes - % Variation,Total Accidental Deaths - 2016,Total Accidental Deaths - 2017,Total Accidental Deaths - % Variation
35,City,Meerut,0,0,NA,236,223,-5.5,236,223,-5.5
36,City,Mumbai,0,3,NA,8713,9315,6.9,8713,9318,6.9
37,City,Nagpur,2,0,-100,2036,2101,3.2,2038,2101,3.1
38,City,Nasik,0,0,NA,1383,972,-29.7,1383,972,-29.7
39,City,Patna,22,3,-86.4,403,395,-2,425,398,-6.4
40,City,Pune,3,0,-100,5656,4982,-11.9,5659,4982,-12
41,City,Raipur,0,0,NA,1008,1029,2.1,1008,1029,2.1
42,City,Rajkot,0,3,NA,1201,1289,7.3,1201,1292,7.6
43,City,Ranchi,58,61,5.2,474,452,-4.6,532,513,-3.6
44,City,Srinagar,108,0,-100,154,145,-5.8,262,145,-44.7
45,City,Surat,0,0,NA,2486,2249,-9.5,2486,2249,-9.5
46,City,Thiruvananthapuram,2,65,3150,602,624,3.7,604,689,14.1
47,City,Thrissur,0,0,NA,430,386,-10.2,430,386,-10.2
48,City,Tiruchirappalli,0,0,NA,301,140,-53.5,301,140,-53.5
49,City,Vadodara,0,1,NA,932,770,-17.4,932,771,-17.3
50,City,Varanasi,63,76,20.6,248,202,-18.5,311,278,-10.6
51,City,Vasai Virar,0,0,NA,1004,1069,6.5,1004,1069,6.5
52,City,Vijayawada,11,31,181.8,728,520,-28.6,739,551,-25.4
53,City,Vishakhapatnam,4,2,-50,799,722,-9.6,803,724,-9.8
City,City,Total (Cities),495,460,-7.1,68905,60563,-12.1,69400,61023,-12.1
