Sl. No.,Category,State/UT/City,Truck/Lorry - Offenders,Truck/Lorry - Victims,Truck/Lorry - Total,Bus - Offenders,Bus - Victims,Bus - Total,SUV/Station Wagon/etc. - Offenders,SUV/Station Wagon/etc. - Victims,SUV/Station Wagon/etc. - Total,Car - Offenders,Car - Victims,Car - Total,Jeep - Offenders,Jeep - Victims,Jeep - Total,Tractor - Offenders,Tractor - Victims,Tractor - Total,Three Wheeler/Auto Rickshaw - Offenders,Three Wheeler/Auto Rickshaw - Victims,Three Wheeler/Auto Rickshaw - Total,Two Wheeler - Offenders,Two Wheeler - Victims,Two Wheeler - Total,Other Motor Vehicles - Offenders,Other Motor Vehicles - Victims,Other Motor Vehicles - Total,Bicycle - Offenders,Bicycle - Victims,Bicycle - Total,Hand Drawn Vehicle/Cycle Rickshaw - Offenders,Hand Drawn Vehicle/Cycle Rickshaw - Victims,Hand Drawn Vehicle/Cycle Rickshaw - Total,Animal Drawn Vehicle - Offenders,Animal Drawn Vehicle - Victims,Animal Drawn Vehicle - Total,Pedestrian - Offenders,Pedestrian - Victims,Pedestrian - Total,Others - Offenders,Others - Victims,Others - Total,Grand Total - Offenders,Grand Total - Victims,Grand Total - Total
1,State,Andhra Pradesh,417,829,1246,203,290,493,57,110,167,375,658,1033,56,70,126,175,304,479,307,598,905,1006,1436,2442,282,389,671,34,34,68,1,0,1,3,3,6,182,568,750,120,34,154,3218,5323,8541
2,State,Arunachal Pradesh,18,39,57,3,2,5,5,6,11,7,12,19,0,0,0,1,3,4,0,2,2,23,17,40,2,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60,82,142
3,State,Assam,103,183,286,53,185,238,1,44,45,184,411,595,4,12,16,5,12,17,42,86,128,516,371,887,34,74,108,37,23,60,2,3,5,0,0,0,19,194,213,2,1,3,1002,1599,2601
4,State,Bihar,100,851,951,60,622,682,28,189,217,85,357,442,24,174,198,37,206,243,72,357,429,775,574,1349,1,10,11,45,68,113,5,43,48,0,41,41,4,106,110,5,28,33,1241,3626,4867
5,State,Chhattisgarh,428,410,838,81,108,189,38,64,102,152,166,318,65,86,151,100,149,249,12,33,45,769,522,1291,152,216,368,22,49,71,0,0,0,2,5,7,24,83,107,76,97,173,1921,1988,3909
6,State,Goa,11,2,13,3,3,6,2,6,8,13,16,29,0,3,3,0,0,0,0,2,2,92,119,211,0,1,1,0,2,2,0,0,0,0,0,0,0,64,64,0,0,0,121,218,339
7,State,Gujarat,343,1222,1565,73,436,509,38,177,215,349,1028,1377,83,313,396,40,160,200,178,479,657,863,1527,2390,34,81,115,43,49,92,0,1,1,5,7,12,40,492,532,54,37,91,2143,6009,8152
8,State,Haryana,46,729,775,15,269,284,42,139,181,94,792,886,6,118,124,20,244,264,18,150,168,164,921,1085,18,431,449,9,69,78,0,17,17,1,18,19,10,667,677,25,138,163,468,4702,5170
9,State,Himachal Pradesh,56,87,143,24,131,155,8,10,18,148,224,372,40,43,83,15,16,31,1,6,7,159,98,257,34,59,93,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,485,681,1166
10,State,Jammu & Kashmir,98,61,159,48,106,154,68,63,131,64,63,127,9,2,11,15,6,21,10,2,12,95,61,156,67,69,136,0,0,0,0,0,0,0,0,0,5,19,24,6,21,27,485,473,958
11,State,Jharkhand,2,2,4,3,388,391,11,392,403,76,474,550,0,0,0,0,0,0,0,142,142,262,795,1057,0,454,454,0,0,0,9,0,9,3,0,3,0,10,10,0,4,4,366,2661,3027
12,State,Karnataka,320,1010,1330,117,605,722,68,143,211,359,1157,1516,33,168,201,150,241,391,177,545,722,2168,2375,4543,371,355,726,8,29,37,0,1,1,3,23,26,80,644,724,54,82,136,3908,7378,11286
13,State,Kerala,57,266,323,38,367,405,7,61,68,85,476,561,14,51,65,4,0,4,53,214,267,286,1396,1682,7,41,48,3,60,63,0,1,1,0,0,0,38,721,759,10,31,41,602,3685,4287
14,State,Madhya Pradesh,384,1218,1602,161,484,645,103,478,581,297,723,1020,167,561,728,148,497,645,86,251,337,1243,2006,3249,50,227,277,31,35,66,0,2,2,4,3,7,25,570,595,28,79,107,2727,7134,9861
15,State,Maharashtra,660,1300,1960,121,374,495,96,146,242,704,920,1624,273,410,683,124,153,277,282,416,698,3107,2488,5595,156,311,467,94,44,138,0,4,4,1,4,5,243,897,1140,174,180,354,6035,7647,13682
