Sl. No.,Category,State/UT/City,Rural Area (Near School/College/Educational Institution) - Male,Rural Area (Near School/College/Educational Institution) - Female,Rural Area (Near School/College/Educational Institution) - Transgender,Rural Area (Near School/College/Educational Institution) - Total,Rural Area (Near Residential Area) - Male,Rural Area (Near Residential Area) - Female,Rural Area (Near Residential Area) - Transgender,Rural Area (Near Residential Area) - Total,Rural Area (Near Religious Place) - Male,Rural Area (Near Religious Place) - Female,Rural Area (Near Religious Place) - Transgender,Rural Area (Near Religious Place) - Total,Rural Area (Near Recreation Place/Cinema Hall) - Male,Rural Area (Near Recreation Place/Cinema Hall) - Female,Rural Area (Near Recreation Place/Cinema Hall) - Transgender,Rural Area (Near Recreation Place/Cinema Hall) - Total,Rural Area (Near Factory) - Male,Rural Area (Near Factory) - Female,Rural Area (Near Factory) - Transgender,Rural Area (Near Factory) - Total,Rural Area (Others) - Male,Rural Area (Others) - Female,Rural Area (Others) - Transgender,Rural Area (Others) - Total,Rural Area (Sub Total) - Male,Rural Area (Sub Total) - Female,Rural Area (Sub Total) - Transgender,Rural Area (Sub Total) - Total,Urban Area (Near School/College/Educational Institution) - Male,Urban Area (Near School/College/Educational Institution) - Female,Urban Area (Near School/College/Educational Institution) - Transgender,Urban Area (Near School/College/Educational Institution) - Total,Urban Area (Near Residential Area) - Male,Urban Area (Near Residential Area) - Female,Urban Area (Near Residential Area) - Transgender,Urban Area (Near Residential Area) - Total,Urban Area (Near Religious Place) - Male,Urban Area (Near Religious Place) - Female,Urban Area (Near Religious Place) - Transgender,Urban Area (Near Religious Place) - Total,Urban Area (Near Recreation Place/Cinema Hall) - Male,Urban Area (Near Recreation Place/Cinema Hall) - Female,Urban Area (Near Recreation Place/Cinema Hall) - Transgender,Urban Area (Near Recreation Place/Cinema Hall) - Total,Urban Area (Near Factory/Industrial Area) - Male,Urban Area (Near Factory/Industrial Area) - Female,Urban Area (Near Factory/Industrial Area) - Transgender,Urban Area (Near Factory/Industrial Area) - Total,Urban Area (At Pedestrian Crossing) - Male,Urban Area (At Pedestrian Crossing) - Female,Urban Area (At Pedestrian Crossing) - Transgender,Urban Area (At Pedestrian Crossing) - Total,Urban Area (Others) - Male,Urban Area (Others) - Female,Urban Area (Others) - Transgender,Urban Area (Others) - Total,Urban Area (Sub Total) - Male,Urban Area (Sub Total) - Female,Urban Area (Sub Total) - Transgender,Urban Area (Sub Total) - Total,Grand Total - Male,Grand Total - Female,Grand Total - Transgender,Grand Total - Total
29,State,West Bengal,125,27,0,152,1383,209,0,1592,44,15,0,59,79,21,0,100,170,29,0,199,1879,234,0,2113,3680,535,0,4215,147,17,0,164,967,143,0,1110,80,15,0,95,182,18,0,200,109,11,0,120,173,28,0,201,476,69,0,545,2134,301,0,2435,5814,836,0,6650
State,State,Total (States),5549,1042,0,6591,19761,3582,2,23345,3297,754,0,4051,2272,340,0,2612,3541,558,0,4099,46103,5826,0,51929,80523,12102,2,92627,4209,881,0,5090,13137,2501,0,15638,3069,761,0,3830,2978,483,0,3461,3365,495,0,3860,3144,691,1,3836,18578,2807,0,21385,48480,8619,1,57100,129003,20721,3,149727
30,Union Territory,A & N Islands,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,4,3,0,7,6,3,0,9,1,0,0,1,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,5,3,0,8,11,6,0,17
31,Union Territory,Chandigarh,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0,5,3,0,0,3,8,1,0,9,5,0,0,5,2,0,0,2,3,0,0,3,23,4,0,27,80,17,0,97,124,22,0,146,129,22,0,151
32,Union Territory,D & N Haveli,1,0,0,1,9,2,0,11,1,0,0,1,7,1,0,8,0,0,0,0,7,1,0,8,25,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,6,8,3,0,11,13,4,0,17,38,8,0,46
33,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,7,0,0,7,12,2,0,14,24,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,25,2,0,27
34,Union Territory,Delhi (UT),15,1,0,16,29,1,0,30,6,0,0,6,3,0,0,3,13,0,0,13,172,31,0,203,238,33,0,271,80,8,0,88,132,13,0,145,51,7,0,58,12,0,0,12,20,2,0,22,102,10,0,112,833,50,0,883,1230,90,0,1320,1468,123,0,1591
35,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
36,Union Territory,Puducherry,7,1,0,8,25,2,0,27,3,1,0,4,0,0,0,0,9,1,0,10,78,3,0,81,122,8,0,130,14,0,0,14,9,1,0,10,10,0,0,10,4,0,0,4,2,0,0,2,8,2,0,10,60,1,0,61,107,4,0,111,229,12,0,241
Union Territory,Union Territory,Total (UTs),23,2,0,25,65,5,0,70,13,1,0,14,15,1,0,16,29,1,0,30,276,40,0,316,421,50,0,471,98,8,0,106,149,17,0,166,67,7,0,74,19,0,0,19,25,2,0,27,138,17,0,155,984,72,0,1056,1480,123,0,1603,1901,173,0,2074
Total (All India),Total (All India),Total (All India),5572,1044,0,6616,19826,3587,2,23415,3310,755,0,4065,2287,341,0,2628,3570,559,0,4129,46379,5866,0,52245,80944,12152,2,93098,4307,889,0,5196,13286,2518,0,15804,3136,768,0,3904,2997,483,0,3480,3390,497,0,3887,3282,708,1,3991,19562,2879,0,22441,49960,8742,1,58703,130904,20894,3,151801
37,City,Agra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,31,96,16,0,112,87,6,0,93,13,9,0,22,68,4,0,72,0,0,0,0,97,7,0,104,388,46,0,434,388,46,0,434
38,City,Ahmedabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,14,0,85,27,8,0,35,61,15,0,76,18,2,0,20,112,6,0,118,0,0,0,0,83,34,0,117,372,79,0,451,372,79,0,451
39,City,Allahabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,13,7,5,0,12,2,1,0,3,54,31,0,85,0,0,0,0,93,46,0,139,165,87,0,252,165,87,0,252
40,City,Amritsar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,9,72,12,0,84,1,4,0,5,0,0,0,0,3,0,0,3,1,0,0,1,0,0,0,0,84,18,0,102,84,18,0,102
41,City,Asansol,1,0,0,1,7,1,0,8,0,0,0,0,1,0,0,1,0,0,0,0,73,3,0,76,82,4,0,86,2,0,0,2,7,1,0,8,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,117,3,0,120,129,4,0,133,211,8,0,219
42,City,Aurangabad,0,0,0,0,7,2,0,9,0,0,0,0,0,0,0,0,5,1,0,6,30,10,0,40,42,13,0,55,2,0,0,2,68,21,0,89,10,0,0,10,2,0,0,2,2,1,0,3,11,6,0,17,9,0,0,9,104,28,0,132,146,41,0,187
43,City,Bengaluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,6,0,62,100,22,0,122,43,11,0,54,38,5,0,43,52,7,0,59,94,15,0,109,474,65,0,539,857,131,0,988,857,131,0,988
44,City,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,8,0,82,28,5,0,33,24,4,0,28,21,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,147,17,0,164,147,17,0,164
45,City,Chandigarh (City),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,1,0,9,5,0,0,5,2,0,0,2,3,0,0,3,23,4,0,27,80,17,0,97,124,22,0,146,124,22,0,146
46,City,Chennai,54,13,0,67,221,26,0,247,29,11,0,40,12,3,0,15,35,4,0,39,677,98,0,775,1028,155,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,155,0,1183
47,City,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,15,3,1,0,4,6,8,0,14,13,4,0,17,12,0,0,12,24,20,0,44,157,25,0,182,227,61,0,288,227,61,0,288
48,City,Delhi (City),3,0,0,3,9,1,0,10,3,0,0,3,3,0,0,3,2,0,0,2,41,4,0,45,61,5,0,66,80,8,0,88,108,8,0,116,44,6,0,50,10,0,0,10,8,2,0,10,88,8,0,96,715,40,0,755,1053,72,0,1125,1114,77,0,1191
49,City,Dhanbad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,6,18,2,0,20,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,60,5,0,65,88,9,0,97,88,9,0,97
50,City,Durg Bhilainagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,9,75,18,0,93,18,0,0,18,29,1,0,30,38,2,0,40,7,9,0,16,0,0,0,0,174,32,0,206,174,32,0,206
51,City,Faridabad,2,0,0,2,2,0,0,2,1,0,0,1,0,0,0,0,1,0,0,1,27,2,0,29,33,2,0,35,11,1,0,12,1,0,0,1,4,1,0,5,0,0,0,0,3,2,0,5,5,1,0,6,163,14,0,177,187,19,0,206,220,21,0,241
52,City,Ghaziabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,26,88,5,0,93,15,5,0,20,16,7,0,23,31,9,0,40,5,3,0,8,112,22,0,134,289,55,0,344,289,55,0,344
53,City,Gwalior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,5,22,3,0,25,13,2,0,15,3,0,0,3,10,3,0,13,0,0,0,0,58,3,0,61,110,12,0,122,110,12,0,122
54,City,Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,27,95,4,0,99,18,6,0,24,14,1,0,15,3,1,0,4,42,6,0,48,225,6,0,231,423,25,0,448,423,25,0,448
55,City,Indore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,26,0,0,26,11,5,0,16,16,1,0,17,24,2,0,26,0,0,0,0,146,45,0,191,232,53,0,285,232,53,0,285
56,City,Jabalpur,11,2,0,13,22,6,0,28,3,1,0,4,1,0,0,1,15,0,0,15,19,1,0,20,71,10,0,81,14,3,0,17,8,10,0,18,7,1,0,8,3,0,0,3,18,1,0,19,24,2,0,26,7,4,0,11,81,21,0,102,152,31,0,183
57,City,Jaipur,4,2,0,6,68,11,0,79,3,0,0,3,4,0,0,4,14,2,0,16,216,16,0,232,309,31,0,340,34,9,0,43,159,17,0,176,27,3,0,30,1,0,0,1,0,0,0,0,0,0,0,0,258,42,0,300,479,71,0,550,788,102,0,890
58,City,Jamshedpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,22,11,1,0,12,9,2,0,11,12,1,0,13,11,1,0,12,0,1,0,1,5,1,0,6,66,11,0,77,66,11,0,77
59,City,Jodhpur,10,4,0,14,4,3,0,7,2,1,0,3,2,2,0,4,1,0,0,1,52,9,0,61,71,19,0,90,5,2,0,7,6,1,0,7,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,130,22,0,152,144,25,0,169,215,44,0,259
60,City,Kannur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,34,11,0,45,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,11,0,52,41,11,0,52
61,City,Kanpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,45,2,0,47,53,8,0,61,3,0,0,3,26,2,0,28,7,2,0,9,310,41,0,351,448,55,0,503,448,55,0,503
62,City,Kochi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,5,50,5,0,55,7,5,0,12,3,0,0,3,9,0,0,9,20,5,0,25,48,12,0,60,141,28,0,169,141,28,0,169
63,City,Kolkata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,7,0,90,86,5,0,91,37,3,0,40,87,2,0,89,4,0,0,4,32,0,0,32,0,0,0,0,329,17,0,346,329,17,0,346
64,City,Kollam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,14,6,3,0,9,4,2,0,6,3,2,0,5,6,3,0,9,4,2,0,6,130,28,0,158,164,43,0,207,164,43,0,207
65,City,Kota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,32,0,0,32,0,0,0,0,11,0,0,11,9,3,0,12,2,4,0,6,35,4,0,39,91,11,0,102,91,11,0,102
66,City,Kozhikode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,39,12,0,51,8,1,0,9,0,0,0,0,0,0,0,0,1,1,0,2,64,15,0,79,115,30,0,145,115,30,0,145
67,City,Lucknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,0,38,54,33,0,87,9,0,0,9,6,2,0,8,34,6,0,40,0,0,0,0,181,19,0,200,314,68,0,382,314,68,0,382
68,City,Ludhiana,5,1,0,6,72,14,0,86,0,0,0,0,1,1,0,2,3,2,0,5,80,13,0,93,161,31,0,192,7,4,0,11,82,17,0,99,8,2,0,10,2,0,0,2,14,0,0,14,0,1,0,1,52,3,0,55,165,27,0,192,326,58,0,384
