Category,State/UT/City,Truck/Lorry_Offenders,Truck/Lorry_Victims,Truck/Lorry_Total ,Bus_Offenders,Bus_Victims,Bus_Total ,SUV/Station Wagon/etc._Offenders,SUV/Station Wagon/etc._Victims,SUV/Station Wagon/etc._Total ,Car_Offenders,Car_Victims,Car_Total ,Jeep_Offenders,Jeep_Victims,Jeep_Total ,Tractor_Offenders,Tractor_Victims,Tractor_Total ,Three Wheeler/Auto Rickshaw_Offenders,Three Wheeler/Auto Rickshaw_Victims,Three Wheeler/Auto Rickshaw_Total ,Two Wheeler_Offenders,Two Wheeler_Victims,Two Wheeler_Total ,Other Motor Vehicles_Offenders,Other Motor Vehicles_Victims,Other Motor Vehicles_Total ,Bicycle_Offenders,Bicycle_Victims,Bicycle_Total ,Hand Drawn Vehicle/ Cycle Rickshaw_Offenders,Hand Drawn Vehicle/ Cycle Rickshaw_Victims,Hand Drawn Vehicle/ Cycle Rickshaw_Total ,Animal Drawn Vehicle_Offenders,Animal Drawn Vehicle_Victims,Animal Drawn Vehicle_Total ,Pedestrian_Offenders,Pedestrian_Victims,Pedestrian_Total ,Others_Offenders,Others_Victims,Others_Total ,Grand Total_Offenders,Grand Total_Victims,Grand Total_Total 
State,ANDHRA PRADESH,487,556,1043,148,321,469,39,98,137,419,585,1004,108,49,157,140,137,277,237,492,729,1468,1544,3012,45,144,189,52,45,97,3,22,25,4,14,18,113,647,760,13,54,67,3276,4708,7984
State,ARUNACHAL PRADESH,16,16,32,0,0,0,5,5,10,18,7,25,1,1,2,0,3,3,1,0,1,28,2,30,1,1,2,1,0,1,0,0,0,0,0,0,0,1,1,2,0,2,73,36,109
State,ASSAM,188,111,299,88,197,285,47,134,181,398,284,682,30,1,31,18,23,41,68,119,187,845,517,1362,14,1,15,102,12,114,43,0,43,0,0,0,0,5,5,0,0,0,1841,1404,3245
State,BIHAR,543,573,1116,324,227,551,249,261,510,227,220,447,169,51,220,194,68,262,309,252,561,1950,1031,2981,7,23,30,95,64,159,1,18,19,27,0,27,127,195,322,0,0,0,4222,2983,7205
State,CHHATTISGARH,233,456,689,50,85,135,60,96,156,105,262,367,9,16,25,83,185,268,24,36,60,1476,1023,2499,71,144,215,39,99,138,0,0,0,0,2,2,15,228,243,83,123,206,2248,2755,5003
State,GOA,0,7,7,0,4,4,1,0,1,6,21,27,0,1,1,0,0,0,1,1,2,103,104,207,1,0,1,0,2,2,0,0,0,0,0,0,0,47,47,0,0,0,112,187,299
State,GUJARAT,244,718,962,43,214,257,56,151,207,317,844,1161,43,162,205,37,120,157,117,292,409,1322,1669,2991,26,68,94,16,98,114,0,2,2,3,4,7,0,728,728,32,102,134,2256,5172,7428
State,HARYANA,65,698,763,18,181,199,23,128,151,124,752,876,10,67,77,16,155,171,14,116,130,334,876,1210,17,165,182,21,31,52,0,0,0,0,12,12,385,747,1132,15,299,314,1042,4227,5269
State,HIMACHAL PRADESH,41,62,103,10,105,115,21,24,45,177,180,357,62,83,145,19,15,34,0,1,1,160,111,271,3,16,19,2,3,5,0,0,0,1,2,3,7,19,26,0,0,0,503,621,1124
State,JAMMU & KASHMIR,61,44,105,67,46,113,22,66,88,99,125,224,2,5,7,16,14,30,1,11,12,108,93,201,39,72,111,1,0,1,0,0,0,0,0,0,15,59,74,29,14,43,460,549,1009
