Sl. No.,Category,State/UT/City,Road Accidents - 2014,Road Accidents - 2015,Road Accidents - % Var.,Railway Accidents - 2014,Railway Accidents - 2015,Railway Accidents - % Var.,Railway Crossing Accidents - 2014,Railway Crossing Accidents - 2015,Railway Crossing Accidents - % Var.,Total Traffic Accidents - 2014,Total Traffic Accidents - 2015,Total Traffic Accidents - % Var.,% Share
1,State,ANDHRA PRADESH,23154,22839,-1.4,1466,1129,-23,3,268,8833.3,24623,24236,-1.6,4.9
2,State,ARUNACHAL PRADESH,185,284,53.5,0,1,NA,0,0,NA,185,285,54.1,0.1
3,State,ASSAM,7144,6959,-2.6,670,664,-0.9,11,10,-9.1,7825,7633,-2.5,1.5
4,State,BIHAR,9531,9567,0.4,601,1889,214.3,481,15,-96.9,10613,11471,8.1,2.3
5,State,CHHATTISGARH,12140,14446,19,637,521,-18.2,27,10,-63,12804,14977,17,3
6,State,GOA,4230,4338,2.6,27,36,33.3,7,11,57.1,4264,4385,2.8,0.9
7,State,GUJARAT,22152,23362,5.5,1153,1084,-6,27,112,314.8,23332,24558,5.3,4.9
8,State,HARYANA,11043,11287,2.2,1361,1,-99.9,13,1290,9823.1,12417,12578,1.3,2.5
9,State,HIMACHAL PRADESH,3325,3010,-9.5,0,0,NA,0,0,NA,3325,3010,-9.5,0.6
10,State,JAMMU & KASHMIR,5778,5847,1.2,52,61,17.3,0,0,NA,5830,5908,1.3,1.2
11,State,JHARKHAND,4905,5162,5.2,355,227,-36.1,54,10,-81.5,5314,5399,1.6,1.1
12,State,KARNATAKA,43694,44011,0.7,36,891,2375,0,6,NA,43730,44908,2.7,9
13,State,KERALA,35872,39014,8.8,368,299,-18.8,44,30,-31.8,36284,39343,8.4,7.9
14,State,MADHYA PRADESH,39698,40859,2.9,1926,1817,-5.7,123,224,82.1,41747,42900,2.8,8.6
15,State,MAHARASHTRA,44382,42250,-4.8,7969,7806,-2,18,0,-100,52369,50056,-4.4,10.1
16,State,MANIPUR,735,668,-9.1,0,0,NA,0,0,NA,735,668,-9.1,0.1
17,State,MEGHALAYA,301,421,39.9,0,0,NA,0,0,NA,301,421,39.9,0.1
18,State,MIZORAM,95,71,-25.3,0,0,NA,0,0,NA,95,71,-25.3,0
19,State,NAGALAND,28,42,50,11,0,-100,0,9,NA,39,51,30.8,0
20,State,ODISHA,9640,10542,9.4,246,177,-28,128,105,-18,10014,10824,8.1,2.2
21,State,PUNJAB,6391,6702,4.9,1047,934,-10.8,4,14,250,7442,7650,2.8,1.5
22,State,RAJASTHAN,24639,24072,-2.3,734,770,4.9,24,18,-25,25397,24860,-2.1,5
23,State,SIKKIM,130,211,62.3,0,0,NA,0,0,NA,130,211,62.3,0
24,State,TAMIL NADU,67250,69059,2.7,1845,1742,-5.6,0,0,NA,69095,70801,2.5,14.3
25,State,TELANGANA,20078,21252,5.8,3,1140,37900,1061,8,-99.2,21142,22400,6,4.5
26,State,TRIPURA,716,647,-9.6,0,0,NA,0,0,NA,716,647,-9.6,0.1
27,State,UTTAR PRADESH,26064,28095,7.8,4006,4431,10.6,359,358,-0.3,30429,32884,8.1,6.6
28,State,UTTARAKHAND,801,1523,90.1,35,120,242.9,20,6,-70,856,1649,92.6,0.3
29,State,WEST BENGAL,17105,17706,3.5,2895,2726,-5.8,131,149,13.7,20131,20581,2.2,4.1
TOTAL (STATES),TOTAL (STATES),TOTAL (STATES),441206,454246,3,27443,28466,3.7,2535,2653,4.7,471184,485365,3,97.7
30,Union Territories,A & N ISLANDS,218,258,18.3,0,0,NA,0,0,NA,218,258,18.3,0.1
31,Union Territories,CHANDIGARH,366,413,12.8,0,0,NA,0,0,NA,366,413,12.8,0.1
32,Union Territories,D & N HAVELI,87,69,-20.7,0,0,NA,0,0,NA,87,69,-20.7,0
33,Union Territories,DAMAN & DIU,39,70,79.5,0,0,NA,0,0,NA,39,70,79.5,0
34,Union Territories,DELHI (UT),8310,8085,-2.7,914,938,2.6,11,16,45.5,9235,9039,-2.1,1.8
35,Union Territories,LAKSHADWEEP,1,3,200,0,0,NA,0,0,NA,1,3,200,0
36,Union Territories,PUDUCHERRY,671,1530,128,3,15,400,1,0,-100,675,1545,128.9,0.3
TOTAL (UTs),TOTAL (UTs),TOTAL (UTs),9692,10428,7.6,917,953,3.9,12,16,33.3,10621,11397,7.3,2.3
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),450898,464674,3.1,28360,29419,3.7,2547,2669,4.8,481805,496762,3.1,100
37,City,AGRA,971,1021,5.1,26,37,42.3,21,28,33.3,1018,1086,6.7,1.3
38,City,AHMEDABAD,1906,2022,6.1,60,7,-88.3,0,44,NA,1966,2073,5.4,2.6
39,City,ALLAHABAD,1101,1011,-8.2,92,113,22.8,2,0,-100,1195,1124,-5.9,1.4
40,City,AMRITSAR,165,150,-9.1,0,0,NA,0,0,NA,165,150,-9.1,0.2
41,City,ASANSOL,439,363,-17.3,6,0,-100,12,1,-91.7,457,364,-20.4,0.5
42,City,AURANGABAD,2347,3123,33.1,47,41,-12.8,0,0,NA,2394,3164,32.2,3.9
43,City,BENGALURU,5004,5001,-0.1,0,0,NA,0,0,NA,5004,5001,-0.1,6.2
