Sl. No.,Category,State/UT/City,Road Accidents - Jan.,Road Accidents - Feb.,Road Accidents - Mar.,Road Accidents - Apr.,Road Accidents - May,Road Accidents - Jun.,Road Accidents - Jul.,Road Accidents - Aug.,Road Accidents - Sep.,Road Accidents - Oct.,Road Accidents - Nov.,Road Accidents - Dec.,Road Accidents - Total,Railway Crossing Accidents - Jan.,Railway Crossing Accidents - Feb.,Railway Crossing Accidents - Mar.,Railway Crossing Accidents - Apr.,Railway Crossing Accidents - May,Railway Crossing Accidents - Jun.,Railway Crossing Accidents - Jul.,Railway Crossing Accidents - Aug.,Railway Crossing Accidents - Sep.,Railway Crossing Accidents - Oct.,Railway Crossing Accidents - Nov.,Railway Crossing Accidents - Dec.,Railway Crossing Accidents - Total,Railway Accidents - Jan.,Railway Accidents - Feb.,Railway Accidents - Mar.,Railway Accidents - Apr.,Railway Accidents - May,Railway Accidents - Jun.,Railway Accidents - Jul.,Railway Accidents - Aug.,Railway Accidents - Sep.,Railway Accidents - Oct.,Railway Accidents - Nov.,Railway Accidents - Dec.,Railway Accidents - Total,Total Traffic Accidents - Jan.,Total Traffic Accidents - Feb.,Total Traffic Accidents - Mar.,Total Traffic Accidents - Apr.,Total Traffic Accidents - May,Total Traffic Accidents - Jun.,Total Traffic Accidents - Jul.,Total Traffic Accidents - Aug.,Total Traffic Accidents - Sep.,Total Traffic Accidents - Oct.,Total Traffic Accidents - Nov.,Total Traffic Accidents - Dec.,Total Traffic Accidents - Total
1,State,Andhra Pradesh,1956,1813,1941,1875,2049,1777,1865,1642,1362,1553,1497,1678,21008,0,0,0,0,0,0,0,0,0,0,0,1,1,109,102,118,123,148,161,133,128,126,124,123,130,1525,2065,1915,2059,1998,2197,1938,1998,1770,1488,1677,1620,1809,22534
2,State,Arunachal Pradesh,33,13,18,20,19,15,16,19,12,18,15,31,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,13,18,20,19,15,16,19,12,18,15,31,229
3,State,Assam,622,541,548,583,647,639,545,585,570,603,602,695,7180,3,1,2,2,1,0,3,1,2,2,1,3,21,49,40,54,52,56,42,40,46,51,54,31,40,555,674,582,604,637,704,681,588,632,623,659,634,738,7756
4,State,Bihar,767,754,779,866,965,863,741,695,655,778,883,854,9600,16,10,21,24,17,19,14,18,21,18,21,23,222,131,129,125,141,163,225,117,147,95,104,92,114,1583,914,893,925,1031,1145,1107,872,860,771,900,996,991,11405
5,State,Chhattisgarh,1493,1170,1190,1168,1177,1138,1162,1074,989,1117,1085,1102,13865,1,1,5,0,2,6,2,4,1,3,0,3,28,38,30,35,34,31,47,25,31,35,40,32,22,400,1532,1201,1230,1202,1210,1191,1189,1109,1025,1160,1117,1127,14293
6,State,Goa,344,350,320,333,319,308,261,248,269,305,310,343,3710,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,2,2,0,2,2,4,7,10,39,345,352,322,338,321,310,261,250,271,309,317,353,3749
7,State,Gujarat,1620,1512,1615,1625,1735,1565,1342,1377,1342,1494,1655,1532,18414,0,0,0,0,0,0,0,0,0,0,0,0,0,72,80,87,76,99,90,80,76,90,94,92,78,1014,1692,1592,1702,1701,1834,1655,1422,1453,1432,1588,1747,1610,19428
8,State,Haryana,913,999,1055,1069,949,911,888,955,885,1035,960,1033,11652,0,0,1,0,0,3,0,2,0,0,0,0,6,126,138,178,162,205,208,187,222,196,189,174,156,2141,1039,1137,1234,1231,1154,1122,1075,1179,1081,1224,1134,1189,13799
9,State,Himachal Pradesh,241,214,271,274,237,296,279,248,263,263,254,279,3119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,214,271,274,237,296,279,248,263,263,254,279,3119
10,State,Jammu & Kashmir,459,399,461,482,551,547,503,586,513,566,474,456,5997,0,0,0,0,0,0,0,0,1,1,0,0,2,4,2,8,7,9,4,6,5,5,6,4,4,64,463,401,469,489,560,551,509,591,519,573,478,460,6063
11,State,Jharkhand,517,436,421,489,509,471,429,408,390,452,418,454,5394,1,2,0,3,2,0,1,0,0,0,0,0,9,47,44,31,35,46,32,45,38,39,37,22,31,447,565,482,452,527,557,503,475,446,429,489,440,485,5850
12,State,Karnataka,3936,3473,3552,3526,3703,3466,3261,3227,3158,3214,3432,3759,41707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3936,3473,3552,3526,3703,3466,3261,3227,3158,3214,3432,3759,41707
13,State,Kerala,3655,3433,3448,3326,3592,3200,3045,2918,3278,3302,3449,3535,40181,15,16,11,20,14,16,14,15,16,20,14,9,180,23,16,28,22,19,26,14,13,25,19,24,29,258,3693,3465,3487,3368,3625,3242,3073,2946,3319,3341,3487,3573,40619
14,State,Madhya Pradesh,4709,3800,4117,4309,4369,4111,3658,3545,3473,3939,3636,3803,47469,11,12,15,9,17,11,14,10,18,14,12,9,152,121,104,126,124,161,141,125,116,102,107,122,110,1459,4841,3916,4258,4442,4547,4263,3797,3671,3593,4060,3770,3922,49080
15,State,Maharashtra,2562,2343,2572,2590,2808,2373,1995,2201,2321,2643,2626,2706,29740,0,0,0,0,0,0,0,0,0,0,0,0,0,523,455,524,534,545,565,489,529,561,571,525,528,6349,3085,2798,3096,3124,3353,2938,2484,2730,2882,3214,3151,3234,36089
16,State,Manipur,53,46,53,43,40,44,43,48,38,49,71,74,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,46,53,43,40,44,43,48,38,49,71,74,602
17,State,Meghalaya,37,22,22,20,17,19,22,17,19,16,26,21,258,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,22,23,20,17,19,22,17,19,16,26,21,259
18,State,Mizoram,3,0,3,6,8,3,3,5,4,5,6,4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,8,3,3,5,4,5,6,4,50
19,State,Nagaland,4,6,8,4,3,6,3,1,4,1,1,9,50,2,0,2,2,1,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,10,6,4,6,5,1,4,1,1,9,59
20,State,Odisha,1029,907,950,953,971,936,863,859,853,937,944,1060,11262,0,0,0,1,0,1,1,0,0,0,0,0,3,35,35,43,46,29,39,33,43,30,36,23,35,427,1064,942,993,1000,1000,976,897,902,883,973,967,1095,11692
21,State,Punjab,577,488,504,546,570,500,487,518,500,536,618,580,6424,0,0,0,0,0,0,0,0,0,0,0,0,0,56,65,70,76,60,74,79,90,71,79,67,78,865,633,553,574,622,630,574,566,608,571,615,685,658,7289
22,State,Rajasthan,2053,1727,1922,1980,2062,1738,1679,1625,1756,1795,1873,1533,21743,0,0,0,0,0,0,0,2,1,0,0,0,3,41,54,53,65,52,61,49,60,68,69,47,36,655,2094,1781,1975,2045,2114,1799,1728,1687,1825,1864,1920,1569,22401
23,State,Sikkim,12,22,14,11,18,6,17,8,11,29,11,10,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,14,11,18,6,17,8,11,29,11,10,169
