Sl. No.,Category,State/UT/City,Road Accidents - 2015,Road Accidents - 2016,Road Accidents - % Var.,Railway Accidents - 2015,Railway Accidents - 2016,Railway Accidents - % Var.,Railway Crossing Accidents - 2015,Railway Crossing Accidents - 2016,Railway Crossing Accidents - % Var.,Total Traffic Accidents - 2015,Total Traffic Accidents - 2016,Total Traffic Accidents - % Var.,% Share
47,City,Coimbatore,1513,1354,-10.5,0,0,NA,0,0,NA,1513,1354,-10.5,1.6
48,City,Delhi (City),7148,5827,-18.5,938,934,-0.4,16,6,-62.5,8102,6767,-16.5,7.9
49,City,Dhanbad,114,217,90.4,0,0,NA,0,0,NA,114,217,90.4,0.3
50,City,Durg Bhilainagar,941,876,-6.9,20,34,70,0,0,NA,961,910,-5.3,1.1
51,City,Faridabad,693,653,-5.8,0,0,NA,0,0,NA,693,653,-5.8,0.8
52,City,Ghaziabad,643,655,1.9,158,86,-45.6,10,0,-100,811,741,-8.6,0.9
53,City,Gwalior,1606,1504,-6.4,29,34,17.2,0,0,NA,1635,1538,-5.9,1.8
54,City,Hyderabad,2761,2945,6.7,0,0,NA,0,0,NA,2761,2945,6.7,3.4
55,City,Indore,224,4021,1695.1,17,15,-11.8,0,0,NA,241,4036,1574.7,4.7
56,City,Jabalpur,142,2317,1531.7,47,113,140.4,0,0,NA,189,2430,1185.7,2.8
57,City,Jaipur,3151,3004,-4.7,0,50,NA,0,12,NA,3151,3066,-2.7,3.6
58,City,Jamshedpur,226,188,-16.8,0,0,NA,0,0,NA,226,188,-16.8,0.2
59,City,Jodhpur,678,640,-5.6,0,0,NA,0,0,NA,678,640,-5.6,0.7
60,City,Kannur,624,504,-19.2,20,28,40,0,0,NA,644,532,-17.4,0.6
61,City,Kanpur,1051,994,-5.4,131,153,16.8,11,0,-100,1193,1147,-3.9,1.3
62,City,Kochi,2561,2573,0.5,28,23,-17.9,0,0,NA,2589,2596,0.3,3
63,City,Kolkata,4981,4104,-17.6,0,0,NA,0,0,NA,4981,4104,-17.6,4.8
64,City,Kollam,1561,1677,7.4,0,0,NA,0,14,NA,1561,1691,8.3,2
65,City,Kota,745,590,-20.8,0,0,NA,0,0,NA,745,590,-20.8,0.7
66,City,Kozhikode,1487,1542,3.7,26,26,0,0,0,NA,1513,1568,3.6,1.8
67,City,Lucknow,1277,1444,13.1,37,31,-16.2,3,0,-100,1317,1475,12,1.7
68,City,Ludhiana,566,549,-3,0,0,NA,0,0,NA,566,549,-3,0.6
69,City,Madurai,1037,946,-8.8,0,0,NA,0,0,NA,1037,946,-8.8,1.1
70,City,Malappuram,708,678,-4.2,9,16,77.8,0,0,NA,717,694,-3.2,0.8
71,City,Meerut,964,559,-42,13,5,-61.5,15,8,-46.7,992,572,-42.3,0.7
72,City,Mumbai,2551,2405,-5.7,4,0,-100,0,0,NA,2555,2405,-5.9,2.8
73,City,Nagpur,1397,1574,12.7,75,51,-32,0,0,NA,1472,1625,10.4,1.9
74,City,Nasik,247,230,-6.9,37,28,-24.3,0,0,NA,284,258,-9.2,0.3
75,City,Patna,665,691,3.9,0,0,NA,0,0,NA,665,691,3.9,0.8
76,City,Pune,1553,1519,-2.2,26,22,-15.4,0,0,NA,1579,1541,-2.4,1.8
77,City,Raipur,1345,1418,5.4,49,65,32.7,0,1,NA,1394,1484,6.5,1.7
78,City,Rajkot,780,719,-7.8,0,15,NA,0,0,NA,780,734,-5.9,0.9
79,City,Ranchi,304,355,16.8,0,0,NA,0,0,NA,304,355,16.8,0.4
80,City,Srinagar,435,324,-25.5,0,0,NA,0,0,NA,435,324,-25.5,0.4
81,City,Surat,903,736,-18.5,0,0,NA,24,19,-20.8,927,755,-18.6,0.9
82,City,Thiruvananthapuram,2199,2453,11.6,11,0,-100,0,14,NA,2210,2467,11.6,2.9
83,City,Thrissur,1406,1357,-3.5,14,0,-100,0,17,NA,1420,1374,-3.2,1.6
84,City,Tiruchirappalli,828,657,-20.7,0,0,NA,0,0,NA,828,657,-20.7,0.8
85,City,Vadodara,1164,1046,-10.1,0,18,NA,17,0,-100,1181,1064,-9.9,1.2
86,City,Varanasi,372,268,-28,35,39,11.4,0,3,NA,407,310,-23.8,0.4
87,City,Vasai Virar,681,739,8.5,0,0,NA,0,0,NA,681,739,8.5,0.9
88,City,Vijayawada,1644,1550,-5.7,0,0,NA,0,0,NA,1644,1550,-5.7,1.8
89,City,Vishakhapatnam,1637,1458,-10.9,1,0,-100,0,1,NA,1638,1459,-10.9,1.7
City,City,Total (Cities),78500,83324,6.1,1923,1930,0.4,237,252,6.3,80660,85506,6,100
