Sl. No.,Category,State/UT/City,Road Accidents - 2015,Road Accidents - 2016,Road Accidents - % Var.,Railway Accidents - 2015,Railway Accidents - 2016,Railway Accidents - % Var.,Railway Crossing Accidents - 2015,Railway Crossing Accidents - 2016,Railway Crossing Accidents - % Var.,Total Traffic Accidents - 2015,Total Traffic Accidents - 2016,Total Traffic Accidents - % Var.,% Share
1,State,Andhra Pradesh,22839,23658,3.6,1129,1203,6.6,268,189,-29.5,24236,25050,3.4,5
2,State,Arunachal Pradesh,284,227,-20.1,1,0,-100,0,0,NA,285,227,-20.4,0
3,State,Assam,6959,7270,4.5,664,623,-6.2,10,9,-10,7633,7902,3.5,1.6
4,State,Bihar,9567,8222,-14.1,1889,1691,-10.5,15,69,360,11471,9982,-13,2
5,State,Chhattisgarh,14446,13581,-6,521,440,-15.5,10,63,530,14977,14084,-6,2.8
6,State,Goa,4338,4304,-0.8,36,41,13.9,11,0,-100,4385,4345,-0.9,0.9
7,State,Gujarat,23362,21558,-7.7,1084,928,-14.4,112,186,66.1,24558,22672,-7.7,4.5
8,State,Haryana,11287,11325,0.3,1,0,-100,1290,1218,-5.6,12578,12543,-0.3,2.5
9,State,Himachal Pradesh,3010,3153,4.8,0,0,NA,0,0,NA,3010,3153,4.8,0.6
10,State,Jammu & Kashmir,5847,5477,-6.3,61,49,-19.7,0,0,NA,5908,5526,-6.5,1.1
11,State,Jharkhand,5162,4932,-4.5,227,439,93.4,10,37,270,5399,5408,0.2,1.1
12,State,Karnataka,44011,44436,1,891,0,-100,6,0,-100,44908,44436,-1.1,8.9
13,State,Kerala,39014,39420,1,299,287,-4,30,93,210,39343,39800,1.2,7.9
14,State,Madhya Pradesh,40859,51944,27.1,1817,1648,-9.3,224,225,0.4,42900,53817,25.4,10.7
15,State,Maharashtra,42250,37886,-10.3,7806,7160,-8.3,0,0,NA,50056,45046,-10,9
16,State,Manipur,668,668,0,0,0,NA,0,0,NA,668,668,0,0.1
17,State,Meghalaya,421,282,-33,0,0,NA,0,0,NA,421,282,-33,0.1
18,State,Mizoram,71,64,-9.9,0,0,NA,0,0,NA,71,64,-9.9,0
19,State,Nagaland,42,53,26.2,0,0,NA,9,14,55.6,51,67,31.4,0
20,State,Odisha,10542,10532,-0.1,177,117,-33.9,105,126,20,10824,10775,-0.5,2.1
21,State,Punjab,6702,6952,3.7,934,883,-5.5,14,5,-64.3,7650,7840,2.5,1.6
22,State,Rajasthan,24072,23066,-4.2,770,723,-6.1,18,37,105.6,24860,23826,-4.2,4.7
23,State,Sikkim,211,223,5.7,0,0,NA,0,0,NA,211,223,5.7,0
24,State,Tamil Nadu,69059,71431,3.4,1742,1852,6.3,0,0,NA,70801,73283,3.5,14.6
25,State,Telangana,21252,22811,7.3,1140,902,-20.9,8,0,-100,22400,23713,5.9,4.7
26,State,Tripura,647,557,-13.9,0,0,NA,0,14,NA,647,571,-11.7,0.1
27,State,Uttar Pradesh,28095,30608,8.9,4431,3301,-25.5,358,634,77.1,32884,34543,5,6.9
28,State,Uttarakhand,1523,1545,1.4,120,13,-89.2,6,33,450,1649,1591,-3.5,0.3
29,State,West Bengal,17706,16949,-4.3,2726,2690,-1.3,149,165,10.7,20581,19804,-3.8,3.9
State,State,Total (States),454246,463134,2,28466,24990,-12.2,2653,3117,17.5,485365,491241,1.2,97.8
30,Union Territory,A & N Islands,258,238,-7.8,0,0,NA,0,0,NA,258,238,-7.8,0
31,Union Territory,Chandigarh,413,426,3.1,0,0,NA,0,0,NA,413,426,3.1,0.1
32,Union Territory,D & N Haveli,69,70,1.4,0,0,NA,0,0,NA,69,70,1.4,0
33,Union Territory,Daman & Diu,70,43,-38.6,0,0,NA,0,0,NA,70,43,-38.6,0
34,Union Territory,Delhi (UT),8085,7375,-8.8,938,934,-0.4,16,6,-62.5,9039,8315,-8,1.7
35,Union Territory,Lakshadweep,3,1,-66.7,0,0,NA,0,0,NA,3,1,-66.7,0
36,Union Territory,Puducherry,1530,1763,15.2,15,3,-80,0,0,NA,1545,1766,14.3,0.4
Union Territory,Union Territory,Total (UTs),10428,9916,-4.9,953,937,-1.7,16,6,-62.5,11397,10859,-4.7,2.2
Total (All India),Total (All India),Total (All India),464674,473050,1.8,29419,25927,-11.9,2669,3123,17,496762,502100,1.1,100
37,City,Agra,1021,987,-3.3,37,29,-21.6,28,33,17.9,1086,1049,-3.4,1.2
38,City,Ahmedabad,2022,1977,-2.2,7,0,-100,44,42,-4.5,2073,2019,-2.6,2.4
39,City,Allahabad,1011,987,-2.4,113,64,-43.4,0,0,NA,1124,1051,-6.5,1.2
40,City,Amritsar,150,152,1.3,0,0,NA,0,0,NA,150,152,1.3,0.2
41,City,Asansol,363,418,15.2,0,1,NA,1,0,-100,364,419,15.1,0.5
42,City,Aurangabad,3123,2470,-20.9,41,50,22,0,0,NA,3164,2520,-20.4,2.9
43,City,Bengaluru,5001,5356,7.1,0,0,NA,0,0,NA,5001,5356,7.1,6.3
44,City,Bhopal,561,3218,473.6,0,0,NA,68,82,20.6,629,3300,424.6,3.9
45,City,Chandigarh (City),407,413,1.5,0,0,NA,0,0,NA,407,413,1.5,0.5
46,City,Chennai,7328,7486,2.2,0,0,NA,0,0,NA,7328,7486,2.2,8.8
