Sl. No.,Category,State/UT/City,Road Accidents - Cases,Road Accidents - Injured,Road Accidents - Died,Railway Accidents - Cases,Railway Accidents - Injured,Railway Accidents - Died,Railway Crossing Accidents - Cases,Railway Crossing Accidents - Injured,Railway Crossing Accidents - Died,Total Traffic Accidents - Cases,Total Traffic Accidents - Injured,Total Traffic Accidents - Died
58,City,JAMSHEDPUR,226,180,88,0,0,0,0,0,0,226,180,88
59,City,JODHPUR,678,700,297,0,0,0,0,0,0,678,700,297
60,City,KANNUR,624,796,67,20,0,20,0,0,0,644,796,87
61,City,KANPUR,1051,437,889,131,0,131,11,0,11,1193,437,1031
62,City,KOCHI,2561,2721,168,28,0,28,0,0,0,2589,2721,196
63,City,KOLKATA,4981,4569,421,0,0,0,0,0,0,4981,4569,421
64,City,KOLLAM,1561,1601,204,0,0,0,0,0,0,1561,1601,204
65,City,KOTA,745,713,108,0,0,0,0,0,0,745,713,108
66,City,KOZHIKODE,1487,1567,159,26,0,28,0,0,0,1513,1567,187
67,City,LUCKNOW,1277,816,624,37,0,39,3,0,3,1317,816,666
68,City,LUDHIANA,566,324,348,0,0,0,0,0,0,566,324,348
69,City,MADURAI,1037,1021,215,0,0,0,0,0,0,1037,1021,215
70,City,MALAPPURAM,708,792,70,9,0,9,0,0,0,717,792,79
71,City,MEERUT,964,981,420,13,10,14,15,0,15,992,991,449
72,City,MUMBAI,2551,2289,611,4,0,4,0,0,0,2555,2289,615
73,City,NAGPUR,1397,1196,317,75,1,76,0,0,0,1472,1197,393
74,City,NASIK,247,47,260,37,0,37,0,0,0,284,47,297
75,City,PATNA,665,390,261,0,0,0,0,0,0,665,390,261
76,City,PUNE,1553,1050,543,26,0,26,0,0,0,1579,1050,569
77,City,RAIPUR,1345,739,196,49,0,49,0,0,0,1394,739,245
78,City,RAJKOT,780,716,150,0,0,0,0,0,0,780,716,150
79,City,RANCHI,304,261,152,0,0,0,0,0,0,304,261,152
80,City,SRINAGAR,435,462,63,0,0,0,0,0,0,435,462,63
81,City,SURAT,903,800,256,0,0,0,24,0,24,927,800,280
82,City,THIRUVANANTHAPURAM,2199,2660,164,11,0,11,0,0,0,2210,2660,175
83,City,THRISSUR,1406,1538,110,14,0,14,0,0,0,1420,1538,124
84,City,TIRUCHIRAPPALLI,828,873,161,0,0,0,0,0,0,828,873,161
85,City,VADODARA,1164,984,229,0,0,0,17,0,18,1181,984,247
86,City,VARANASI,372,157,255,35,0,35,0,0,0,407,157,290
87,City,VASAI VIRAR,681,415,197,0,0,0,0,0,0,681,415,197
88,City,VIJAYAWADA,1644,1576,379,0,0,0,0,0,0,1644,1576,379
89,City,VISHAKHAPATNAM,1637,1313,373,1,0,1,0,0,0,1638,1313,374
TOTAL (CITIES),TOTAL (CITIES),TOTAL (CITIES),78500,70725,17059,1923,91,1860,237,15,231,80660,70831,19150
