Category,State/UT/City,Road Accidents_2018,Road Accidents_2019,Road Accidents_% Var,Railway Accidents_2018,Railway Accidents_2019,Railway Accidents_% Var,Railway Crossing Accidents_2018,Railway Crossing Accidents_2019,Railway Crossing Accidents_% Var,Total Traffic Accidents_2018,Total Traffic Accidents_2019,Total Traffic Accidents_% Var,% Share
City,JODHPUR,549,686,25,0,0,NA,0,0,NA,549,686,25,1
City,KANNUR,621,657,5.8,15,30,100,0,0,NA,636,687,8,1
City,KANPUR,1126,1053,-6.5,0,0,NA,78,91,16.7,1204,1144,-5,1.7
City,KOCHI,2311,2138,-7.5,0,0,NA,29,16,-44.8,2340,2154,-7.9,3.1
City,KOLKATA,2173,2068,-4.8,0,0,NA,0,0,NA,2173,2068,-4.8,3
City,KOLLAM,1940,1940,0,0,0,NA,21,23,9.5,1961,1963,0.1,2.8
City,KOTA,466,491,5.4,0,0,NA,0,0,NA,466,491,5.4,0.7
City,KOZHIKODE,1423,1597,12.2,13,11,-15.4,0,8,NA,1436,1616,12.5,2.3
City,LUCKNOW,872,879,0.8,23,56,143.5,3,3,0,898,938,4.5,1.4
City,LUDHIANA,477,526,10.3,0,0,NA,0,0,NA,477,526,10.3,0.8
City,MADURAI,962,866,-10,0,0,NA,0,0,NA,962,866,-10,1.3
City,MALAPPURAM,812,838,3.2,8,4,-50,0,0,NA,820,842,2.7,1.2
City,MEERUT,543,511,-5.9,0,0,NA,10,17,70,553,528,-4.5,0.8
City,MUMBAI,691,588,-14.9,0,2,NA,0,0,NA,691,590,-14.6,0.9
City,NAGPUR,1340,1119,-16.5,50,46,-8,0,0,NA,1390,1165,-16.2,1.7
City,NASIK,264,189,-28.4,5,34,580,0,0,NA,269,223,-17.1,0.3
City,PATNA,621,524,-15.6,0,0,NA,0,0,NA,621,524,-15.6,0.8
City,PUNE,394,308,-21.8,18,29,61.1,0,0,NA,412,337,-18.2,0.5
City,RAIPUR,1233,1257,1.9,28,42,50,3,0,-100,1264,1299,2.8,1.9
City,RAJKOT,568,575,1.2,16,19,18.8,0,0,NA,584,594,1.7,0.9
City,RANCHI,337,354,5,0,0,NA,0,0,NA,337,354,5,0.5
City,SRINAGAR,375,310,-17.3,0,0,NA,0,0,NA,375,310,-17.3,0.4
City,SURAT,948,865,-8.8,21,25,19,0,0,NA,969,890,-8.2,1.3
City,THIRUVANANTHAPURAM,2036,1704,-16.3,0,0,NA,17,16,-5.9,2053,1720,-16.2,2.5
City,THRISSUR,2222,2210,-0.5,26,36,38.5,0,0,NA,2248,2246,-0.1,3.3
City,TIRUCHIRAPPALLI,602,517,-14.1,0,0,NA,0,0,NA,602,517,-14.1,0.7
City,VADODARA,776,679,-12.5,15,16,6.7,0,0,NA,791,695,-12.1,1
City,VARANASI,208,160,-23.1,21,20,-4.8,0,0,NA,229,180,-21.4,0.3
City,VASAI VIRAR,364,335,-8,0,0,NA,0,0,NA,364,335,-8,0.5
City,VIJAYAWADA,1663,1499,-9.9,0,0,NA,0,0,0,1663,1499,-9.9,2.2
City,VISHAKHAPATNAM,921,966,4.9,1,6,500,1,0,-100,923,972,5.3,1.4
City,TOTAL (CITIES),69490,67228,-3.3,1572,1568,-0.3,196,268,36.7,71258,69064,-3.1,100
