Sl. No.,State/UT,Road Accidents - 0000 hrs to 0300 hrs. (Night),Road Accidents - 0300 hrs to 0600 hrs. (Night),Road Accidents - 0600 hrs to 0900 hrs (Day),Road Accidents - 0900 hrs to 1200 hrs (Day),Road Accidents - 1200 hrs to 1500 hrs (Day),Road Accidents - 1500 hrs to 1800 hrs (Day),Road Accidents - 1800 hrs to 2100hrs (Night),Road Accidents - 2100 hrs. to 2400hrs(Night),Road Accidents - Total,Railway Crossing Accidents - 0000 hrs to 0300 hrs. (Night),Railway Crossing Accidents - 0300 hrs to 0600 hrs. (Night),Railway Crossing Accidents - 0600 hrs to 0900 hrs (Day),Railway Crossing Accidents - 0900 hrs to 1200 hrs (Day),Railway Crossing Accidents - 1200 hrs to 1500 hrs (Day),Railway Crossing Accidents - 1500 hrs to 1800 hrs (Day),Railway Crossing Accidents - 1800 hrs to 2100 hrs (Night),Railway Crossing Accidents - 2100 hrs. to 2400 hrs (Night),Railway Crossing Accidents - Total,Railway Accidents - 0000 hrs to 0300 hrs. (Night),Railway Accidents - 0300 hrs to 0600 hrs. (Night),Railway Accidents - 0600 hrs to 0900 hrs (Day),Railway Accidents - 0900 hrs to 1200 hrs (Day),Railway Accidents - 1200 hrs to 1500 hrs (Day),Railway Accidents - 1500 hrs to 1800 hrs (Day),Railway Accidents - 1800 hrs to 2100 hrs (Night),Railway Accidents - 2100 hrs. to 2400 hrs (Night),Railway Accidents - Total,Total (Traffic Accidents) - 0000 hrs to 0300 hrs. (Night),Total (Traffic Accidents) - 0300 hrs to 0600 hrs. (Night),Total (Traffic Accidents) - 0600 hrs to 0900 hrs (Day),Total (Traffic Accidents) - 0900 hrs to 1200 hrs (Day),Total (Traffic Accidents) - 1200 hrs to 1500 hrs (Day),Total (Traffic Accidents) - 1500 hrs to 1800 hrs (Day),Total (Traffic Accidents) - 1800 hrs to 2100 hrs (Night),Total (Traffic Accidents) - 2100 hrs. to 2400 hrs (Night),Total (Traffic Accidents) - Total
25,Tripura,12,16,54,104,93,100,123,73,575,0,0,0,0,0,0,1,1,2,1,1,8,3,4,2,5,3,27,13,17,62,107,97,102,129,77,604
26,Uttar Pradesh,3941,3886,3937,4299,4580,5213,6154,4865,36875,114,131,164,191,191,211,194,144,1340,307,534,393,354,350,378,494,380,3190,4362,4551,4494,4844,5121,5802,6842,5389,41405
27,Uttarakhand,122,141,207,244,235,248,243,234,1674,0,0,0,0,0,1,0,0,1,4,9,8,12,10,5,18,8,74,126,150,215,256,245,254,261,242,1749
28,West Bengal,838,910,1193,1523,1495,1556,1699,1421,10635,23,47,81,82,52,76,111,74,546,130,216,389,382,261,291,323,229,2221,991,1173,1663,1987,1808,1923,2133,1724,13402
Total (States),Total (States),22850,24863,46223,62372,64272,75246,88502,48783,433111,188,250,337,342,305,363,404,368,2557,1738,2016,3685,3437,2681,2869,3254,2605,22285,24776,27129,50245,66151,67258,78478,92160,51756,457953
29,Andaman and Nicobar Islands,6,6,12,15,27,32,20,23,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12,15,27,32,20,23,141
30,Chandigarh,36,8,16,18,25,36,35,64,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,8,16,18,25,36,35,64,238
31,Dadra and Nicobar Haveli and Daman and Diu,8,1,15,27,17,37,44,26,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,15,27,17,37,44,26,175
32,Delhi (UT),626,528,609,667,776,692,828,834,5560,0,0,0,0,0,0,0,0,0,68,83,124,91,94,101,133,102,796,694,611,733,758,870,793,961,936,6356
33,Jammu and Kashmir,130,227,742,1167,1350,1204,951,319,6090,0,0,0,2,1,0,0,0,3,2,8,10,6,9,4,6,4,49,132,235,752,1175,1360,1208,957,323,6142
34,Ladakh,0,12,32,48,90,65,20,1,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,32,48,90,65,20,1,268
35,Lakshadweep,0,0,0,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4
36,Puducherry,32,35,144,157,199,202,261,151,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,2,9,32,35,144,157,202,206,261,153,1190
Total (UTs),Total (UTs),838,817,1570,2101,2484,2268,2161,1418,13657,0,0,0,2,1,0,0,0,3,70,91,134,97,106,109,139,108,854,908,908,1704,2200,2591,2377,2300,1526,14514
Total (All India),Total (All India),23688,25680,47793,64473,66756,77514,90663,50201,446768,188,250,337,344,306,363,404,368,2560,1808,2107,3819,3534,2787,2978,3393,2713,23139,25684,28037,51949,68351,69849,80855,94460,53282,472467
37,Agra,94,78,63,84,89,88,118,115,729,2,0,0,4,0,0,4,1,11,11,16,9,6,5,3,11,5,66,107,94,72,94,94,91,133,121,806
38,Ahmedabad,110,87,206,278,278,261,288,203,1711,0,0,0,0,0,0,0,0,0,1,1,8,8,4,4,10,4,40,111,88,214,286,282,265,298,207,1751
39,Amritsar,6,4,13,10,22,12,22,28,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,13,10,22,12,22,28,117
40,Asansol,28,44,54,85,64,62,85,75,497,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,7,28,44,56,87,64,62,85,78,504
41,Aurangabad,26,31,68,60,100,68,83,55,491,0,0,0,0,0,0,0,0,0,0,1,2,1,2,7,1,0,14,26,32,70,61,102,75,84,55,505
42,Bengaluru,246,577,461,585,580,211,517,645,3822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,577,461,585,580,211,517,645,3822
43,Bhopal,273,46,192,311,383,535,485,563,2788,1,3,1,0,0,0,0,0,5,8,15,12,2,1,13,2,9,62,282,64,205,313,384,548,487,572,2855
