Sl. No.,Category,State/UT/City,Road Accidents - Jan.,Road Accidents - Feb.,Road Accidents - Mar.,Road Accidents - Apr.,Road Accidents - May,Road Accidents - Jun.,Road Accidents - Jul.,Road Accidents - Aug.,Road Accidents - Sep.,Road Accidents - Oct.,Road Accidents - Nov.,Road Accidents - Dec.,Road Accidents - Total,Railway Crossing Accidents - Jan.,Railway Crossing Accidents - Feb.,Railway Crossing Accidents - Mar.,Railway Crossing Accidents - Apr.,Railway Crossing Accidents - May,Railway Crossing Accidents - Jun.,Railway Crossing Accidents - Jul.,Railway Crossing Accidents - Aug.,Railway Crossing Accidents - Sep.,Railway Crossing Accidents - Oct.,Railway Crossing Accidents - Nov.,Railway Crossing Accidents - Dec.,Railway Crossing Accidents - Total,Railway Accidents - Jan.,Railway Accidents - Feb.,Railway Accidents - Mar.,Railway Accidents - Apr.,Railway Accidents - May,Railway Accidents - Jun.,Railway Accidents - Jul.,Railway Accidents - Aug.,Railway Accidents - Sep.,Railway Accidents - Oct.,Railway Accidents - Nov.,Railway Accidents - Dec.,Railway Accidents - Total,Total Traffic Accidents - Jan.,Total Traffic Accidents - Feb.,Total Traffic Accidents - Mar.,Total Traffic Accidents - Apr.,Total Traffic Accidents - May,Total Traffic Accidents - Jun.,Total Traffic Accidents - Jul.,Total Traffic Accidents - Aug.,Total Traffic Accidents - Sep.,Total Traffic Accidents - Oct.,Total Traffic Accidents - Nov.,Total Traffic Accidents - Dec.,Total Traffic Accidents - Total
67,City,Lucknow,75,65,81,91,72,73,75,71,52,67,56,80,858,1,0,0,0,0,0,1,0,0,0,1,0,3,4,3,2,4,2,0,1,3,2,1,1,1,24,80,68,83,95,74,73,77,74,54,68,58,81,885
68,City,Ludhiana,45,59,47,41,47,42,46,44,51,52,59,30,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,59,47,41,47,42,46,44,51,52,59,30,563
69,City,Madurai,85,85,81,60,71,79,64,64,72,93,78,88,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,81,60,71,79,64,64,72,93,78,88,920
70,City,Malappuram,79,52,63,64,92,77,74,63,70,61,73,69,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,6,79,53,63,65,92,78,74,64,71,62,73,69,843
71,City,Meerut,47,38,46,58,39,37,51,38,52,39,48,54,547,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,47,38,46,58,39,37,51,38,52,39,50,56,551
72,City,Mumbai,68,52,87,64,76,74,44,45,60,59,76,50,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,52,87,64,76,74,44,45,60,59,76,50,755
73,City,Nagpur,140,111,126,102,114,122,115,101,96,131,118,145,1421,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,5,6,3,6,5,3,3,9,5,8,69,151,116,131,108,117,128,120,104,99,140,123,153,1490
74,City,Nasik,22,25,18,17,23,15,25,16,25,20,22,29,257,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,5,4,2,3,2,22,25,25,19,17,25,15,25,21,29,22,25,31,279
75,City,Patna,53,52,65,58,71,63,51,36,46,32,68,74,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,52,65,58,71,63,51,36,46,32,68,74,669
76,City,Pune,66,32,37,55,38,39,40,20,41,51,31,43,493,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,1,1,2,0,4,14,68,32,39,55,38,39,42,21,42,53,31,47,507
