Category,State/UT/City,Road Accidents - 2020,Road Accidents - 2021,Road Accidents - % Var,Railway Accidents - 2020,Railway Accidents - 2021,Railway Accidents - % Var,Railway Crossing Accidents - 2020,Railway Crossing Accidents - 2021,Railway Crossing Accidents - % Var,Total Traffic Accidents - 2020,Total Traffic Accidents - 2021,Total Traffic Accidents - % Var,% Share
City,Kollam,1411,1552,10,1,1,0,8,12,50,1420,1565,10.2,2.8
City,Kota,353,368,4.2,0,0,NA,0,0,NA,353,368,4.2,0.6
City,Kozhikode,1003,1377,37.3,10,9,-10,0,6,NA,1013,1392,37.4,2.4
City,Lucknow,1010,1063,5.2,3,36,1100,8,9,12.5,1021,1108,8.5,1.9
City,Ludhiana,388,478,23.2,0,0,NA,0,0,NA,388,478,23.2,0.8
City,Madurai,530,618,16.6,0,0,NA,0,0,NA,530,618,16.6,1.1
City,Malappuram,612,686,12.1,0,5,NA,0,0,NA,612,691,12.9,1.2
City,Meerut,377,348,-7.7,0,0,NA,14,14,0,391,362,-7.4,0.6
City,Mumbai,418,493,17.9,0,0,NA,0,0,NA,418,493,17.9,0.9
City,Nagpur,890,1024,15.1,31,37,19.4,0,0,NA,921,1061,15.2,1.9
City,Nasik,98,142,44.9,22,27,22.7,0,0,NA,120,169,40.8,0.3
City,Patna,373,384,2.9,0,0,NA,0,0,NA,373,384,2.9,0.7
City,Pune,174,304,74.7,15,22,46.7,0,0,NA,189,326,72.5,0.6
City,Raipur,907,932,2.8,31,47,51.6,3,0,-100,941,979,4,1.7
City,Rajkot,432,363,-16,10,10,0,0,0,NA,442,373,-15.6,0.7
City,Ranchi,247,183,-25.9,0,0,NA,0,0,NA,247,183,-25.9,0.3
City,Srinagar,276,331,19.9,0,0,NA,0,0,NA,276,331,19.9,0.6
City,Surat,575,670,16.5,11,34,209.1,0,0,NA,586,704,20.1,1.2
City,Thiruvananthapuram,1214,1438,18.5,0,0,NA,11,17,54.5,1225,1455,18.8,2.6
City,Thrissur,1464,1719,17.4,8,0,-100,0,0,NA,1472,1719,16.8,3
City,Tiruchirappalli,398,399,0.3,0,0,NA,0,0,NA,398,399,0.3,0.7
City,Vadodara,481,464,-3.5,8,8,0,0,0,NA,489,472,-3.5,0.8
City,Varanasi,120,133,10.8,20,29,45,0,0,NA,140,162,15.7,0.3
City,Vasai Virar,274,352,28.5,0,0,NA,0,0,NA,274,352,28.5,0.6
City,Vijayawada,991,1228,23.9,0,0,NA,0,0,NA,991,1228,23.9,2.2
City,Vishakhapatnam,1144,2339,104.5,0,5,NA,0,0,NA,1144,2344,104.9,4.1
City,Total (Cities),47829,55442,15.9,999,1280,28.1,139,172,23.7,48967,56894,16.2,100
