Si. No.,Category,State/UT/City,Road Accidents - Case,Road Accidents - Injured,Road Accidents - Died,Railway Accidents - Case,Railway Accidents - Injured,Railway Accidents - Died,Railway Crossing Accidents - Case,Railway Crossing Accidents - Injured,Railway Crossing Accidents - Died,Total Traffic Accidents - Case,Total Traffic Accidents - Injured,Total Traffic Accidents - Died
78,City,Raipur,907,529,159,31,0,31,3,0,3,941,529,193
79,City,Rajkot,432,324,138,10,0,10,0,0,0,442,324,148
80,City,Ranchi,247,144,164,0,0,0,0,0,0,247,144,164
81,City,Srinagar,276,275,45,0,0,0,0,0,0,276,275,45
82,City,Surat,575,423,191,11,0,11,0,0,0,586,423,202
83,City,Thiruvananthapuram,1214,1262,108,0,0,0,11,0,11,1225,1262,119
84,City,Thrissur,1464,1632,134,8,0,8,0,0,0,1472,1632,142
85,City,Tiruchirappalli,398,401,87,0,0,0,0,0,0,398,401,87
86,City,Vadodara,481,408,153,8,0,8,0,0,0,489,408,161
87,City,Varanasi,120,66,51,20,0,20,0,0,0,140,66,71
88,City,Vasai Virar,274,168,160,0,0,0,0,0,0,274,168,160
89,City,Vijayawada,991,977,274,0,0,0,0,0,0,991,977,274
90,City,Vishakhapatnam,1144,1182,255,0,0,0,0,0,0,1144,1182,255
Total (Cities),Total (Cities),Total (Cities),47829,41119,11433,999,137,889,139,3,139,48967,41259,12461
