Sl. No.,Category,State/UT/City,Road Accidents - Cases,Road Accidents - Injured,Road Accidents - Died,Railway Accidents - Cases,Railway Accidents - Injured,Railway Accidents - Died,Railway Crossing Accidents - Cases,Railway Crossing Accidents - Injured,Railway Crossing Accidents - Died,Total Traffic Accidents - Cases,Total Traffic Accidents - Injured,Total Traffic Accidents - Died
1,State,Andhra Pradesh,23658,30051,8541,1203,0,1208,189,1,188,25050,30052,9937
2,State,Arunachal Pradesh,227,340,142,0,0,0,0,0,0,227,340,142
3,State,Assam,7270,5835,2601,623,0,627,9,0,9,7902,5835,3237
4,State,Bihar,8222,5540,4867,1691,8,1700,69,1,68,9982,5549,6635
5,State,Chhattisgarh,13581,13002,3909,440,0,440,63,22,67,14084,13024,4416
6,State,Goa,4304,2084,339,41,0,41,0,0,0,4345,2084,380
7,State,Gujarat,21558,20044,8152,928,0,938,186,0,188,22672,20044,9278
8,State,Haryana,11325,10319,5170,0,0,0,1218,0,1218,12543,10319,6388
9,State,Himachal Pradesh,3153,5584,1166,0,0,0,0,0,0,3153,5584,1166
10,State,Jammu & Kashmir,5477,7692,958,49,0,49,0,0,0,5526,7692,1007
11,State,Jharkhand,4932,3793,3027,439,0,442,37,1,37,5408,3794,3506
12,State,Karnataka,44436,54544,11286,0,0,0,0,0,0,44436,54544,11286
13,State,Kerala,39420,44108,4287,287,1,289,93,0,95,39800,44109,4671
14,State,Madhya Pradesh,51944,53052,9861,1648,93,1558,225,0,225,53817,53145,11644
15,State,Maharashtra,37886,35726,13682,7160,2699,4462,0,0,0,45046,38425,18144
16,State,Manipur,668,1118,129,0,0,0,0,0,0,668,1118,129
17,State,Meghalaya,282,372,204,0,0,0,0,0,0,282,372,204
18,State,Mizoram,64,31,60,0,0,0,0,0,0,64,31,60
19,State,Nagaland,53,46,47,0,0,0,14,0,14,67,46,61
20,State,Odisha,10532,11312,4463,117,0,117,126,0,127,10775,11312,4707
21,State,Punjab,6952,4351,5077,883,42,843,5,0,10,7840,4393,5930
22,State,Rajasthan,23066,24103,10465,723,85,647,37,0,37,23826,24188,11149
23,State,Sikkim,223,343,112,0,0,0,0,0,0,223,343,112
24,State,Tamil Nadu,71431,82163,17218,1852,27,1831,0,0,0,73283,82190,19049
25,State,Telangana,22811,24217,7219,902,0,905,0,0,0,23713,24217,8124
26,State,Tripura,557,853,173,0,0,0,14,0,14,571,853,187
27,State,Uttar Pradesh,30608,20024,19006,3301,206,3432,634,30,655,34543,20260,23093
28,State,Uttarakhand,1545,1732,916,13,3,13,33,0,33,1591,1735,962
29,State,West Bengal,16949,13874,6650,2690,192,2509,165,23,142,19804,14089,9301
State,State,Total (States),463134,476253,149727,24990,3356,22051,3117,78,3127,491241,479687,174905
30,Union Territory,A & N Islands,238,323,17,0,0,0,0,0,0,238,323,17
31,Union Territory,Chandigarh,426,329,151,0,0,0,0,0,0,426,329,151
32,Union Territory,D & N Haveli,70,130,46,0,0,0,0,0,0,70,130,46
33,Union Territory,Daman & Diu,43,39,27,0,0,0,0,0,0,43,39,27
34,Union Territory,Delhi (UT),7375,6668,1591,934,19,916,6,0,6,8315,6687,2513
35,Union Territory,Lakshadweep,1,0,1,0,0,0,0,0,0,1,0,1
36,Union Territory,Puducherry,1763,1766,241,3,0,3,0,0,0,1766,1766,244
Union Territory,Union Territory,Total (UTs),9916,9255,2074,937,19,919,6,0,6,10859,9274,2999
Total (All India),Total (All India),Total (All India),473050,485508,151801,25927,3375,22970,3123,78,3133,502100,488961,177904
37,City,Agra,987,743,434,29,0,29,33,0,33,1049,743,496
38,City,Ahmedabad,1977,1676,451,0,0,0,42,0,43,2019,1676,494
39,City,Allahabad,987,760,252,64,0,64,0,0,0,1051,760,316
40,City,Amritsar,152,103,102,0,0,0,0,0,0,152,103,102
41,City,Asansol,418,220,219,1,0,1,0,0,0,419,220,220
42,City,Aurangabad,2470,2283,187,50,5,45,0,0,0,2520,2288,232
43,City,Bengaluru,5356,4252,988,0,0,0,0,0,0,5356,4252,988
44,City,Bhopal,3218,2697,164,0,0,0,82,0,82,3300,2697,246
45,City,Chandigarh (City),413,319,146,0,0,0,0,0,0,413,319,146
46,City,Chennai,7486,7349,1183,0,0,0,0,0,0,7486,7349,1183
47,City,Coimbatore,1354,1199,288,0,0,0,0,0,0,1354,1199,288
48,City,Delhi (City),5827,5189,1191,934,19,916,6,0,6,6767,5208,2113
49,City,Dhanbad,217,286,97,0,0,0,0,0,0,217,286,97
50,City,Durg Bhilainagar,876,851,206,34,0,34,0,0,0,910,851,240
51,City,Faridabad,653,508,241,0,0,0,0,0,0,653,508,241
52,City,Ghaziabad,655,419,344,86,0,86,0,0,0,741,419,430
53,City,Gwalior,1504,1232,122,34,0,36,0,0,0,1538,1232,158
54,City,Hyderabad,2945,2469,448,0,0,0,0,0,0,2945,2469,448
55,City,Indore,4021,3241,285,15,0,15,0,0,0,4036,3241,300
56,City,Jabalpur,2317,2317,183,113,0,113,0,0,0,2430,2317,296
57,City,Jaipur,3004,2625,890,50,0,51,12,0,12,3066,2625,953
58,City,Jamshedpur,188,186,77,0,0,0,0,0,0,188,186,77
59,City,Jodhpur,640,551,259,0,0,0,0,0,0,640,551,259
60,City,Kannur,504,660,52,28,0,28,0,0,0,532,660,80
61,City,Kanpur,994,596,503,153,0,153,0,0,0,1147,596,656
62,City,Kochi,2573,2595,169,23,0,23,0,0,0,2596,2595,192
63,City,Kolkata,4104,3027,346,0,0,0,0,0,0,4104,3027,346
64,City,Kollam,1677,1688,207,0,0,0,14,0,14,1691,1688,221
65,City,Kota,590,569,102,0,0,0,0,0,0,590,569,102
66,City,Kozhikode,1542,1681,145,26,0,27,0,0,0,1568,1681,172
67,City,Lucknow,1444,1044,382,31,0,31,0,0,0,1475,1044,413
68,City,Ludhiana,549,313,384,0,0,0,0,0,0,549,313,384
69,City,Madurai,946,926,222,0,0,0,0,0,0,946,926,222
70,City,Malappuram,678,751,108,16,0,16,0,0,0,694,751,124
71,City,Meerut,559,501,205,5,0,5,8,0,9,572,501,219
72,City,Mumbai,2405,2147,577,0,0,0,0,0,0,2405,2147,577
73,City,Nagpur,1574,1401,396,51,0,51,0,0,0,1625,1401,447
74,City,Nasik,230,57,242,28,0,28,0,0,0,258,57,270
75,City,Patna,691,396,323,0,0,0,0,0,0,691,396,323
76,City,Pune,1519,1074,533,22,0,22,0,0,0,1541,1074,555
77,City,Raipur,1418,732,153,65,0,65,1,0,1,1484,732,219
78,City,Rajkot,719,610,154,15,0,15,0,0,0,734,610,169
79,City,Ranchi,355,238,220,0,0,0,0,0,0,355,238,220
80,City,Srinagar,324,325,51,0,0,0,0,0,0,324,325,51
81,City,Surat,736,681,285,0,0,0,19,0,19,755,681,304
82,City,Thiruvananthapuram,2453,2994,180,0,0,0,14,0,14,2467,2994,194
83,City,Thrissur,1357,1585,128,0,0,0,17,0,18,1374,1585,146
84,City,Tiruchirappalli,657,732,144,0,0,0,0,0,0,657,732,144
85,City,Vadodara,1046,878,214,18,0,18,0,0,0,1064,878,232
86,City,Varanasi,268,145,154,39,10,29,3,0,3,310,155,186
87,City,Vasai Virar,739,493,182,0,0,0,0,0,0,739,493,182
88,City,Vijayawada,1550,1571,379,0,0,0,0,0,0,1550,1571,379
89,City,Vishakhapatnam,1458,1393,352,0,0,0,1,1,0,1459,1394,352
City,City,Total (Cities),83324,73278,16249,1930,34,1901,252,1,254,85506,73313,18404
