Category,State/UT/City,Road Accidents_Jan,Road Accidents_Feb,Road Accidents_Mar,Road Accidents_April,Road Accidents_May,Road Accidents_June,Road Accidents_July,Road Accidents_Aug,Road Accidents_Sept,Road Accidents_Oct,Road Accidents_Nov,Road Accidents_Dec,Road Accidents_Total,Railway Crossing Accidents_Jan,Railway Crossing Accidents_Feb,Railway Crossing Accidents_Mar,Railway Crossing Accidents_April,Railway Crossing Accidents_May,Railway Crossing Accidents_June,Railway Crossing Accidents_July,Railway Crossing Accidents_Aug,Railway Crossing Accidents_Sept,Railway Crossing Accidents_Oct,Railway Crossing Accidents_Nov,Railway Crossing Accidents_Dec,Railway Crossing Accidents_Total,Railway Accidents_Jan,Railway Accidents_Feb,Railway Accidents_Mar,Railway Accidents_April,Railway Accidents_May,Railway Accidents_June,Railway Accidents_July,Railway Accidents_Aug,Railway Accidents_Sept,Railway Accidents_Oct,Railway Accidents_Nov,Railway Accidents_Dec,Railway Accidents_Total,Total Traffic Accidents_Jan,Total Traffic Accidents_Feb,Total Traffic Accidents_Mar,Total Traffic Accidents_April,Total Traffic Accidents_May,Total Traffic Accidents_June,Total Traffic Accidents_July,Total Traffic Accidents_Aug,Total Traffic Accidents_Sept,Total Traffic Accidents_Oct,Total Traffic Accidents_Nov,Total Traffic Accidents_Dec,Total Traffic Accidents_Total
State,ANDHRA PRADESH,1783,1655,1772,1799,1821,1795,1688,1721,1463,1595,1698,1887,20677,0,0,0,0,0,0,0,0,0,0,0,0,0,122,102,143,147,145,137,119,124,132,115,128,97,1511,1905,1757,1915,1946,1966,1932,1807,1845,1595,1710,1826,1984,22188
State,ARUNACHAL PRADESH,25,17,12,19,9,17,22,12,11,17,17,22,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,12,19,9,17,22,12,11,17,17,22,200
State,ASSAM,748,748,752,648,677,673,566,581,661,658,655,688,8055,1,0,0,1,0,0,0,0,1,0,1,1,5,54,40,45,54,39,35,48,54,56,60,58,48,591,803,788,797,703,716,708,614,635,718,718,714,737,8651
State,BIHAR,898,807,928,806,1054,1014,748,746,592,698,893,823,10007,26,28,22,12,15,19,17,15,18,15,20,34,241,115,105,116,140,105,129,144,149,143,144,141,158,1589,1039,940,1066,958,1174,1162,909,910,753,857,1054,1015,11837
State,CHHATTISGARH,1389,1236,1122,1236,1273,1178,1172,1025,999,1094,1127,1048,13899,0,0,0,1,0,0,0,0,0,0,0,0,1,39,38,31,31,30,41,37,40,40,56,47,36,466,1428,1274,1153,1268,1303,1219,1209,1065,1039,1150,1174,1084,14366
State,GOA,329,298,305,282,313,270,231,252,235,281,293,351,3440,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,3,2,3,2,4,4,6,8,5,50,335,301,309,285,315,273,233,256,239,287,301,356,3490
State,GUJARAT,1663,1580,1544,1395,1560,1357,1206,1136,1067,1310,1254,1431,16503,0,0,0,0,0,0,0,0,0,0,0,0,0,78,95,90,76,99,77,80,87,76,90,75,71,994,1741,1675,1634,1471,1659,1434,1286,1223,1143,1400,1329,1502,17497
State,HARYANA,963,809,991,919,932,875,923,888,855,915,926,941,10937,7,9,8,15,9,8,11,5,12,10,6,4,104,95,80,102,121,133,107,125,137,145,115,104,98,1362,1065,898,1101,1055,1074,990,1059,1030,1012,1040,1036,1043,12403
State,HIMACHAL PRADESH,240,167,250,254,255,292,233,252,228,257,232,236,2896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,167,250,254,255,292,233,252,228,257,232,236,2896
State,JAMMU & KASHMIR,452,293,440,503,535,592,639,406,435,555,517,428,5795,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,4,3,4,3,6,5,3,1,44,456,296,444,507,539,595,643,409,441,560,520,429,5839
State,JHARKHAND,465,486,440,447,428,485,465,396,371,414,396,424,5217,0,0,0,0,0,0,0,1,1,0,0,0,2,30,41,49,33,40,45,38,43,46,43,46,29,483,495,527,489,480,468,530,503,440,418,457,442,453,5702
State,KARNATAKA,3696,3512,3550,3583,3730,3599,3029,2895,2901,3168,3361,3620,40644,0,2,2,3,3,1,2,0,2,3,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3696,3514,3552,3586,3733,3600,3031,2895,2903,3171,3365,3620,40666
State,KERALA,3772,3558,3377,3301,3653,3246,3144,2825,2985,3268,3352,3463,39944,9,16,11,11,18,15,18,17,15,11,10,9,160,23,14,33,21,26,16,12,18,23,14,24,26,250,3804,3588,3421,3333,3697,3277,3174,2860,3023,3293,3386,3498,40354
State,MADHYA PRADESH,5205,4365,4385,4368,5054,4661,4067,3788,3500,4080,4268,3900,51641,20,16,15,25,23,20,22,25,12,22,14,16,230,101,102,111,133,143,193,128,138,102,128,115,114,1508,5326,4483,4511,4526,5220,4874,4217,3951,3614,4230,4397,4030,53379
State,MAHARASHTRA,2623,2429,2588,2303,2672,2348,2117,1899,1850,1772,2274,2411,27286,0,0,0,0,0,0,0,0,0,0,0,0,0,529,508,552,594,568,552,467,486,489,580,514,499,6338,3152,2937,3140,2897,3240,2900,2584,2385,2339,2352,2788,2910,33624
State,MANIPUR,60,51,58,50,63,67,55,54,45,51,43,75,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,51,58,50,63,67,55,54,45,51,43,75,672
State,MEGHALAYA,25,24,21,20,22,16,15,20,21,21,13,18,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,21,20,22,16,15,20,21,21,13,18,236
State,MIZORAM,3,7,5,4,4,3,4,5,5,5,5,7,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,4,4,3,4,5,5,5,5,7,57
State,NAGALAND,2,1,2,3,3,3,3,1,1,3,1,3,26,1,0,1,2,1,0,0,0,0,1,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,5,4,3,3,1,1,4,3,3,34
State,ODISHA,1092,932,1036,887,952,903,886,816,709,874,942,1035,11064,0,0,0,0,0,0,0,0,0,0,0,0,0,46,33,37,36,35,40,44,33,33,40,36,31,444,1138,965,1073,923,987,943,930,849,742,914,978,1066,11508
State,PUNJAB,530,459,534,544,501,537,442,494,526,634,593,522,6316,0,0,0,0,0,0,0,0,0,0,0,0,0,56,69,74,65,75,80,96,88,105,79,62,44,893,586,528,608,609,576,617,538,582,631,713,655,566,7209
State,RAJASTHAN,2188,1833,2050,1958,2337,2239,2007,1745,1671,1833,1954,1663,23478,0,0,0,0,0,0,0,0,0,0,0,0,0,49,58,52,72,93,72,73,79,71,72,58,54,803,2237,1891,2102,2030,2430,2311,2080,1824,1742,1905,2012,1717,24281
State,SIKKIM,20,7,17,14,14,8,8,14,19,13,15,23,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,17,14,14,8,8,14,19,13,15,23,172
State,TAMIL NADU,5173,4749,5122,4776,4962,5209,4813,4767,4626,4708,4262,4061,57228,1,1,1,0,0,0,0,0,0,0,1,1,5,194,188,183,166,214,229,178,185,187,181,186,175,2266,5368,4938,5306,4942,5176,5438,4991,4952,4813,4889,4449,4237,59499
State,TELANGANA,1800,1757,2011,1824,1979,1928,1790,1602,1353,1695,1864,1967,21570,0,0,0,0,0,0,0,0,0,0,0,0,0,43,27,65,44,47,66,51,59,44,67,63,50,626,1843,1784,2076,1868,2026,1994,1841,1661,1397,1762,1927,2017,22196
State,TRIPURA,70,62,47,38,59,54,50,55,50,50,63,57,655,1,4,1,1,4,4,1,2,2,1,5,1,27,0,1,0,0,1,2,0,0,1,0,0,0,5,71,67,48,39,64,60,51,57,53,51,68,58,687
State,UTTAR PRADESH,3570,3160,3347,2995,3462,3345,2858,2761,2574,2829,3279,3357,37537,71,58,67,64,79,72,75,90,73,73,78,51,851,329,303,336,326,362,373,328,330,326,299,341,327,3980,3970,3521,3750,3385,3903,3790,3261,3181,2973,3201,3698,3735,42368
State,UTTARAKHAND,121,117,104,97,128,137,123,108,85,101,101,130,1352,2,1,1,0,0,0,1,0,0,0,1,2,8,6,3,2,3,0,3,0,3,6,4,5,6,41,129,121,107,100,128,140,124,111,91,105,107,138,1401
State,WEST BENGAL,935,965,947,904,951,932,1142,1018,1015,1129,1106,1189,12233,8,9,7,5,18,11,2,6,8,11,17,11,113,205,226,272,229,235,251,268,233,234,293,201,229,2876,1148,1200,1226,1138,1204,1194,1412,1257,1257,1433,1324,1429,15222
State,TOTAL (STATES),39840,36084,37757,35977,39403,37783,34446,32282,30853,34028,35504,35780,429737,147,144,136,140,170,150,149,161,144,147,159,130,1777,2124,2039,2301,2298,2396,2454,2242,2293,2269,2391,2215,2098,27120,42111,38267,40194,38415,41969,40387,36837,34736,33266,36566,37878,38008,458634
UT,A & NISLANDS,17,14,29,25,14,23,22,14,15,18,20,19,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,29,25,14,23,22,14,15,18,20,19,230
UT,CHANDIGARH,30,21,22,22,25,26,25,36,14,27,29,27,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,21,22,22,25,26,25,36,14,27,29,27,304
UT,D & N HAVELI,7,6,6,6,6,8,3,5,4,9,5,3,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,6,6,8,3,5,4,9,5,3,68
UT,DAMAN & DIU,3,6,7,8,5,5,7,5,9,3,1,4,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,8,5,5,7,5,9,3,1,4,63
UT,DELHI (UT),524,469,522,445,480,485,469,412,422,455,469,449,5601,0,3,1,0,2,1,1,1,0,1,1,0,11,77,67,61,85,66,68,75,75,89,66,71,58,858,601,539,584,530,548,554,545,488,511,522,541,507,6470
UT,LAKSHADWEEP,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
UT,PUDUCHERRY,127,105,118,108,114,125,118,125,124,111,105,112,1392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,1,2,9,127,106,118,108,114,125,119,125,126,113,106,114,1401
UT,TOTAL (UTs),708,622,704,614,644,672,644,597,588,623,629,614,7659,0,3,1,0,2,1,1,1,0,1,1,0,11,77,68,61,85,66,68,76,75,91,68,72,60,867,785,693,766,699,712,741,721,673,679,692,702,674,8537
TOTAL (ALL INDIA),TOTAL (ALL INDIA),40548,36706,38461,36591,40047,38455,35090,32879,31441,34651,36133,36394,437396,147,147,137,140,172,151,150,162,144,148,160,130,1788,2201,2107,2362,2383,2462,2522,2318,2368,2360,2459,2287,2158,27987,42896,38960,40960,39114,42681,41128,37558,35409,33945,37258,38580,38682,467171
City,AGRA,23,18,35,22,18,35,18,16,28,20,35,24,292,1,4,4,3,5,3,4,3,2,6,3,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,39,25,23,38,22,19,30,26,38,28,334
City,AHMEDABAD,148,121,130,88,128,115,104,93,98,112,123,120,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,4,0,2,2,2,3,24,151,124,130,93,128,115,108,93,100,114,125,123,1404
City,ALLAHABAD,51,71,59,57,75,74,71,62,56,63,54,83,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,71,59,57,75,74,71,62,56,63,54,83,776
City,AMRITSAR,13,11,6,10,12,15,10,9,12,7,14,14,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,6,10,12,15,10,9,12,7,14,14,133
City,ASANSOL,27,31,35,29,35,40,38,44,31,43,36,53,442,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,2,0,0,0,7,28,31,35,30,35,42,38,45,33,43,36,53,449
City,AURANGABAD,56,40,57,52,42,44,51,34,38,32,32,38,516,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6,2,4,4,5,3,5,2,2,41,57,42,62,58,44,48,55,39,41,37,34,40,557
City,BENGALURU,420,378,404,373,380,392,366,410,371,399,388,403,4684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,378,404,373,380,392,366,410,371,399,388,403,4684
City,BHOPAL,265,236,209,203,236,259,217,201,153,179,174,184,2516,1,0,0,1,0,1,0,2,0,1,2,4,12,5,1,0,0,1,1,0,2,2,1,2,5,20,271,237,209,204,237,261,217,205,155,181,178,193,2548
City,CHANDIGARH (CITY),30,21,22,22,25,26,25,36,14,27,29,27,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,21,22,22,25,26,25,36,14,27,29,27,304
City,CHENNAI,687,627,674,586,618,620,587,520,511,488,476,477,6871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,627,674,586,618,620,587,520,511,488,476,477,6871
City,COIMBATORE,113,93,80,65,90,100,89,92,81,74,96,89,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,93,80,65,90,100,89,92,81,74,96,89,1062
City,DELHI (CITY),503,449,498,426,458,466,445,392,403,436,448,425,5349,0,3,1,0,2,1,1,1,0,1,1,0,11,77,67,61,85,66,68,75,75,89,66,71,58,858,580,519,560,511,526,535,521,468,492,503,520,483,6218
City,DHANBAD,11,15,12,11,13,16,12,14,13,19,16,19,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,12,11,13,16,12,14,13,19,16,19,171
City,DURG BHILAINAGAR,76,63,38,24,40,30,41,53,40,61,44,23,533,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,3,2,3,1,3,2,2,3,3,34,81,67,41,27,42,33,42,56,42,63,47,26,567
