Sl. No.,Category,State/UT/City,Road Accidents - 2017,Road Accidents - 2018,Road Accidents - % Var.,Railway Accidents - 2017,Railway Accidents - 2018,Railway Accidents - % Var.,Railway Crossing Accidents - 2017,Railway Crossing Accidents - 2018,Railway Crossing Accidents - % Var.,Total Traffic Accidents - 2017,Total Traffic Accidents - 2018,Total Traffic Accidents - % Var.,% Share
1,State,Andhra Pradesh,22456,21008,-6.4,1362,1525,12,0,1,-,23818,22534,-5.4,4.7
2,State,Arunachal Pradesh,127,229,80.3,0,0,NA,0,0,NA,127,229,80.3,0
3,State,Assam,6805,7180,5.5,566,555,-1.9,0,21,-,7371,7756,5.2,1.6
4,State,Bihar,8855,9600,8.4,1529,1583,3.5,239,222,-7.1,10623,11405,7.4,2.4
5,State,Chhattisgarh,13563,13865,2.2,416,400,-3.8,6,28,366.7,13985,14293,2.2,3
6,State,Goa,3920,3710,-5.4,52,39,-25,0,0,-,3972,3749,-5.6,0.8
7,State,Gujarat,18631,18414,-1.2,1018,1014,-0.4,0,0,-,19649,19428,-1.1,4.1
8,State,Haryana,11682,11652,-0.3,2000,2141,7.1,93,6,-93.5,13775,13799,0.2,2.9
9,State,Himachal Pradesh,3111,3119,0.3,0,0,NA,0,0,NA,3111,3119,0.3,0.7
10,State,Jammu & Kashmir,5443,5997,10.2,65,64,-1.5,0,2,-,5508,6063,10.1,1.3
11,State,Jharkhand,5198,5394,3.8,421,447,6.2,10,9,-10,5629,5850,3.9,1.2
12,State,Karnataka,42542,41707,-2,6,0,-100,0,0,-,42548,41707,-2,8.8
13,State,Kerala,38470,40181,4.4,318,258,-18.9,155,180,16.1,38943,40619,4.3,8.6
14,State,Madhya Pradesh,48590,47469,-2.3,1419,1459,2.8,128,152,18.8,50137,49080,-2.1,10.3
15,State,Maharashtra,28823,29740,3.2,6818,6349,-6.9,0,0,-,35641,36089,1.3,7.6
16,State,Manipur,586,602,2.7,0,0,NA,0,0,NA,586,602,2.7,0.1
17,State,Meghalaya,286,258,-9.8,0,0,NA,0,1,NA,286,259,-9.4,0.1
18,State,Mizoram,65,50,-23.1,0,0,NA,0,0,NA,65,50,-23.1,0
19,State,Nagaland,60,50,-16.7,0,0,-,9,9,0,69,59,-14.5,0
20,State,Odisha,10855,11262,3.7,380,427,12.4,1,3,200,11236,11692,4.1,2.5
21,State,Punjab,6322,6424,1.6,842,865,2.7,3,0,-100,7167,7289,1.7,1.5
22,State,Rajasthan,22112,21743,-1.7,607,655,7.9,0,3,-,22719,22401,-1.4,4.7
23,State,Sikkim,171,169,-1.2,0,0,NA,0,0,NA,171,169,-1.2,0
24,State,Tamil Nadu,65562,63920,-2.5,2030,2184,7.6,3,6,100,67595,66110,-2.2,13.9
25,State,Telangana,22484,22230,-1.1,698,637,-8.7,0,0,-,23182,22867,-1.4,4.8
26,State,Tripura,504,551,9.3,7,7,0,24,16,-33.3,535,574,7.3,0.1
27,State,Uttar Pradesh,34579,36855,6.6,3016,3272,8.5,729,656,-10,38324,40783,6.4,8.6
28,State,Uttarakhand,1580,1469,-7,13,16,23.1,19,17,-10.5,1612,1502,-6.8,0.3
29,State,West Bengal,13310,11827,-11.1,2723,2756,1.2,154,142,-7.8,16187,14725,-9,3.1
State,State,Total (States),436692,436675,0,26306,26653,1.3,1573,1474,-6.3,464571,464802,0,97.9
30,Union Territory,A & N Islands,189,254,34.4,0,0,NA,0,0,NA,189,254,34.4,0.1
31,Union Territory,Chandigarh,336,317,-5.7,0,0,NA,0,0,NA,336,317,-5.7,0.1
32,Union Territory,D & N Haveli,67,80,19.4,0,0,NA,0,0,NA,67,80,19.4,0
33,Union Territory,Daman & Diu,79,71,-10.1,0,0,NA,0,0,NA,79,71,-10.1,0
34,Union Territory,Delhi (UT),6672,6517,-2.3,891,990,11.1,15,6,-60,7578,7513,-0.9,1.6
35,Union Territory,Lakshadweep,2,3,50,0,0,NA,0,0,NA,2,3,50,0
36,Union Territory,Puducherry,1693,1597,-5.7,0,0,NA,0,1,NA,1693,1598,-5.6,0.3
Union Territory,Union Territory,Total (UTs),9038,8839,-2.2,891,990,11.1,15,7,-53.3,9944,9836,-1.1,2.1
Total (All India),Total (All India),Total (All India),445730,445514,0,27197,27643,1.6,1588,1481,-6.7,474515,474638,0,100
37,City,Agra,278,186,-33.1,0,0,-,14,17,21.4,292,203,-30.5,0.3
38,City,Ahmedabad,1550,1617,4.3,38,52,36.8,0,0,-,1588,1669,5.1,2.3
39,City,Allahabad,742,878,18.3,0,0,NA,0,0,NA,742,878,18.3,1.2
40,City,Amritsar,119,123,3.4,0,0,NA,0,0,NA,119,123,3.4,0.2
41,City,Asansol,361,397,10,16,7,-56.3,0,0,-,377,404,7.2,0.6
42,City,Aurangabad,643,597,-7.2,24,38,58.3,0,0,-,667,635,-4.8,0.9
43,City,Bengaluru,5064,4611,-8.9,0,0,NA,0,0,NA,5064,4611,-8.9,6.5
44,City,Bhopal,2618,2675,2.2,29,33,13.8,9,11,22.2,2656,2719,2.4,3.8
45,City,Chandigarh (City),319,317,-0.6,0,0,NA,0,0,NA,319,317,-0.6,0.4
46,City,Chennai,7257,7580,4.5,0,0,NA,0,0,NA,7257,7580,4.5,10.6
47,City,Coimbatore,1299,1136,-12.5,0,0,NA,0,0,NA,1299,1136,-12.5,1.6
