Sl. No.,Category,State/UT/City,Road Accidents - Cases,Road Accidents - Injured,Road Accidents - Died,Railway Accidents - Cases,Railway Accidents - Injured,Railway Accidents - Died,Railway Crossing Accidents - Cases,Railway Crossing Accidents - Injured,Railway Crossing Accidents - Died,Total Traffic Accidents - Cases,Total Traffic Accidents - Injured,Total Traffic Accidents - Died
1,State,Andhra Pradesh,21008,22009,7584,1525,0,1531,1,0,1,22534,22009,9116
2,State,Arunachal Pradesh,229,243,163,0,0,0,0,0,0,229,243,163
3,State,Assam,7180,6081,2712,555,0,557,21,3,22,7756,6084,3291
4,State,Bihar,9600,6679,6729,1583,23,1585,222,0,222,11405,6702,8536
5,State,Chhattisgarh,13865,12716,4593,400,0,400,28,3,28,14293,12719,5021
6,State,Goa,3710,1502,264,39,0,39,0,0,0,3749,1502,303
7,State,Gujarat,18414,17619,8040,1014,0,1022,0,0,0,19428,17619,9062
8,State,Haryana,11652,9819,5429,2141,0,2141,6,0,8,13799,9819,7578
9,State,Himachal Pradesh,3119,4992,1077,0,0,0,0,0,0,3119,4992,1077
10,State,Jammu & Kashmir,5997,7855,986,64,4,61,2,0,2,6063,7859,1049
11,State,Jharkhand,5394,3975,3542,447,0,447,9,0,9,5850,3975,3998
12,State,Karnataka,41707,51562,10990,0,0,0,0,0,0,41707,51562,10990
13,State,Kerala,40181,45458,4303,258,16,253,180,2,178,40619,45476,4734
14,State,Madhya Pradesh,47469,51149,11427,1459,66,1396,152,0,152,49080,51215,12975
15,State,Maharashtra,29740,25102,13863,6349,2563,3801,0,0,0,36089,27665,17664
16,State,Manipur,602,1046,135,0,0,0,0,0,0,602,1046,135
17,State,Meghalaya,258,232,196,0,0,0,1,0,1,259,232,197
18,State,Mizoram,50,73,62,0,0,0,0,0,0,50,73,62
19,State,Nagaland,50,90,35,0,0,0,9,0,9,59,90,44
20,State,Odisha,11262,11389,5236,427,0,427,3,0,3,11692,11389,5666
21,State,Punjab,6424,3339,4738,865,124,872,0,0,0,7289,3463,5610
22,State,Rajasthan,21743,21547,10320,655,29,633,3,0,3,22401,21576,10956
23,State,Sikkim,169,357,71,0,0,0,0,0,0,169,357,71
24,State,Tamil Nadu,63920,74537,12216,2184,173,2025,6,0,6,66110,74710,14247
25,State,Telangana,22230,23613,6603,637,0,641,0,0,0,22867,23613,7244
26,State,Tripura,551,741,212,7,0,7,16,0,16,574,741,235
27,State,Uttar Pradesh,36855,22322,22541,3272,283,3095,656,12,693,40783,22617,26329
28,State,Uttarakhand,1469,1583,1073,16,0,16,17,0,17,1502,1583,1106
29,State,West Bengal,11827,10839,5469,2756,34,2722,142,12,130,14725,10885,8321
State,State,Total (States),436675,438469,150609,26653,3315,23671,1474,32,1500,464802,441816,175780
30,Union Territory,A & N Islands,254,260,19,0,0,0,0,0,0,254,260,19
31,Union Territory,Chandigarh,317,267,101,0,0,0,0,0,0,317,267,101
32,Union Territory,D & N Haveli,80,66,54,0,0,0,0,0,0,80,66,54
33,Union Territory,Daman & Diu,71,86,36,0,0,0,0,0,0,71,86,36
34,Union Territory,Delhi (UT),6517,5640,1734,990,116,874,6,0,6,7513,5756,2614
35,Union Territory,Lakshadweep,3,3,1,0,0,0,0,0,0,3,3,1
36,Union Territory,Puducherry,1597,1727,226,0,0,0,1,0,1,1598,1727,227
Union Territory,Union Territory,Total (UTs),8839,8049,2171,990,116,874,7,0,7,9836,8165,3052
Total (All India),Total (All India),Total (All India),445514,446518,152780,27643,3431,24545,1481,32,1507,474638,449981,178832
37,City,Agra,186,125,186,0,0,0,17,0,17,203,125,203
38,City,Ahmedabad,1617,1372,373,52,0,52,0,0,0,1669,1372,425
39,City,Allahabad,878,541,374,0,0,0,0,0,0,878,541,374
40,City,Amritsar,123,82,77,0,0,0,0,0,0,123,82,77
41,City,Asansol,397,311,250,7,0,7,0,0,0,404,311,257
42,City,Aurangabad,597,405,192,38,0,38,0,0,0,635,405,230
43,City,Bengaluru,4611,4129,686,0,0,0,0,0,0,4611,4129,686
44,City,Bhopal,2675,2188,149,33,0,33,11,0,11,2719,2188,193
45,City,Chandigarh (City),317,267,101,0,0,0,0,0,0,317,267,101
46,City,Chennai,7580,7438,1260,0,0,0,0,0,0,7580,7438,1260
47,City,Coimbatore,1136,1140,162,0,0,0,0,0,0,1136,1140,162
48,City,Delhi (City),5768,5087,1445,990,116,874,6,0,6,6764,5203,2325
49,City,Dhanbad,187,141,119,0,0,0,0,0,0,187,141,119
50,City,Durg Bhilainagar,675,686,131,28,0,28,0,0,0,703,686,159
51,City,Faridabad,709,649,255,1,0,1,0,0,0,710,649,256
52,City,Ghaziabad,199,21,216,63,0,63,0,0,0,262,21,279
53,City,Gwalior,1240,1164,150,26,0,26,0,0,0,1266,1164,176
54,City,Hyderabad,2846,2629,310,0,0,0,0,0,0,2846,2629,310
55,City,Indore,2698,2174,303,14,0,14,0,0,0,2712,2174,317
56,City,Jabalpur,2246,2071,175,0,0,0,0,0,0,2246,2071,175
57,City,Jaipur,2781,2265,692,60,0,60,0,0,0,2841,2265,752
58,City,Jamshedpur,186,146,83,0,0,0,0,0,0,186,146,83
59,City,Jodhpur,549,434,245,0,0,0,0,0,0,549,434,245
60,City,Kannur,621,735,68,15,0,15,0,0,0,636,735,83
61,City,Kanpur,1126,473,653,0,0,0,78,0,78,1204,473,731
62,City,Kochi,2311,2413,141,0,0,0,29,0,29,2340,2413,170
63,City,Kolkata,2173,1437,294,0,0,0,0,0,0,2173,1437,294
64,City,Kollam,1940,1997,241,0,0,0,21,0,21,1961,1997,262
65,City,Kota,466,478,89,0,0,0,0,0,0,466,478,89
66,City,Kozhikode,1423,1552,154,13,0,13,0,0,0,1436,1552,167
67,City,Lucknow,872,535,452,23,6,17,3,0,3,898,541,472
68,City,Ludhiana,477,240,328,0,0,0,0,0,0,477,240,328
