Sl. No.,Category,State/UT/City,Road Accidents - 0000 hrs to 0300 hrs. (Night),Road Accidents - 0300 hrs to 0600 hrs. (Night),Road Accidents - 0600 hrs to 0900 hrs (Day),Road Accidents - 0900 hrs to 1200 hrs (Day),Road Accidents - 1200 hrs to 1500 hrs (Day),Road Accidents - 1500 hrs to 1800 hrs (Day),Road Accidents - 1800 hrs to 2100hrs (Night),Road Accidents - 2100 hrs. to 2400hrs (Night),Road Accidents - Total,Railway Crossing Accidents - 0000 hrs to 0300 hrs. (Night),Railway Crossing Accidents - 0300 hrs to 0600 hrs. (Night),Railway Crossing Accidents - 0600 hrs to 0900 hrs (Day),Railway Crossing Accidents - 0900 hrs to 1200 hrs (Day),Railway Crossing Accidents - 1200 hrs to 1500 hrs (Day),Railway Crossing Accidents - 1500 hrs to 1800 hrs (Day),Railway Crossing Accidents - 1800 hrs to 2100 hrs (Night),Railway Crossing Accidents - 2100 hrs. to 2400 hrs (Night),Railway Crossing Accidents - Total,Railway Accidents - 0000 hrs to 0300 hrs. (Night),Railway Accidents - 0300 hrs to 0600 hrs. (Night),Railway Accidents - 0600 hrs to 0900 hrs (Day),Railway Accidents - 0900 hrs to 1200 hrs (Day),Railway Accidents - 1200 hrs to 1500 hrs (Day),Railway Accidents - 1500 hrs to 1800 hrs (Day),Railway Accidents - 1800 hrs to 2100 hrs (Night),Railway Accidents - 2100 hrs. to 2400 hrs (Night),Railway Accidents - Total,Total (Traffic Accidents) - 0000 hrs to 0300 hrs. (Night),Total (Traffic Accidents) - 0300 hrs to 0600 hrs. (Night),Total (Traffic Accidents) - 0600 hrs to 0900 hrs (Day),Total (Traffic Accidents) - 0900 hrs to 1200 hrs (Day),Total (Traffic Accidents) - 1200 hrs to 1500 hrs (Day),Total (Traffic Accidents) - 1500 hrs to 1800 hrs (Day),Total (Traffic Accidents) - 1800 hrs to 2100 hrs (Night),Total (Traffic Accidents) - 2100 hrs. to 2400 hrs (Night),Total (Traffic Accidents) - Total
11,State,Jharkhand,644,558,747,692,558,609,566,558,4932,5,8,6,5,6,5,1,1,37,13,20,67,90,75,82,51,41,439,662,586,820,787,639,696,618,600,5408
12,State,Karnataka,2672,3117,4888,7162,7022,7420,7316,4839,44436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2672,3117,4888,7162,7022,7420,7316,4839,44436
13,State,Kerala,960,1695,4928,7368,6047,8096,7177,3149,39420,16,16,13,6,5,13,10,14,93,36,53,50,34,22,30,31,31,287,1012,1764,4991,7408,6074,8139,7218,3194,39800
14,State,Madhya Pradesh,2281,2778,5403,8700,8893,9353,9148,5388,51944,17,21,30,31,30,27,33,36,225,148,194,214,255,229,210,219,179,1648,2446,2993,5647,8986,9152,9590,9400,5603,53817
15,State,Maharashtra,2950,3005,4045,5382,5389,6216,6412,4487,37886,0,0,0,0,0,0,0,0,0,534,420,946,1161,914,1005,1221,959,7160,3484,3425,4991,6543,6303,7221,7633,5446,45046
16,State,Manipur,14,7,38,122,133,158,150,46,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,38,122,133,158,150,46,668
17,State,Meghalaya,11,12,35,34,36,60,52,42,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,35,34,36,60,52,42,282
18,State,Mizoram,3,8,4,5,6,21,11,6,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,5,6,21,11,6,64
19,State,Nagaland,4,3,4,2,7,9,15,9,53,0,1,6,2,2,1,0,2,14,0,0,0,0,0,0,0,0,0,4,4,10,4,9,10,15,11,67
20,State,Odisha,620,705,1175,1627,1642,1851,1810,1102,10532,3,11,31,28,19,16,11,7,126,9,21,14,9,11,16,19,18,117,632,737,1220,1664,1672,1883,1840,1127,10775
21,State,Punjab,343,458,915,1000,987,1091,1436,722,6952,0,1,1,0,1,1,1,0,5,5,26,68,232,321,171,48,12,883,348,485,984,1232,1309,1263,1485,734,7840
22,State,Rajasthan,936,957,2447,3680,3981,4396,4322,2347,23066,2,7,7,7,7,3,3,1,37,53,74,124,100,96,87,106,83,723,991,1038,2578,3787,4084,4486,4431,2431,23826
23,State,Sikkim,11,14,21,30,32,40,35,40,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,21,30,32,40,35,40,223
24,State,Tamil Nadu,2883,4175,8592,10448,10391,12501,15072,7369,71431,0,0,0,0,0,0,0,0,0,105,128,409,422,186,241,207,154,1852,2988,4303,9001,10870,10577,12742,15279,7523,73283
25,State,Telangana,1607,1931,2276,2975,3239,3956,4139,2688,22811,0,0,0,0,0,0,0,0,0,40,35,171,239,128,119,93,77,902,1647,1966,2447,3214,3367,4075,4232,2765,23713
26,State,Tripura,4,9,66,124,101,93,103,57,557,1,3,1,0,1,3,2,3,14,0,0,0,0,0,0,0,0,0,5,12,67,124,102,96,105,60,571
27,State,Uttar Pradesh,2628,3139,4064,4040,3752,4536,5160,3289,30608,67,103,109,60,48,79,110,58,634,316,395,513,410,357,398,471,441,3301,3011,3637,4686,4510,4157,5013,5741,3788,34543
28,State,Uttarakhand,65,219,352,216,196,237,136,124,1545,2,6,3,4,2,3,4,9,33,0,1,2,2,0,4,3,1,13,67,226,357,222,198,244,143,134,1591
29,State,West Bengal,1125,1419,2133,2016,2666,2856,2815,1919,16949,5,6,35,39,8,20,42,10,165,132,290,334,483,329,431,509,182,2690,1262,1715,2502,2538,3003,3307,3366,2111,19804
State,State,Total (States),25702,31146,53726,71058,70241,80174,83046,48041,463134,236,361,634,528,329,341,408,280,3117,1793,2228,3651,4151,3309,3450,3698,2710,24990,27731,33735,58011,75737,73879,83965,87152,51031,491241
30,Union Territory,A & N Islands,8,9,29,34,49,52,40,17,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,29,34,49,52,40,17,238
31,Union Territory,Chandigarh,30,15,37,58,69,63,69,85,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,37,58,69,63,69,85,426
32,Union Territory,D & N Haveli,1,1,5,8,10,15,16,14,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,8,10,15,16,14,70
33,Union Territory,Daman & Diu,2,0,6,5,8,5,13,4,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,5,8,5,13,4,43
34,Union Territory,Delhi (UT),769,738,799,881,970,962,1123,1133,7375,0,0,4,2,0,0,0,0,6,36,64,178,145,124,125,134,128,934,805,802,981,1028,1094,1087,1257,1261,8315
35,Union Territory,Lakshadweep,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
36,Union Territory,Puducherry,180,142,191,185,189,300,360,216,1763,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,180,142,192,186,189,300,361,216,1766
Union Territory,Union Territory,Total (UTs),990,905,1067,1171,1295,1397,1621,1470,9916,0,0,4,2,0,0,0,0,6,36,64,179,146,124,125,135,128,937,1026,969,1250,1319,1419,1522,1756,1598,10859
Total (All India),Total (All India),Total (All India),26692,32051,54793,72229,71536,81571,84667,49511,473050,236,361,638,530,329,341,408,280,3123,1829,2292,3830,4297,3433,3575,3833,2838,25927,28757,34704,59261,77056,75298,85487,88908,52629,502100
37,City,Agra,59,89,170,189,143,175,116,46,987,5,6,4,4,3,5,3,3,33,4,5,3,1,3,3,5,5,29,68,100,177,194,149,183,124,54,1049
38,City,Ahmedabad,298,203,306,308,237,200,220,205,1977,3,3,2,7,7,5,8,7,42,0,0,0,0,0,0,0,0,0,301,206,308,315,244,205,228,212,2019
39,City,Allahabad,193,178,78,73,87,79,102,197,987,0,0,0,0,0,0,0,0,0,7,17,5,7,3,7,12,6,64,200,195,83,80,90,86,114,203,1051
40,City,Amritsar,2,15,18,22,30,26,28,11,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,18,22,30,26,28,11,152
41,City,Asansol,32,104,42,16,6,9,86,123,418,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,32,104,42,17,6,9,86,123,419
42,City,Aurangabad,120,215,378,405,440,432,311,169,2470,0,0,0,0,0,0,0,0,0,2,2,12,14,10,5,5,0,50,122,217,390,419,450,437,316,169,2520
43,City,Bengaluru,246,361,674,853,808,984,850,580,5356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,361,674,853,808,984,850,580,5356
44,City,Bhopal,328,169,383,478,335,496,461,568,3218,7,10,13,12,7,9,11,13,82,0,0,0,0,0,0,0,0,0,335,179,396,490,342,505,472,581,3300
45,City,Chandigarh (City),30,15,36,56,66,61,67,82,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,36,56,66,61,67,82,413
46,City,Chennai,327,382,952,1178,1087,1160,1348,1052,7486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,382,952,1178,1087,1160,1348,1052,7486
47,City,Coimbatore,28,45,193,227,191,215,237,218,1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,45,193,227,191,215,237,218,1354
48,City,Delhi (City),602,599,660,694,759,743,887,883,5827,0,0,4,2,0,0,0,0,6,38,65,175,144,124,125,134,129,934,640,664,839,840,883,868,1021,1012,6767
49,City,Dhanbad,6,28,40,38,51,29,19,6,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,40,38,51,29,19,6,217
50,City,Durg Bhilainagar,116,36,108,125,119,117,171,84,876,0,0,0,0,0,0,0,0,0,4,3,4,5,5,6,4,3,34,120,39,112,130,124,123,175,87,910
51,City,Faridabad,20,33,57,49,106,150,167,71,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,33,57,49,106,150,167,71,653
52,City,Ghaziabad,68,70,106,98,75,87,89,62,655,0,0,0,0,0,0,0,0,0,9,13,18,16,11,9,5,5,86,77,83,124,114,86,96,94,67,741
53,City,Gwalior,8,64,113,352,338,299,242,88,1504,0,0,0,0,0,0,0,0,0,4,6,3,5,3,2,4,7,34,12,70,116,357,341,301,246,95,1538
54,City,Hyderabad,295,447,466,493,459,410,208,167,2945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,447,466,493,459,410,208,167,2945
55,City,Indore,245,120,288,624,729,724,731,560,4021,0,0,0,0,0,0,0,0,0,3,3,2,0,3,1,3,0,15,248,123,290,624,732,725,734,560,4036
56,City,Jabalpur,25,37,570,628,385,366,169,137,2317,0,0,0,0,0,0,0,0,0,5,8,13,15,34,14,16,8,113,30,45,583,643,419,380,185,145,2430
57,City,Jaipur,145,176,361,495,500,452,484,391,3004,0,1,2,3,4,2,0,0,12,2,5,9,7,8,11,7,1,50,147,182,372,505,512,465,491,392,3066
58,City,Jamshedpur,12,30,26,33,36,26,14,11,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,30,26,33,36,26,14,11,188
59,City,Jodhpur,36,14,62,103,80,117,144,84,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,14,62,103,80,117,144,84,640
60,City,Kannur,9,8,59,78,103,122,93,32,504,0,0,0,0,0,0,0,0,0,0,2,9,4,2,8,1,2,28,9,10,68,82,105,130,94,34,532
61,City,Kanpur,243,78,160,102,78,125,110,98,994,0,0,0,0,0,0,0,0,0,25,29,13,8,16,11,27,24,153,268,107,173,110,94,136,137,122,1147
62,City,Kochi,60,69,431,547,350,510,420,186,2573,0,0,0,0,0,0,0,0,0,0,1,6,3,5,3,2,3,23,60,70,437,550,355,513,422,189,2596
63,City,Kolkata,374,223,398,606,670,584,626,623,4104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,223,398,606,670,584,626,623,4104
64,City,Kollam,21,57,189,291,300,324,345,150,1677,9,2,2,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,30,59,191,291,300,324,345,151,1691
65,City,Kota,25,11,48,68,102,107,128,101,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,11,48,68,102,107,128,101,590
66,City,Kozhikode,31,41,189,300,264,302,302,113,1542,0,0,0,0,0,0,0,0,0,5,7,6,1,0,1,5,1,26,36,48,195,301,264,303,307,114,1568
67,City,Lucknow,93,86,155,233,189,201,266,221,1444,0,0,0,0,0,0,0,0,0,5,3,4,5,5,3,3,3,31,98,89,159,238,194,204,269,224,1475
68,City,Ludhiana,20,23,49,81,78,87,143,68,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,49,81,78,87,143,68,549
69,City,Madurai,32,45,110,183,142,155,167,112,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,45,110,183,142,155,167,112,946
70,City,Malappuram,7,6,58,108,142,244,63,50,678,0,0,0,0,0,0,0,0,0,5,6,1,1,0,0,1,2,16,12,12,59,109,142,244,64,52,694
71,City,Meerut,62,63,75,74,77,67,65,76,559,0,0,0,0,5,0,2,1,8,0,0,0,0,0,0,2,3,5,62,63,75,74,82,67,69,80,572
72,City,Mumbai,226,181,249,324,355,365,405,300,2405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,181,249,324,355,365,405,300,2405
73,City,Nagpur,80,55,151,266,230,224,342,226,1574,0,0,0,0,0,0,0,0,0,1,6,12,4,4,9,11,4,51,81,61,163,270,234,233,353,230,1625
74,City,Nasik,19,6,27,25,38,33,45,37,230,0,0,0,0,0,0,0,0,0,2,0,3,1,7,4,6,5,28,21,6,30,26,45,37,51,42,258
75,City,Patna,99,224,65,55,55,50,53,90,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,224,65,55,55,50,53,90,691
76,City,Pune,157,124,170,234,186,227,244,177,1519,0,0,0,0,0,0,0,0,0,3,3,1,4,4,2,4,1,22,160,127,171,238,190,229,248,178,1541
77,City,Raipur,72,19,127,282,236,231,277,174,1418,0,0,1,0,0,0,0,0,1,7,5,8,9,7,12,8,9,65,79,24,136,291,243,243,285,183,1484
78,City,Rajkot,62,56,81,112,95,115,110,88,719,0,0,0,0,0,0,0,0,0,1,3,3,1,5,2,0,0,15,63,59,84,113,100,117,110,88,734
79,City,Ranchi,9,25,50,52,69,43,60,47,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,50,52,69,43,60,47,355
80,City,Srinagar,0,0,0,77,197,50,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,197,50,0,0,324
81,City,Surat,40,22,67,98,112,113,153,131,736,5,0,1,4,1,3,1,4,19,0,0,0,0,0,0,0,0,0,45,22,68,102,113,116,154,135,755
82,City,Thiruvananthapuram,63,69,323,503,284,466,409,336,2453,4,7,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,67,76,323,503,284,466,409,339,2467
83,City,Thrissur,35,35,201,273,187,251,268,107,1357,1,0,6,3,4,0,1,2,17,0,0,0,0,0,0,0,0,0,36,35,207,276,191,251,269,109,1374
84,City,Tiruchirappalli,25,26,73,105,105,100,146,77,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,73,105,105,100,146,77,657
85,City,Vadodara,61,37,92,180,182,166,183,145,1046,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,7,18,61,40,95,180,182,166,188,152,1064
86,City,Varanasi,21,38,32,21,15,43,53,45,268,0,0,0,0,0,2,1,0,3,4,4,4,3,5,9,5,5,39,25,42,36,24,20,54,59,50,310
87,City,Vasai Virar,63,71,86,108,102,112,106,91,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,71,86,108,102,112,106,91,739
88,City,Vijayawada,72,67,166,229,253,250,286,227,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,67,166,229,253,250,286,227,1550
89,City,Vishakhapatnam,70,71,175,198,244,227,295,178,1458,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,70,71,175,198,244,227,295,179,1459
City,City,Total (Cities),5392,5266,10143,13350,12507,13251,13314,10101,83324,34,29,35,35,31,26,27,35,252,136,199,317,259,264,247,275,233,1930,5562,5494,10495,13644,12802,13524,13616,10369,85506
