Si. No.,Category,State/UT/City,Road Accidents - 0000 hrs to 0300 hrs. (Night),Road Accidents - 0300 hrs to 0600 hrs. (Night),Road Accidents - 0600 hrs to 0900 hrs. (Day),Road Accidents - 0900 hrs to 1200 hrs. (Day),Road Accidents - 1200 hrs to 1500 hrs. (Day),Road Accidents - 1500 hrs to 1800 hrs. (Day),Road Accidents - 1800 hrs to 2100 hrs. (Night),Road Accidents - 2100 hrs to 2400 hrs. (Night),Road Accidents - Total,Railway Crossing Accidents - 0000 hrs to 0300 hrs. (Night),Railway Crossing Accidents - 0300 hrs to 0600 hrs. (Night),Railway Crossing Accidents - 0600 hrs to 0900 hrs. (Day),Railway Crossing Accidents - 0900 hrs to 1200 hrs. (Day),Railway Crossing Accidents - 1200 hrs to 1500 hrs. (Day),Railway Crossing Accidents - 1500 hrs to 1800 hrs. (Day),Railway Crossing Accidents - 1800 hrs to 2100 hrs. (Night),Railway Crossing Accidents - 2100 hrs to 2400 hrs. (Night),Railway Crossing Accidents - Total,Railway Accidents - 0000 hrs to 0300 hrs. (Night),Railway Accidents - 0300 hrs to 0600 hrs. (Night),Railway Accidents - 0600 hrs to 0900 hrs. (Day),Railway Accidents - 0900 hrs to 1200 hrs. (Day),Railway Accidents - 1200 hrs to 1500 hrs. (Day),Railway Accidents - 1500 hrs to 1800 hrs. (Day),Railway Accidents - 1800 hrs to 2100 hrs. (Night),Railway Accidents - 2100 hrs to 2400 hrs. (Night),Railway Accidents - Total,Total (Traffic Accidents) - 0000 hrs to 0300 hrs. (Night),Total (Traffic Accidents) - 0300 hrs to 0600 hrs. (Night),Total (Traffic Accidents) - 0600 hrs to 0900 hrs. (Day),Total (Traffic Accidents) - 0900 hrs to 1200 hrs. (Day),Total (Traffic Accidents) - 1200 hrs to 1500 hrs. (Day),Total (Traffic Accidents) - 1500 hrs to 1800 hrs. (Day),Total (Traffic Accidents) - 1800 hrs to 2100 hrs. (Night),Total (Traffic Accidents) - 2100 hrs to 2400 hrs. (Night),Total (Traffic Accidents) - Total
24,State,Telangana,1299,1240,1912,2460,2797,3479,3988,1997,19172,0,0,0,0,0,0,0,0,0,17,18,87,78,38,42,31,22,333,1316,1258,1999,2538,2835,3521,4019,2019,19505
25,State,Tripura,8,4,46,99,85,110,70,44,466,3,1,4,3,2,2,3,5,23,0,0,0,0,0,2,0,0,2,11,5,50,102,87,114,73,49,491
26,State,Uttar Pradesh,2472,2755,3208,3967,3619,4336,4894,3402,28653,46,42,48,46,55,49,42,52,380,209,253,239,190,138,145,201,185,1560,2727,3050,3495,4203,3812,4530,5137,3639,30593
27,State,Uttarakhand,76,79,105,137,177,178,180,118,1050,0,0,0,0,0,0,1,2,3,0,0,1,0,0,0,2,2,5,76,79,106,137,177,178,183,122,1058
28,State,West Bengal,781,813,1199,1709,1714,1793,1740,1094,10843,0,1,9,34,10,22,7,0,83,62,132,275,348,152,222,255,59,1505,843,946,1483,2091,1876,2037,2002,1153,12431
Total (States),Total (States),Total (States),17879,20053,37235,51654,53120,61154,68503,34645,344243,84,114,133,150,125,143,134,129,1012,1007,1215,2007,2096,1537,1609,1706,1306,12483,18970,21382,39375,53900,54782,62906,70343,36080,357738
29,Union Territories,A & N Islands,1,3,10,14,28,29,41,15,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,14,28,29,41,15,141
30,Union Territories,Chandigarh,8,6,15,12,14,24,40,38,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,15,12,14,24,40,38,157
31,Union Territories,D & N Haveli and Daman & Diu,3,2,8,10,16,22,17,20,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,10,16,22,17,20,98
32,Union Territories,Delhi (UT),446,340,470,558,454,533,655,731,4187,0,0,0,0,0,1,0,1,2,84,53,81,59,64,62,62,61,526,530,393,551,617,518,596,717,793,4715
33,Union Territories,Jammu & Kashmir,99,154,601,908,1018,1024,778,279,4861,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,1,0,9,99,154,605,908,1021,1025,779,279,4870
34,Union Territories,Ladakh,0,2,17,33,33,25,19,10,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,33,33,25,19,10,139
35,Union Territories,Lakshadweep,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
36,Union Territories,Puducherry,112,123,106,121,130,115,130,132,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,123,106,121,130,115,130,132,969
