Si. No.,Category,State/UT/City,Road Accidents - Jan,Road Accidents - Feb,Road Accidents - Mar,Road Accidents - April,Road Accidents - May,Road Accidents - June,Road Accidents - July,Road Accidents - Aug,Road Accidents - Sept,Road Accidents - Oct,Road Accidents - Nov,Road Accidents - Dec,Road Accidents - Total,Railway Crossing Accidents - Jan,Railway Crossing Accidents - Feb,Railway Crossing Accidents - Mar,Railway Crossing Accidents - April,Railway Crossing Accidents - May,Railway Crossing Accidents - June,Railway Crossing Accidents - July,Railway Crossing Accidents - Aug,Railway Crossing Accidents - Sept,Railway Crossing Accidents - Oct,Railway Crossing Accidents - Nov,Railway Crossing Accidents - Dec,Railway Crossing Accidents - Total,Railway Accidents - Jan,Railway Accidents - Feb,Railway Accidents - Mar,Railway Accidents - April,Railway Accidents - May,Railway Accidents - June,Railway Accidents - July,Railway Accidents - Aug,Railway Accidents - Sept,Railway Accidents - Oct,Railway Accidents - Nov,Railway Accidents - Dec,Railway Accidents - Total,Total Traffic Accidents - Jan,Total Traffic Accidents - Feb,Total Traffic Accidents - Mar,Total Traffic Accidents - April,Total Traffic Accidents - May,Total Traffic Accidents - June,Total Traffic Accidents - July,Total Traffic Accidents - Aug,Total Traffic Accidents - Sept,Total Traffic Accidents - Oct,Total Traffic Accidents - Nov,Total Traffic Accidents - Dec,Total Traffic Accidents - Total
46,City,Chandigarh (City),17,17,11,4,9,7,16,17,12,18,14,15,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,11,4,9,7,16,17,12,18,14,15,157
47,City,Chennai,471,476,456,85,196,188,291,382,447,477,468,452,4389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,476,456,85,196,188,291,382,447,477,468,452,4389
48,City,Coimbatore,70,74,71,15,32,48,54,58,77,63,74,71,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,74,71,15,32,48,54,58,77,63,74,71,707
49,City,Delhi (City),476,392,379,95,165,249,343,357,366,449,367,390,4028,0,0,0,0,0,0,0,0,0,1,1,0,2,74,87,73,12,23,34,40,34,41,45,39,24,526,550,479,452,107,188,283,383,391,407,495,407,414,4556
50,City,Dhanbad,13,15,15,4,9,12,14,14,7,13,22,26,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,15,4,9,12,14,14,7,13,22,26,164
51,City,Durg Bhilainagar,82,69,44,31,46,36,47,59,46,67,50,26,603,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,1,0,0,0,0,0,0,0,0,0,14,88,76,45,31,46,36,47,59,46,67,50,26,617
52,City,Faridabad,65,48,46,7,24,30,37,47,45,46,63,66,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,48,46,7,24,30,37,47,45,46,63,66,524
53,City,Ghaziabad,15,22,12,3,12,7,18,10,15,15,7,18,154,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,0,0,1,3,1,2,2,21,19,27,15,3,12,7,18,11,18,16,9,20,175
54,City,Gwalior,114,133,84,12,33,62,76,81,106,99,101,112,1013,1,1,2,4,2,2,1,2,1,2,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,115,134,86,16,35,64,77,83,107,101,103,113,1034
55,City,Hyderabad,276,259,192,53,115,114,119,154,174,162,232,214,2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,276,259,192,53,115,114,119,154,174,162,233,214,2065
56,City,Indore,312,263,218,18,53,101,141,140,196,207,245,207,2101,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,1,0,2,2,11,314,264,218,18,54,102,141,141,197,207,247,209,2112
57,City,Jabalpur,238,202,148,28,58,153,155,156,154,198,230,196,1916,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,0,5,1,2,2,0,2,2,4,30,243,207,150,28,63,154,157,158,154,200,232,200,1946
58,City,Jaipur,263,234,161,27,84,135,175,146,180,181,171,183,1940,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,13,3,3,5,7,8,7,10,6,9,101,281,246,174,30,87,140,182,154,187,191,177,192,2041
59,City,Jamshedpur,15,10,14,2,7,4,11,6,14,7,15,14,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,14,2,7,4,11,6,14,7,15,14,119
60,City,Jodhpur,52,61,35,9,13,33,39,42,41,49,58,49,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,61,35,9,13,33,39,42,41,49,58,49,481
61,City,Kannur,85,89,45,5,13,33,35,33,26,44,49,47,504,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,2,0,2,10,88,90,46,5,13,33,36,33,26,46,49,49,514
62,City,Kanpur,44,25,16,42,45,36,41,27,31,33,44,34,418,2,5,0,3,1,3,0,6,2,3,4,5,34,7,1,0,5,10,2,0,0,5,0,1,0,31,53,31,16,50,56,41,41,33,38,36,49,39,483
63,City,Kochi,191,172,159,22,73,115,60,89,92,115,140,132,1360,7,2,3,0,0,2,1,2,0,0,2,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,198,174,162,22,73,117,61,91,92,115,142,133,1380
64,City,Kolkata,225,203,172,42,47,99,115,136,162,175,157,150,1683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,203,172,42,47,99,115,136,162,175,157,150,1683
65,City,Kollam,177,191,138,19,78,93,94,109,118,133,135,126,1411,1,2,3,0,1,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,1,178,193,141,19,79,93,94,110,118,133,135,127,1420
