Si. No.,Category,State/UT,Road Accidents - 2018,Road Accidents - 2019,Road Accidents - % Var,Railway Accidents - 2018,Railway Accidents - 2019,Railway Accidents - % Var,Railway Crossing Accidents - 2018,Railway Crossing Accidents - 2019,Railway Crossing Accidents - % Var,Total Traffic Accidents - 2018,Total Traffic Accidents - 2019,Total Traffic Accidents - % Var,% Share
58,City,Jaipur,3045,1940,-36.3,136,101,-25.7,0,0,NA,3181,2041,-35.8,4.2
59,City,Jamshedpur,191,119,-37.7,0,0,NA,0,0,NA,191,119,-37.7,0.2
60,City,Jodhpur,686,481,-29.9,0,0,NA,0,0,NA,686,481,-29.9,1
61,City,Kannur,657,504,-23.3,30,10,-66.7,0,0,NA,687,514,-25.2,1
62,City,Kanpur,1053,418,-60.3,0,31,NA,91,34,-62.6,1144,483,-57.8,1
63,City,Kochi,2138,1360,-36.4,0,0,NA,16,20,25,2154,1380,-35.9,2.8
64,City,Kolkata,2068,1683,-18.6,0,0,NA,0,0,NA,2068,1683,-18.6,3.4
65,City,Kollam,1940,1411,-27.3,0,1,NA,23,8,-65.2,1963,1420,-27.7,2.9
66,City,Kota,491,353,-28.1,0,0,NA,0,0,NA,491,353,-28.1,0.7
67,City,Kozhikode,1597,1003,-37.2,11,10,-9.1,8,0,-100,1616,1013,-37.3,2.1
68,City,Lucknow,879,1010,14.9,56,3,-94.6,3,8,166.7,938,1021,8.8,2.1
69,City,Ludhiana,526,388,-26.2,0,0,NA,0,0,NA,526,388,-26.2,0.8
70,City,Madurai,866,530,-38.8,0,0,NA,0,0,NA,866,530,-38.8,1.1
71,City,Malappuram,838,612,-27,4,0,-100,0,0,NA,842,612,-27.3,1.2
72,City,Meerut,511,377,-26.2,0,0,NA,17,14,-17.6,528,391,-25.9,0.8
73,City,Mumbai,588,418,-28.9,2,0,-100,0,0,NA,590,418,-29.2,0.9
74,City,Nagpur,1119,890,-20.5,46,31,-32.6,0,0,NA,1165,921,-20.9,1.9
75,City,Nasik,189,98,-48.1,34,22,-35.3,0,0,NA,223,120,-46.2,0.2
76,City,Patna,524,373,-28.8,0,0,NA,0,0,NA,524,373,-28.8,0.8
