Category,State/UT/City,Road Accidents_0000 hrs to 0300 hrs. (Night),Road Accidents_0300 hrs to 0600 hrs. (Night),Road Accidents_0600 hrs to 0900 hrs. (Day),Road Accidents_0900 hrs to 1200 hrs. (Day),Road Accidents_1200 hrs to 1500 hrs. (Day),Road Accidents_1500 hrs to 1800 hrs. (Day),Road Accidents_1800 hrs to 2100 hrs. (Night),Road Accidents_2100 hrs to 2400 hrs. (Night),Road Accidents_Total,Railway Crossing Accidents_0000 hrs to 0300 hrs. (Night),Railway Crossing Accidents_0300 hrs to 0600 hrs. (Night),Railway Crossing Accidents_0600 hrs to 0900 hrs. (Day),Railway Crossing Accidents_0900 hrs to 1200 hrs. (Day),Railway Crossing Accidents_1200 hrs to 1500 hrs. (Day),Railway Crossing Accidents_1500 hrs to 1800 hrs. (Day),Railway Crossing Accidents_1800 hrs to 2100 hrs. (Night),Railway Crossing Accidents_2100 hrs to 2400 hrs. (Night),Railway Crossing Accidents_Total,Railway Accidents_0000 hrs to 0300 hrs. (Night),Railway Accidents_0300 hrs to 0600 hrs. (Night),Railway Accidents_0600 hrs to 0900 hrs. (Day),Railway Accidents_0900 hrs to 1200 hrs. (Day),Railway Accidents_1200 hrs to 1500 hrs. (Day),Railway Accidents_1500 hrs to 1800 hrs. (Day),Railway Accidents_1800 hrs to 2100 hrs. (Night),Railway Accidents_2100 hrs to 2400 hrs. (Night),Railway Accidents_Total,Total (Traffic Accidents)_0000 hrs to 0300 hrs. (Night),Total (Traffic Accidents)_0300 hrs to 0600 hrs. (Night),Total (Traffic Accidents)_0600 hrs to 0900 hrs. (Day),Total (Traffic Accidents)_0900 hrs to 1200 hrs. (Day),Total (Traffic Accidents)_1200 hrs to 1500 hrs. (Day),Total (Traffic Accidents)_1500 hrs to 1800 hrs. (Day),Total (Traffic Accidents)_1800 hrs to 2100 hrs. (Night),Total (Traffic Accidents)_2100 hrs to 2400 hrs. (Night),Total (Traffic Accidents)_Total
State,ANDHRA PRADESH,858,1206,2311,2864,3261,3679,4425,2073,20677,0,0,0,0,0,0,0,0,0,89,67,357,430,220,147,114,87,1511,947,1273,2668,3294,3481,3826,4539,2160,22188
State,ARUNACHAL PRADESH,12,12,17,24,24,52,43,16,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,17,24,24,52,43,16,200
State,ASSAM,443,548,958,1481,1244,1420,1122,839,8055,0,0,1,1,1,1,0,1,5,35,68,74,78,90,96,80,70,591,478,616,1033,1560,1335,1517,1202,910,8651
State,BIHAR,566,1665,1627,1630,1201,1485,1255,578,10007,22,59,21,29,20,28,26,36,241,130,155,224,250,192,215,178,245,1589,718,1879,1872,1909,1413,1728,1459,859,11837
State,CHHATTISGARH,563,632,1515,2107,2226,2598,2882,1376,13899,0,1,0,0,0,0,0,0,1,31,55,75,64,67,73,59,42,466,594,688,1590,2171,2293,2671,2941,1418,14366
State,GOA,245,150,306,528,563,595,635,418,3440,0,0,0,0,0,0,0,0,0,5,7,6,8,3,7,6,8,50,250,157,312,536,566,602,641,426,3490
State,GUJARAT,906,808,1643,2586,2576,2750,3396,1838,16503,0,0,0,0,0,0,0,0,0,80,91,151,136,113,131,169,123,994,986,899,1794,2722,2689,2881,3565,1961,17497
State,HARYANA,740,927,1281,1477,1552,1738,1946,1276,10937,12,13,9,19,16,16,12,7,104,134,119,248,190,154,174,192,151,1362,886,1059,1538,1686,1722,1928,2150,1434,12403
State,HIMACHAL PRADESH,136,91,220,372,430,575,679,393,2896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,91,220,372,430,575,679,393,2896
State,JAMMU & KASHMIR,191,250,531,1088,1182,1145,935,473,5795,0,0,0,0,0,0,0,0,0,1,6,7,5,7,6,11,1,44,192,256,538,1093,1189,1151,946,474,5839
State,JHARKHAND,317,499,708,828,837,804,809,415,5217,0,0,0,1,1,0,0,0,2,32,42,67,87,89,65,57,44,483,349,541,775,916,927,869,866,459,5702
State,KARNATAKA,1870,2052,4319,6026,6590,7164,8197,4426,40644,3,3,2,3,2,4,2,3,22,0,0,0,0,0,0,0,0,0,1873,2055,4321,6029,6592,7168,8199,4429,40666
State,KERALA,1063,1394,4866,7312,6199,7862,7962,3286,39944,23,26,12,13,12,20,34,20,160,27,35,41,32,15,32,35,33,250,1113,1455,4919,7357,6226,7914,8031,3339,40354
State,MADHYA PRADESH,2720,2467,4936,7616,8884,9284,9767,5967,51641,30,28,34,21,33,29,21,34,230,203,201,194,181,176,184,184,185,1508,2953,2696,5164,7818,9093,9497,9972,6186,53379
State,MAHARASHTRA,2047,2040,2694,3771,4107,4509,4801,3317,27286,0,0,0,0,0,0,0,0,0,476,444,873,974,794,893,1061,823,6338,2523,2484,3567,4745,4901,5402,5862,4140,33624
State,MANIPUR,14,16,81,101,127,127,143,63,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,81,101,127,127,143,63,672
State,MEGHALAYA,17,22,25,28,33,39,36,36,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,25,28,33,39,36,36,236
State,MIZORAM,3,7,3,9,4,12,9,10,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,9,4,12,9,10,57
State,NAGALAND,0,1,3,6,5,5,5,1,26,0,0,4,0,1,0,1,2,8,0,0,0,0,0,0,0,0,0,0,1,7,6,6,5,6,3,34
State,ODISHA,1023,1193,1399,1367,1359,1456,1485,1782,11064,0,0,0,0,0,0,0,0,0,32,60,74,70,58,35,62,53,444,1055,1253,1473,1437,1417,1491,1547,1835,11508
State,PUNJAB,347,414,705,824,867,967,1215,977,6316,0,0,0,0,0,0,0,0,0,41,27,206,168,126,122,128,75,893,388,441,911,992,993,1089,1343,1052,7209
State,RAJASTHAN,1048,1200,2503,3395,4022,4702,4369,2239,23478,0,0,0,0,0,0,0,0,0,54,67,106,129,110,132,116,89,803,1102,1267,2609,3524,4132,4834,4485,2328,24281
State,SIKKIM,5,6,11,28,37,33,41,11,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11,28,37,33,41,11,172
State,TAMIL NADU,2008,2781,6768,8190,8109,9971,13143,6258,57228,0,0,2,0,1,0,2,0,5,132,153,515,477,246,266,273,204,2266,2140,2934,7285,8667,8356,10237,13418,6462,59499
State,TELANGANA,1124,991,2227,3105,3260,4131,4489,2243,21570,0,0,0,0,0,0,0,0,0,48,33,129,162,70,61,67,56,626,1172,1024,2356,3267,3330,4192,4556,2299,22196
State,TRIPURA,13,8,59,128,133,149,114,51,655,1,3,5,4,4,3,4,3,27,0,1,2,1,0,1,0,0,5,14,12,66,133,137,153,118,54,687
State,UTTAR PRADESH,3612,3701,4401,4953,4962,5476,5823,4609,37537,46,112,147,120,107,125,132,62,851,450,534,597,509,475,458,508,449,3980,4108,4347,5145,5582,5544,6059,6463,5120,42368
State,UTTARAKHAND,115,116,152,185,209,202,200,173,1352,2,2,0,0,1,0,0,3,8,5,5,3,3,4,3,9,9,41,122,123,155,188,214,205,209,185,1401
State,WEST BENGAL,944,992,1345,1821,1742,1990,1979,1420,12233,0,5,27,22,19,20,19,1,113,119,237,424,404,600,515,460,117,2876,1063,1234,1796,2247,2361,2525,2458,1538,15222
State,TOTAL (STATES),22950,26189,47614,63850,65745,74920,81905,46564,429737,139,252,264,233,218,246,253,172,1777,2124,2407,4373,4358,3609,3616,3769,2864,27120,25213,28848,52251,68441,69572,78782,85927,49600,458634
UT,A & NISLANDS,9,3,26,39,42,43,42,26,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,26,39,42,43,42,26,230
UT,CHANDIGARH,16,7,46,36,39,43,65,52,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,46,36,39,43,65,52,304
UT,D & N HAVELI,1,0,5,4,16,18,13,11,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,16,18,13,11,68
UT,DAMAN & DIU,8,3,1,4,8,14,12,13,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,4,8,14,12,13,63
UT,DELHI (UT),521,482,645,708,669,735,946,895,5601,0,2,2,1,3,1,1,1,11,52,78,145,110,121,109,147,96,858,573,562,792,819,793,845,1094,992,6470
UT,LAKSHADWEEP,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
UT,PUDUCHERRY,180,185,180,190,201,190,114,152,1392,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,2,9,183,185,180,190,201,190,118,154,1401
UT,TOTAL (UTs),735,680,903,982,975,1043,1192,1149,7659,0,2,2,1,3,1,1,1,11,55,78,145,110,121,109,151,98,867,790,760,1050,1093,1099,1153,1344,1248,8537
TOTAL (ALL INDIA),TOTAL (ALL INDIA),23685,26869,48517,64832,66720,75963,83097,47713,437396,139,254,266,234,221,247,254,173,1788,2179,2485,4518,4468,3730,3725,3920,2962,27987,26003,29608,53301,69534,70671,79935,87271,50848,467171
City,AGRA,15,28,43,33,40,40,47,46,292,1,4,7,10,6,6,5,3,42,0,0,0,0,0,0,0,0,0,16,32,50,43,46,46,52,49,334
City,AHMEDABAD,84,48,124,237,224,208,261,194,1380,0,0,0,0,0,0,0,0,0,4,0,3,2,4,3,5,3,24,88,48,127,239,228,211,266,197,1404
City,ALLAHABAD,87,83,122,86,93,99,123,83,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,83,122,86,93,99,123,83,776
City,AMRITSAR,7,3,16,20,22,15,31,19,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,16,20,22,15,31,19,133
City,ASANSOL,27,27,52,81,45,71,83,56,442,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,1,7,27,27,54,84,45,71,84,57,449
City,AURANGABAD,32,45,68,79,96,73,59,64,516,0,0,0,0,0,0,0,0,0,2,6,8,7,5,4,7,2,41,34,51,76,86,101,77,66,66,557
City,BENGALURU,255,298,612,715,773,701,762,568,4684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,298,612,715,773,701,762,568,4684
City,BHOPAL,206,251,256,451,601,367,198,186,2516,2,0,0,1,2,1,2,4,12,1,0,3,1,3,3,5,4,20,209,251,259,453,606,371,205,194,2548
City,CHANDIGARH (CITY),16,7,46,36,39,43,65,52,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,46,36,39,43,65,52,304
City,CHENNAI,348,386,871,1086,958,1068,1100,1054,6871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,386,871,1086,958,1068,1100,1054,6871
City,COIMBATORE,37,48,147,178,153,170,191,138,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,48,147,178,153,170,191,138,1062
City,DELHI (CITY),493,462,613,674,639,694,906,868,5349,0,2,2,1,3,1,1,1,11,52,78,145,110,121,109,147,96,858,545,542,760,785,763,804,1054,965,6218
City,DHANBAD,8,14,15,33,7,9,81,4,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,15,33,7,9,81,4,171
City,DURG BHILAINAGAR,83,78,72,74,76,73,62,15,533,0,0,0,0,0,0,0,0,0,5,3,4,5,5,4,5,3,34,88,81,76,79,81,77,67,18,567
City,FARIDABAD,43,53,80,92,104,87,155,122,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,53,80,92,104,87,155,122,736
City,GHAZIABAD,3,7,12,57,23,18,45,32,197,0,0,0,0,0,0,0,0,0,8,7,9,7,9,7,4,8,59,11,14,21,64,32,25,49,40,256
City,GWALIOR,41,36,83,215,228,217,225,173,1218,2,3,4,3,6,4,3,4,29,0,0,0,0,0,0,0,0,0,43,39,87,218,234,221,228,177,1247
City,HYDERABAD,107,202,400,472,404,513,504,298,2900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,202,400,472,404,513,504,298,2900
City,INDORE,223,176,407,495,511,500,602,422,3336,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,3,2,13,223,176,410,497,514,500,605,424,3349
City,JABALPUR,56,25,245,335,224,436,525,321,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,25,245,335,224,436,525,321,2167
City,JAIPUR,248,242,442,486,476,484,371,296,3045,0,0,0,0,0,0,0,0,0,10,14,21,21,19,16,20,15,136,258,256,463,507,495,500,391,311,3181
City,JAMSHEDPUR,15,13,29,35,31,33,21,14,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,29,35,31,33,21,14,191
City,JODHPUR,25,30,100,82,140,157,94,58,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,30,100,82,140,157,94,58,686
City,KANNUR,22,18,83,131,86,114,140,63,657,0,0,0,0,0,0,0,0,0,5,5,4,2,2,4,5,3,30,27,23,87,133,88,118,145,66,687
City,KANPUR,117,108,140,142,104,130,168,144,1053,0,9,17,11,14,19,21,0,91,0,0,0,0,0,0,0,0,0,117,117,157,153,118,149,189,144,1144
City,KOCHI,190,57,269,416,316,338,354,198,2138,5,3,0,2,2,0,1,3,16,0,0,0,0,0,0,0,0,0,195,60,269,418,318,338,355,201,2154
City,KOLKATA,130,130,180,263,282,362,362,359,2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,180,263,282,362,362,359,2068
City,KOLLAM,37,58,250,298,295,369,417,216,1940,7,9,1,0,0,1,2,3,23,0,0,0,0,0,0,0,0,0,44,67,251,298,295,370,419,219,1963
City,KOTA,12,7,39,64,88,109,104,68,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,39,64,88,109,104,68,491
City,KOZHIKODE,37,49,192,300,235,354,298,132,1597,0,0,0,2,2,0,2,2,8,1,2,1,2,0,1,3,1,11,38,51,193,304,237,355,303,135,1616
City,LUCKNOW,97,102,102,123,112,32,131,180,879,0,1,0,1,0,0,1,0,3,10,4,2,4,2,8,18,8,56,107,107,104,128,114,40,150,188,938
City,LUDHIANA,32,22,53,65,65,71,131,87,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,22,53,65,65,71,131,87,526
City,MADURAI,28,48,81,132,146,149,158,124,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,48,81,132,146,149,158,124,866
City,MALAPPURAM,20,34,106,160,124,169,159,66,838,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,4,20,34,107,162,124,169,159,67,842
City,MEERUT,41,33,42,51,65,86,98,95,511,1,2,1,3,2,0,4,4,17,0,0,0,0,0,0,0,0,0,42,35,43,54,67,86,102,99,528
City,MUMBAI,57,65,71,77,84,77,71,86,588,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,57,65,71,78,85,77,71,86,590
City,NAGPUR,55,54,108,187,171,188,189,167,1119,0,0,0,0,0,0,0,0,0,3,2,10,7,3,3,11,7,46,58,56,118,194,174,191,200,174,1165
City,NASIK,22,19,21,27,27,18,31,24,189,0,0,0,0,0,0,0,0,0,4,3,4,3,5,6,5,4,34,26,22,25,30,32,24,36,28,223
City,PATNA,113,38,21,6,21,30,25,270,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,38,21,6,21,30,25,270,524
City,PUNE,27,27,30,45,46,41,46,46,308,0,0,0,0,0,0,0,0,0,3,1,5,5,5,4,4,2,29,30,28,35,50,51,45,50,48,337
City,RAIPUR,49,48,89,204,204,205,255,203,1257,0,0,0,0,0,0,0,0,0,6,7,6,4,7,4,5,3,42,55,55,95,208,211,209,260,206,1299
City,RAJKOT,27,16,48,95,100,114,115,60,575,0,0,0,0,0,0,0,0,0,0,0,2,3,5,4,3,2,19,27,16,50,98,105,118,118,62,594
City,RANCHI,13,51,38,34,52,45,95,26,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,51,38,34,52,45,95,26,354
City,SRINAGAR,0,0,9,154,116,28,3,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,154,116,28,3,0,310
City,SURAT,36,28,89,139,136,139,168,130,865,0,0,0,0,0,0,0,0,0,3,4,2,3,2,2,7,2,25,39,32,91,142,138,141,175,132,890
City,THIRUVANANTHAPURAM,75,84,266,321,201,310,289,158,1704,0,0,3,5,0,1,7,0,16,0,0,0,0,0,0,0,0,0,75,84,269,326,201,311,296,158,1720
City,THRISSUR,42,72,275,454,280,448,450,189,2210,0,0,0,0,0,0,0,0,0,1,1,6,12,3,6,1,6,36,43,73,281,466,283,454,451,195,2246
City,TIRUCHIRAPPALLI,19,31,65,90,63,80,107,62,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,31,65,90,63,80,107,62,517
City,VADODARA,51,25,86,121,107,78,118,93,679,0,0,0,0,0,0,0,0,0,1,4,2,2,2,0,4,1,16,52,29,88,123,109,78,122,94,695
City,VARANASI,12,14,16,23,16,25,26,28,160,0,0,0,0,0,0,0,0,0,2,3,4,3,2,1,3,2,20,14,17,20,26,18,26,29,30,180
City,VASAI VIRAR,29,49,41,31,44,46,54,41,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,49,41,31,44,46,54,41,335
City,VIJAYAWADA,102,91,144,226,225,256,281,174,1499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,91,144,226,225,256,281,174,1499
City,VISHAKHAPATNAM,65,69,124,143,164,135,183,83,966,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,1,6,65,70,124,144,166,135,184,84,972
City,TOTAL (CITIES),4016,4009,7933,10574,9882,10622,11537,8655,67228,18,33,35,39,37,33,49,24,268,121,145,247,212,210,189,267,177,1568,4155,4187,8215,10825,10129,10844,11853,8856,69064
