Category,State/UT,Below 14 years - Male,Below 14 years - Female,Below 14 years - Transgender,Below 14 years - Total,14 and Above-Below 18 years - Male,14 and Above-Below 18 years - Female,14 and Above-Below 18 years - Transgender,14 and Above-Below 18 years - Total,18 and Above-Below 30 years - Male,18 and Above-Below 30 years - Female,18 and Above-Below 30 years - Transgender,18 and Above-Below 30 years - Total,30 and Above-Below 45 years - Male,30 and Above-Below 45 years - Female,30 and Above-Below 45 years - Transgender,30 and Above-Below 45 years - Total,45 and Above-Below 60 years - Male,45 and Above-Below 60 years - Female,45 and Above-Below 60 years - Transgender,45 and Above-Below 60 years - Total,60 years & Above - Male,60 years & Above - Female,60 years & Above - Transgender,60 years & Above - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
UT,Delhi,64,33,0,97,55,15,0,70,887,121,0,1008,965,97,1,1063,605,97,0,702,195,50,0,245,2771,413,1,3185
UT,Jammu and Kashmir,43,9,0,52,46,26,0,72,389,96,0,485,411,64,0,475,207,35,0,242,51,9,0,60,1147,239,0,1386
UT,Ladakh,0,0,0,0,2,0,0,2,61,3,0,64,71,8,0,79,7,0,0,7,0,1,0,1,141,12,0,153
UT,Lakshadweep,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,1,0,0,1,6,0,0,6
UT,Puducherry,10,9,0,19,79,5,0,84,59,29,0,88,186,42,0,228,247,29,0,276,146,76,0,222,727,190,0,917
UT,Total (UTs),147,63,0,210,216,56,0,272,1582,286,0,1868,1877,246,1,2124,1232,180,0,1412,467,157,0,624,5521,988,1,6510
Total (All India),Total (All India),10193,5317,0,15510,18525,5365,0,23890,83654,17564,6,101224,103115,19810,18,122943,73756,14603,8,88367,34948,10647,1,45596,324191,73306,33,397530
City,Agra,2,0,0,2,8,0,0,8,97,9,0,106,62,15,0,77,44,3,0,47,9,0,0,9,222,27,0,249
City,Ahmedabad,34,25,0,59,18,14,0,32,242,62,0,304,590,70,0,660,474,74,0,548,224,64,0,288,1582,309,0,1891
City,Allahabad,31,2,0,33,80,10,0,90,83,20,0,103,55,15,0,70,51,13,0,64,17,8,0,25,317,68,0,385
City,Amritsar,1,2,0,3,11,1,0,12,57,8,0,65,76,10,0,86,98,7,0,105,72,7,0,79,315,35,0,350
City,Asansol,12,8,0,20,17,10,0,27,206,45,0,251,272,46,0,318,248,53,0,301,94,64,0,158,849,226,0,1075
City,Aurangabad,13,16,0,29,12,7,0,19,98,28,0,126,243,45,0,288,240,34,0,274,136,35,0,171,742,165,0,907
City,Bengaluru,66,40,0,106,44,15,0,59,561,106,0,667,1023,151,1,1175,855,111,0,966,489,151,0,640,3038,574,1,3613
City,Bhopal,43,13,0,56,30,13,0,43,115,34,0,149,174,31,0,205,127,26,0,153,84,19,0,103,573,136,0,709
City,Chandigarh (City),12,6,0,18,22,8,0,30,94,23,0,117,96,17,0,113,59,8,0,67,30,4,0,34,313,66,0,379
City,Chennai,44,13,0,57,38,5,0,43,314,34,1,349,356,55,0,411,351,82,1,434,295,120,0,415,1398,309,2,1709
City,Coimbatore,3,6,0,9,9,1,0,10,86,12,0,98,133,21,0,154,147,33,0,180,118,34,0,152,496,107,0,603
City,Delhi (City),63,32,0,95,52,13,0,65,855,120,0,975,921,95,1,1017,584,96,0,680,192,50,0,242,2667,406,1,3074
City,Dhanbad,0,0,0,0,4,3,0,7,92,12,0,104,61,3,0,64,4,5,0,9,3,2,0,5,164,25,0,189
City,Durg Bhilainagar,20,8,0,28,12,0,0,12,103,18,0,121,155,27,0,182,172,31,0,203,99,37,0,136,561,121,0,682
City,Faridabad,28,24,0,52,48,16,0,64,606,105,0,711,239,35,0,274,106,22,0,128,39,14,0,53,1066,216,0,1282
City,Ghaziabad,19,1,0,20,29,7,0,36,50,12,0,62,60,13,0,73,47,4,0,51,31,1,0,32,236,38,0,274
City,Gwalior,4,8,0,12,6,5,0,11,65,7,0,72,104,11,0,115,53,9,0,62,17,13,0,30,249,53,0,302
City,Hyderabad,21,12,0,33,54,15,0,69,173,30,0,203,174,45,0,219,139,34,0,173,51,27,0,78,612,163,0,775
City,Indore,35,23,0,58,34,14,0,48,248,67,0,315,263,48,0,311,199,32,0,231,80,23,0,103,859,207,0,1066
City,Jabalpur,16,9,0,25,49,30,0,79,112,83,0,195,162,64,0,226,110,40,0,150,20,8,0,28,469,234,0,703
City,Jaipur,28,22,0,50,54,24,0,78,540,103,0,643,655,72,0,727,428,45,0,473,123,23,0,146,1828,289,0,2117
City,Jamshedpur,11,6,0,17,25,6,0,31,73,25,0,98,101,36,0,137,57,16,0,73,17,9,0,26,284,98,0,382
City,Jodhpur,1,0,0,1,24,5,0,29,158,22,0,180,214,32,0,246,166,11,0,177,90,9,0,99,653,79,0,732
City,Kannur,5,2,0,7,4,2,0,6,47,5,0,52,89,11,0,100,139,14,0,153,61,25,0,86,345,59,0,404
City,Kanpur,9,1,0,10,38,6,0,44,347,65,0,412,431,105,0,536,274,47,0,321,40,10,0,50,1139,234,0,1373
City,Kochi,8,8,0,16,5,2,0,7,69,9,0,78,120,16,1,137,157,17,0,174,99,20,0,119,458,72,1,531
City,Kolkata,0,0,0,0,2,0,0,2,41,12,0,53,88,19,0,107,87,24,0,111,25,6,0,31,243,61,0,304
City,Kollam,2,3,0,5,8,2,0,10,72,8,0,80,124,22,0,146,212,39,0,251,157,32,0,189,575,106,0,681
City,Kota,2,3,0,5,4,3,0,7,66,9,0,75,112,15,0,127,103,10,0,113,22,5,0,27,309,45,0,354
City,Kozhikode,15,8,0,23,4,0,0,4,65,8,0,73,75,11,0,86,161,35,0,196,154,53,0,207,474,115,0,589
City,Lucknow,11,5,0,16,29,14,0,43,265,22,0,287,218,40,0,258,63,7,0,70,16,2,0,18,602,90,0,692
City,Ludhiana,19,13,0,32,15,10,0,25,223,38,0,261,403,46,0,449,309,22,0,331,135,10,0,145,1104,139,0,1243
City,Madurai,10,6,0,16,7,3,0,10,64,11,0,75,101,22,0,123,126,21,0,147,122,39,0,161,430,102,0,532
City,Malappuram,11,7,0,18,6,3,0,9,36,7,0,43,54,11,0,65,85,11,0,96,60,17,0,77,252,56,0,308
City,Meerut,1,1,0,2,6,2,0,8,47,6,0,53,66,8,0,74,13,5,0,18,14,0,0,14,147,22,0,169
City,Mumbai,151,162,0,313,95,43,0,138,688,220,1,909,1716,374,1,2091,1680,342,1,2023,999,432,0,1431,5329,1573,3,6905
City,Nagpur,26,11,0,37,22,13,0,35,211,45,0,256,498,79,0,577,503,90,0,593,338,80,0,418,1598,318,0,1916
City,Nasik,5,2,0,7,7,3,0,10,72,14,0,86,165,37,0,202,157,122,0,279,28,3,0,31,434,181,0,615
City,Patna,0,0,0,0,47,19,0,66,71,31,0,102,55,45,0,100,8,33,0,41,0,0,0,0,181,128,0,309
City,Pune,61,85,0,146,67,19,0,86,328,72,0,400,775,158,0,933,668,148,0,816,384,135,0,519,2283,617,0,2900
City,Raipur,28,16,0,44,15,4,0,19,186,49,0,235,284,65,2,351,186,27,0,213,107,28,0,135,806,189,2,997
City,Rajkot,8,3,0,11,76,15,0,91,267,95,0,362,234,95,0,329,302,77,0,379,100,20,0,120,987,305,0,1292
City,Ranchi,2,0,0,2,46,11,0,57,42,27,0,69,28,22,0,50,36,25,0,61,97,33,0,130,251,118,0,369
City,Srinagar,3,0,0,3,2,0,0,2,31,19,0,50,45,3,0,48,50,9,0,59,16,2,0,18,147,33,0,180
City,Surat,33,22,0,55,40,18,0,58,498,62,0,560,797,82,0,879,429,72,0,501,193,42,0,235,1990,298,0,2288
City,Thiruvananthapuram,6,4,0,10,3,3,0,6,51,4,0,55,149,13,0,162,186,29,0,215,114,40,0,154,509,93,0,602
City,Thrissur,22,12,0,34,7,1,0,8,65,8,0,73,111,14,0,125,218,33,0,251,187,54,0,241,610,122,0,732
City,Tiruchirappalli,5,0,0,5,1,1,0,2,27,2,0,29,48,6,0,54,46,8,0,54,38,15,0,53,165,32,0,197
City,Vadodara,7,5,0,12,8,3,0,11,125,16,0,141,189,28,0,217,191,26,0,217,90,19,0,109,610,97,0,707
City,Varanasi,0,0,0,0,23,6,0,29,82,61,0,143,82,41,0,123,41,17,0,58,27,5,0,32,255,130,0,385
City,Vasai Virar,24,16,0,40,26,3,0,29,149,46,0,195,269,53,1,323,169,32,0,201,76,32,0,108,713,182,1,896
City,Vijayawada,13,3,0,16,16,2,0,18,109,10,0,119,130,22,0,152,135,37,0,172,64,24,0,88,467,98,0,565
City,Vishakhapatnam,13,6,0,19,23,14,0,37,215,52,0,267,255,64,0,319,216,48,0,264,75,33,0,108,797,217,0,1014
City,Total (Cities),1007,680,0,1687,1332,447,0,1779,9587,2018,2,11607,13900,2484,7,16391,11709,2216,2,13927,6168,1938,0,8106,43703,9783,11,53497
