S.No.,State/UT,Year,Total Accidental Deaths,Truck/Lorry/Mini Truck - Died,Bus - Died,SUV/Car/Jeep - Died,Tractor - Died,Three Wheeler/Auto Rickshaw - Died,Two Wheeler - Died,Other Motor Vehicles - Died,January,February,March,April,May,June,July,August,September,October,November,December,0000 hrs to 0300 hrs (Night),0300 hrs to 0600 hrs (Night),0600 hrs to 0900 hrs (Day),0900 hrs to 1200 hrs (Day),1200 hrs to 1500 hrs (Day),1500 hrs to 1800 hrs (Day),1800 hrs to 2100 hrs (Night),2100 hrs to 2400 hrs (Night),National Highways - Died,State Highways - Died,Expressways - Died,Other Roads - Died,Total - Died,Rural Area - School/College - Total,Rural Area - Residential - Total,Rural Area - Religious - Total,Rural Area - Recreation - Total,Rural Area - Factory - Total,Rural Area - Others - Total,Rural Area - Sub Total,Urban Area - School/College - Total,Urban Area - Residential - Total,Urban Area - Religious - Total,Urban Area - Recreation - Total,Urban Area - Factory - Total,Urban Area - Pedestrian Crossing - Total,Urban Area - Others - Total,Urban Area - Sub Total,Grand Total,Total Night Accidents,Total Day Accidents,Night %,Total Vehicle Deaths,Two Wheeler %,Peak Season,Climate Zone,Population (Lakhs),Deaths per Lakh
14,Jammu and Kashmir,2015,1284,151,119,236,32,19,121,245,410,391,407,441,533,490,561,524,514,555,522,499,136,318,473,800,1412,1292,977,439,374,76,0,473,923,14,192,21,0,16,436,679,8,39,4,7,7,7,172,244,923,1870,3977,32.0,923,13.1,Monsoon,Alpine/Cold,133.06,9.6
15,Jharkhand,2015,4819,513,304,492,80,256,1158,90,444,406,458,436,533,511,383,372,391,395,396,437,228,505,702,1075,690,909,688,365,1224,783,101,785,2893,263,844,141,48,177,57,1530,224,505,89,116,91,292,46,1363,2893,1786,3376,34.6,2893,40.0,Monsoon,Tropical Wet & Dry,382.93,12.6
16,Karnataka,2015,20065,1345,856,2014,354,576,3836,1876,3970,3594,3705,3657,4077,3619,3378,3334,3481,3731,3624,3841,2976,3132,4577,6695,6724,7652,7712,4543,3794,3027,21,4015,10857,298,604,309,101,300,4997,6609,285,570,195,174,272,468,2284,4248,10857,18363,25648,41.7,10857,35.3,Monsoon,Tropical Wet & Dry,673.62,29.8
17,Kerala,2015,8635,399,434,677,5,233,1565,883,3613,3270,3229,3114,3329,3124,3153,3226,3229,3257,3084,3386,901,1410,4945,7101,5786,8537,7419,2915,1387,939,0,1870,4196,168,542,91,48,86,1249,2184,87,514,74,70,81,113,1073,2012,4196,12645,26369,32.4,4196,37.3,Monsoon,Heavy Rainfall,354.99,24.3
18,Lakshadweep,2015,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3,0,0.0,Winter,Coastal/Humid,0.73,5.5
19,Madhya Pradesh,2015,30513,1606,733,2212,698,224,3125,1160,3401,3020,3541,3952,4033,3573,2991,3041,2978,3494,3444,3391,2047,2569,4288,7260,7166,7599,6409,3521,2750,2923,117,3968,9758,358,2610,164,76,123,2211,5542,309,1732,184,104,208,349,1330,4216,9758,14546,26313,35.6,9758,32.0,Monsoon,Tropical Wet & Dry,853.58,35.7
20,Maharashtra,2015,51435,2252,540,2200,338,592,5632,2131,3571,3445,3657,3700,3992,3435,3283,3255,3267,3439,3423,3783,3079,2868,4576,6005,6171,6944,7355,5252,3577,4053,198,5857,13685,234,1412,321,24,292,6749,9032,264,1160,186,128,239,396,2280,4653,13685,18554,23696,43.9,13685,41.2,Monsoon,Tropical Wet & Dry,1242.21,41.4
21,Manipur,2015,240,37,6,34,1,3,25,23,43,57,66,62,64,55,42,38,47,58,63,73,14,7,38,122,133,158,150,46,89,25,0,15,129,13,67,0,0,7,11,98,2,13,2,0,1,11,2,31,129,217,451,32.5,129,19.4,Summer,Heavy Rainfall,32.37,7.4
22,Meghalaya,2015,369,77,14,47,1,6,36,24,47,32,27,31,38,25,42,37,35,38,33,36,34,30,29,57,51,73,69,78,139,30,0,36,205,10,56,2,0,10,72,150,1,17,0,0,9,0,28,55,205,211,210,50.1,205,17.6,Monsoon,Heavy Rainfall,32.11,11.5
23,Mizoram,2015,153,24,0,12,1,0,17,11,10,9,6,7,5,7,5,3,5,1,7,6,5,5,8,2,8,13,22,8,23,36,0,6,65,1,15,0,0,0,14,30,0,19,0,0,0,0,16,35,65,40,31,56.3,65,26.2,Winter,Heavy Rainfall,12.39,12.3
24,Nagaland,2015,84,6,1,28,0,4,8,0,3,1,3,4,2,4,5,4,3,6,2,5,5,5,3,6,6,7,8,2,22,10,0,15,47,0,1,0,0,0,35,36,0,0,0,0,0,2,9,11,47,20,22,47.6,47,17.0,Monsoon,Heavy Rainfall,21.89,3.8
25,Odisha,2015,9887,718,366,672,177,216,1357,797,976,891,1000,904,929,940,772,726,750,784,864,1006,684,986,1289,1500,1493,1848,1637,1105,1635,1610,47,1011,4303,144,345,88,75,140,1513,2305,99,211,43,60,117,96,1372,1998,4303,4412,6130,41.9,4303,31.5,Monsoon,Tropical Wet & Dry,463.56,21.3
26,Puducherry,2015,789,16,18,36,4,4,50,107,128,115,125,130,133,129,135,131,134,123,123,124,101,112,206,203,201,190,316,201,149,19,0,67,235,15,25,26,20,25,0,111,5,90,5,14,3,3,4,124,235,730,800,47.7,235,21.3,Monsoon,Coastal/Humid,16.73,47.2
