S.No.,State/UT,Year,Total Accidental Deaths,Truck/Lorry/Mini Truck - Died,Bus - Died,SUV/Car/Jeep - Died,Tractor - Died,Three Wheeler/Auto Rickshaw - Died,Two Wheeler - Died,Other Motor Vehicles - Died,January,February,March,April,May,June,July,August,September,October,November,December,0000 hrs to 0300 hrs (Night),0300 hrs to 0600 hrs (Night),0600 hrs to 0900 hrs (Day),0900 hrs to 1200 hrs (Day),1200 hrs to 1500 hrs (Day),1500 hrs to 1800 hrs (Day),1800 hrs to 2100 hrs (Night),2100 hrs to 2400 hrs (Night),National Highways - Died,State Highways - Died,Expressways - Died,Other Roads - Died,Total - Died,Rural Area - School/College - Total,Rural Area - Residential - Total,Rural Area - Religious - Total,Rural Area - Recreation - Total,Rural Area - Factory - Total,Rural Area - Others - Total,Rural Area - Sub Total,Urban Area - School/College - Total,Urban Area - Residential - Total,Urban Area - Religious - Total,Urban Area - Recreation - Total,Urban Area - Factory - Total,Urban Area - Pedestrian Crossing - Total,Urban Area - Others - Total,Urban Area - Sub Total,Grand Total,Total Night Accidents,Total Day Accidents,Night %,Total Vehicle Deaths,Two Wheeler %,Peak Season,Climate Zone,Population (Lakhs),Deaths per Lakh
67,Tripura,2016,738,18,9,50,1,16,44,35,65,47,59,50,53,32,46,34,36,50,45,40,4,9,66,124,101,93,103,57,68,56,0,49,173,6,40,5,3,3,55,112,5,17,5,2,20,8,4,61,173,173,384,31.1,173,25.4,Summer,Heavy Rainfall,40.99,18.0
68,Uttar Pradesh,2016,32761,5981,2096,4470,833,951,4060,615,2795,2546,2728,2579,2597,2526,2376,2382,2204,2492,2618,2765,2628,3139,4064,4040,3752,4536,5160,3289,6374,5411,423,6798,19006,1865,5146,770,226,569,4009,12585,740,2530,337,182,431,155,2046,6421,19006,14216,16392,46.4,19006,21.4,Monsoon,Tropical Wet & Dry,2352.88,13.9
69,Uttarakhand,2016,1584,146,66,315,49,51,235,54,118,123,140,156,136,139,130,103,115,137,113,135,65,219,352,216,196,237,136,124,390,298,0,228,916,42,106,19,14,6,163,350,52,106,63,27,52,22,244,566,916,544,1001,35.2,916,25.7,Monsoon,Alpine/Cold,115.18,13.8
70,West Bengal,2016,16974,1953,892,975,207,230,1478,915,1407,1404,1442,1334,1446,1535,1421,1351,1348,1400,1352,1509,1125,1419,2133,2016,2666,2856,2815,1919,2667,2096,98,1789,6650,152,1592,59,100,199,2113,4215,164,1110,95,200,120,201,545,2435,6650,7278,9671,42.9,6650,22.2,Monsoon,Heavy Rainfall,1004.07,16.9
71,Andaman and Nicobar Islands,2017,187,6,0,7,1,0,7,0,22,21,12,17,10,16,9,17,15,17,20,13,3,7,20,27,33,41,39,19,7,9,0,5,21,0,9,0,0,0,2,11,2,3,1,0,0,0,4,10,21,68,121,36.0,21,33.3,Monsoon,Coastal/Humid,3.97,47.1
72,Andhra Pradesh,2017,17238,1340,573,1094,487,819,2689,1058,1967,1728,1968,1879,2042,1903,1733,1771,1799,1865,1936,1865,1320,1636,2695,3225,3599,3817,3883,2281,3027,1871,0,3162,8060,704,1795,154,188,135,3038,6014,144,703,84,102,156,180,677,2046,8060,9120,13336,40.6,8060,33.4,Monsoon,Tropical Wet & Dry,495.63,34.8
73,Arunachal Pradesh,2017,233,9,2,29,1,1,21,9,15,5,6,8,10,13,8,13,10,14,12,13,1,3,7,22,23,31,34,6,22,27,0,23,72,4,16,1,0,0,31,52,0,8,1,0,0,1,10,20,72,44,83,34.6,72,29.2,Monsoon,Alpine/Cold,15.84,14.7
74,Assam,2017,4790,468,204,579,22,135,903,286,625,675,621,507,539,509,470,524,515,598,614,608,441,537,864,1226,1030,1131,919,657,1337,467,1,792,2597,119,414,105,25,28,746,1437,161,328,145,118,125,14,269,1160,2597,2554,4251,37.5,2597,34.8,Monsoon,Heavy Rainfall,351.07,13.6
75,Bihar,2017,11797,906,527,1253,223,373,1817,455,737,758,758,791,969,859,641,597,602,653,789,701,430,841,1545,1776,1283,1398,1103,479,2338,1798,0,1418,5554,679,1691,122,59,25,424,3000,347,1430,70,155,134,73,345,2554,5554,2853,6002,32.2,5554,32.7,Monsoon,Tropical Wet & Dry,1239.26,9.5
76,Chandigarh,2017,300,5,6,33,0,15,43,10,34,23,33,36,21,24,34,22,23,32,34,20,23,11,56,77,37,59,42,31,1,0,0,111,112,0,0,0,0,0,0,0,6,6,3,2,9,3,83,112,112,107,229,31.8,112,38.4,Monsoon,Hot & Dry,11.58,25.9
77,Chhattisgarh,2017,18098,729,210,606,259,52,1523,757,1289,1109,1151,1037,1137,1193,1022,1095,1104,1076,1164,1186,644,1138,1701,2047,2233,2402,2385,1013,1178,1011,0,1947,4136,97,696,54,21,42,1658,2568,73,517,56,87,79,51,705,1568,4136,5180,8383,38.2,4136,36.8,Monsoon,Tropical Wet & Dry,292.36,61.9
78,Dadra and Nagar Haveli and Daman and Diu,2017,306,7,3,9,0,7,37,16,17,12,16,10,19,8,16,8,8,9,9,14,7,1,8,12,26,35,33,24,5,0,0,74,79,2,11,1,6,19,30,69,0,3,0,1,1,1,4,10,79,65,81,44.5,79,46.8,Summer,Coastal/Humid,6.86,44.6
79,Delhi,2017,4911,275,96,466,10,92,426,273,595,544,559,537,568,510,545,546,561,616,548,543,747,701,724,730,802,871,1037,1060,323,145,0,1170,1638,12,38,6,2,17,196,271,100,371,24,24,40,54,754,1367,1638,3545,3127,53.1,1638,26.0,Monsoon,Hot & Dry,190.14,25.8
80,Goa,2017,843,25,5,32,0,1,220,51,373,332,355,296,316,276,293,294,291,340,344,410,284,227,337,561,617,753,685,456,118,33,0,183,334,7,127,21,8,13,91,267,8,25,2,0,5,1,26,67,334,1652,2268,42.1,334,65.9,Monsoon,Heavy Rainfall,15.86,53.2
81,Gujarat,2017,24541,1292,225,1814,136,549,2680,967,1593,1629,1672,1606,1806,1581,1237,1408,1424,1625,1515,1535,1172,1190,2152,2863,2732,3144,3364,2014,2080,2248,156,3179,7663,396,1816,255,154,497,2384,5502,188,958,109,90,225,49,542,2161,7663,7740,10891,41.5,7663,35.0,Monsoon,Hot & Dry,709.04,34.6
82,Haryana,2017,15218,872,242,1294,174,173,1316,1398,912,891,1003,970,1027,936,934,875,924,1043,1081,1086,911,1177,1433,1459,1545,1678,2038,1441,1778,1457,25,2209,5469,182,1061,110,71,331,1819,3574,102,362,56,52,307,296,720,1895,5469,5567,6115,47.7,5469,24.1,Monsoon,Hot & Dry,283.57,53.7
83,Himachal Pradesh,2017,3249,151,132,567,33,36,229,32,213,217,250,245,287,247,277,289,277,268,276,265,176,164,387,477,413,532,577,385,526,103,0,551,1180,194,398,51,19,59,96,817,43,190,25,10,35,20,40,363,1180,1302,1809,41.9,1180,19.4,Monsoon,Alpine/Cold,73.31,44.3
84,Jammu and Kashmir,2017,1354,129,86,319,18,5,191,128,334,362,436,395,461,480,522,467,541,501,502,442,166,286,533,915,1226,1246,786,285,398,118,0,360,876,30,270,15,2,10,253,580,18,44,4,5,15,12,198,296,876,1523,3920,28.0,876,21.8,Monsoon,Alpine/Cold,133.06,10.2
85,Jharkhand,2017,6113,307,203,627,52,185,1792,90,472,435,461,401,470,452,380,364,361,413,485,504,335,373,696,888,816,785,875,430,1183,1076,73,924,3256,345,491,273,372,183,17,1681,299,460,192,269,297,32,26,1575,3256,2013,3185,38.7,3256,55.0,Monsoon,Tropical Wet & Dry,382.93,16.0
86,Karnataka,2017,23618,1486,753,2182,344,567,4895,382,3787,3411,3574,3601,3997,3519,3179,3308,3247,3558,3501,3860,2450,2650,4948,6543,6786,7534,7137,4494,3829,3079,0,3701,10609,303,772,129,241,129,5580,7154,214,568,128,135,220,150,2040,3455,10609,16731,25811,39.3,10609,46.1,Monsoon,Tropical Wet & Dry,673.62,35.1
87,Kerala,2017,11808,241,281,526,3,212,1815,1053,3430,3157,3167,3175,3480,2918,3028,3143,3169,3125,3308,3370,897,1730,6165,6871,6211,8056,6751,1789,1336,878,0,1917,4131,291,1030,199,103,60,1057,2740,168,715,98,52,53,84,221,1391,4131,11167,27303,29.0,4131,43.9,Monsoon,Heavy Rainfall,354.99,33.3
88,Lakshadweep,2017,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0,0,0.0,Monsoon,Coastal/Humid,0.73,8.2
89,Madhya Pradesh,2017,40611,1408,583,2096,700,275,4015,1366,4318,3979,4172,4305,4728,4152,3713,3599,3665,3973,4273,3713,1962,1748,4626,7831,8683,9085,9410,5245,2446,3002,0,4995,10443,294,2536,251,99,224,3345,6749,339,1467,271,144,274,76,1123,3694,10443,18365,30225,37.8,10443,38.4,Monsoon,Tropical Wet & Dry,853.58,47.6
90,Maharashtra,2017,64637,2016,641,2183,289,511,5758,1622,2575,2203,2670,2513,2785,2375,2162,2042,2155,2292,2363,2688,1874,1999,3012,4265,4370,4806,5034,3463,3571,3887,169,5393,13020,339,2296,297,63,350,4313,7658,314,2398,353,193,486,208,1410,5362,13020,12370,16453,42.9,13020,44.2,Monsoon,Tropical Wet & Dry,1242.21,52.0
91,Manipur,2017,278,25,13,40,0,5,27,22,49,61,55,39,48,50,43,47,50,40,56,48,4,17,50,99,124,124,117,51,95,28,0,9,132,8,43,1,7,2,20,81,12,32,1,4,0,0,2,51,132,189,397,32.3,132,20.5,Monsoon,Heavy Rainfall,32.37,8.6
92,Meghalaya,2017,477,121,14,46,0,8,37,6,29,29,24,28,25,15,28,16,15,20,28,29,31,27,30,33,41,31,54,39,160,25,6,41,232,4,73,68,0,5,43,193,1,13,2,1,0,0,22,39,232,151,135,52.8,232,15.9,Winter,Heavy Rainfall,32.11,14.9
93,Mizoram,2017,216,23,1,27,0,1,14,1,6,6,5,11,5,6,2,1,7,9,3,4,4,5,11,11,9,10,10,5,32,31,0,4,67,3,32,4,0,0,0,39,3,21,1,3,0,0,0,28,67,24,41,36.9,67,20.9,Summer,Heavy Rainfall,12.39,17.4
94,Nagaland,2017,84,24,2,14,0,1,4,0,3,3,9,5,6,4,10,4,2,6,3,5,2,1,6,11,11,11,13,5,29,7,0,9,45,1,5,1,0,0,7,14,7,19,0,0,1,0,4,31,45,21,39,35.0,45,8.9,Summer,Heavy Rainfall,21.89,3.8
95,Odisha,2017,14326,533,159,1013,87,257,1677,897,1012,783,1023,914,965,978,875,789,779,857,888,992,953,1068,1122,1481,1601,1753,1707,1170,1999,1331,60,1233,4623,103,527,39,133,140,1268,2210,91,305,83,269,52,159,1454,2413,4623,4898,5957,45.1,4623,36.3,Monsoon,Tropical Wet & Dry,463.56,30.9
96,Puducherry,2017,1552,20,27,29,7,1,93,50,136,132,148,129,140,150,150,140,145,152,137,134,88,84,220,241,254,278,307,221,183,26,0,18,227,183,26,0,0,0,0,209,0,0,0,0,0,0,18,18,227,700,993,41.3,227,41.0,Monsoon,Coastal/Humid,16.73,92.8
97,Punjab,2017,9833,565,269,1150,77,230,1813,499,535,538,599,588,500,491,496,423,471,602,543,536,428,451,827,807,931,972,1132,774,1735,1232,0,1636,4603,231,1138,166,97,138,865,2635,217,633,152,146,270,52,498,1968,4603,2785,3537,44.1,4603,39.4,Monsoon,Hot & Dry,303.57,32.4
98,Rajasthan,2017,27832,1716,670,3153,620,211,2820,1254,1940,1814,1948,1911,2115,1879,1684,1721,1725,1860,1928,1587,923,1154,2180,3257,3937,4382,4057,2222,3875,1996,27,4546,10444,232,1276,123,7,192,5985,7815,157,614,115,92,248,125,1278,2629,10444,8356,13756,37.8,10444,27.0,Monsoon,Hot & Dry,815.03,34.1
99,Sikkim,2017,294,7,4,41,0,0,2,9,17,14,23,15,23,13,6,14,16,13,10,7,13,8,17,20,36,29,30,18,19,27,0,17,63,1,13,3,0,1,27,45,0,6,0,0,1,0,11,18,63,69,102,40.4,63,3.2,Summer,Alpine/Cold,6.91,42.5
100,Tamil Nadu,2017,28093,2506,1856,3615,340,478,5322,2040,5752,5288,5716,5251,5715,5623,5737,5640,5302,5484,4908,5146,2308,3613,7897,9402,9404,11666,14486,6786,5892,5691,0,4574,16157,908,2966,779,1079,757,3366,9855,626,2105,390,407,923,479,1372,6302,16157,27193,38369,41.5,16157,32.9,Monsoon,Tropical Wet & Dry,772.34,36.4
101,Telangana,2017,11552,882,257,1110,277,570,2875,625,1970,1851,1929,1973,2143,1792,1679,1729,1688,1692,1995,2043,1210,1239,2162,3188,3250,4174,4688,2573,1954,1357,0,3285,6596,141,287,52,214,190,2531,3415,392,573,232,353,276,290,1065,3181,6596,9710,12774,43.2,6596,43.6,Monsoon,Tropical Wet & Dry,384.67,30.0
102,Tripura,2017,739,30,9,31,0,11,39,43,42,40,39,44,54,35,39,36,45,37,41,52,11,22,43,101,76,111,88,52,72,60,0,31,163,16,32,7,15,1,41,112,12,12,5,4,2,1,15,51,163,173,331,34.3,163,23.9,Monsoon,Heavy Rainfall,40.99,18.0
103,Uttar Pradesh,2017,34760,5026,1946,4687,782,1088,5906,1326,3076,2696,2995,2900,3121,2869,2635,2619,2633,2846,2903,3286,3026,3351,4387,4801,4717,4848,5489,3960,6949,6331,629,6852,20761,2890,4748,661,325,538,3611,12773,1647,2956,486,399,478,241,1781,7988,20761,15826,18753,45.8,20761,28.4,Monsoon,Tropical Wet & Dry,2352.88,14.8
104,Uttarakhand,2017,1581,161,116,305,18,18,129,171,131,116,133,129,154,137,124,114,129,128,142,143,113,107,165,205,231,265,264,230,454,219,0,245,918,37,71,20,11,20,278,437,95,63,31,29,58,20,185,481,918,714,866,45.2,918,14.1,Monsoon,Alpine/Cold,115.18,13.7
105,West Bengal,2017,15109,1797,584,1005,113,220,1224,869,1248,1097,1224,1166,1161,1203,1070,953,984,1020,1109,1075,827,1215,1588,2072,2069,2020,1992,1527,1908,1682,44,2178,5812,149,1017,84,71,139,2158,3618,145,653,76,175,200,163,782,2194,5812,5561,7749,41.8,5812,21.1,Monsoon,Heavy Rainfall,1004.07,15.0
106,Andaman and Nicobar Islands,2018,183,5,4,4,0,1,5,0,21,27,17,18,21,14,22,32,15,26,20,21,6,10,35,38,40,48,52,25,8,6,0,5,19,2,5,1,0,0,6,14,1,2,1,0,0,0,1,5,19,93,161,36.6,19,26.3,Monsoon,Coastal/Humid,3.97,46.1
107,Andhra Pradesh,2018,16599,1100,441,877,356,710,2837,1263,1956,1813,1941,1875,2049,1777,1865,1642,1362,1553,1497,1678,1241,1462,2309,2933,3229,3705,4007,2122,2848,1829,18,2889,7584,431,1655,212,210,162,2799,5469,162,853,121,152,146,97,584,2115,7584,8832,12176,42.0,7584,37.4,Monsoon,Tropical Wet & Dry,495.63,33.5
108,Arunachal Pradesh,2018,304,36,1,71,5,2,21,27,33,13,18,20,19,15,16,19,12,18,15,31,12,12,18,28,30,63,43,23,35,71,0,57,163,2,25,1,0,0,78,106,9,10,4,0,4,0,30,57,163,90,139,39.3,163,12.9,Winter,Alpine/Cold,15.84,19.2
109,Assam,2018,5031,405,213,692,45,141,780,436,622,541,548,583,647,639,545,585,570,603,602,695,385,721,999,1166,985,1225,1002,697,1361,634,22,695,2712,165,521,84,77,22,710,1579,133,302,63,69,167,21,378,1133,2712,2805,4375,39.1,2712,28.8,Monsoon,Heavy Rainfall,351.07,14.3
110,Bihar,2018,11635,945,741,1553,201,534,2269,486,767,754,779,866,965,863,741,695,655,778,883,854,477,1131,1714,1851,1483,1329,1065,550,3210,1613,0,1906,6729,493,2338,144,57,25,672,3729,189,1840,93,267,84,77,450,3000,6729,3223,6377,33.6,6729,33.7,Monsoon,Tropical Wet & Dry,1239.26,9.4
111,Chandigarh,2018,242,4,2,67,0,15,7,6,31,26,40,26,26,15,27,24,25,28,25,24,19,10,52,73,33,52,43,35,8,0,0,93,101,0,0,0,0,0,0,0,5,36,10,14,8,2,26,101,101,107,210,33.8,101,6.9,Summer,Hot & Dry,11.58,20.9
112,Chhattisgarh,2018,18601,910,191,657,257,81,1730,767,1493,1170,1190,1168,1177,1138,1162,1074,989,1117,1085,1102,673,721,1571,1859,2183,2643,2924,1291,1306,1075,0,2212,4593,176,853,67,40,24,1628,2788,126,582,97,40,63,100,797,1805,4593,5609,8256,40.5,4593,37.7,Monsoon,Tropical Wet & Dry,292.36,63.6
113,Dadra and Nagar Haveli and Daman and Diu,2018,300,31,2,11,0,6,33,7,18,17,18,10,12,9,14,11,8,11,15,8,8,2,9,20,19,27,41,25,0,22,0,68,90,12,33,1,9,8,5,68,3,15,1,3,0,0,0,22,90,76,75,50.3,90,36.7,Winter,Coastal/Humid,6.86,43.7
114,Delhi,2018,5103,272,109,491,5,94,498,265,518,505,594,590,510,506,542,565,515,590,522,560,793,675,738,745,731,817,1059,959,264,110,0,1360,1734,8,78,0,1,19,153,259,68,498,48,20,32,65,744,1475,1734,3486,3031,53.5,1734,28.7,Monsoon,Hot & Dry,190.14,26.8
115,Goa,2018,738,9,3,29,0,0,184,39,344,350,320,333,319,308,261,248,269,305,310,343,279,212,389,564,538,632,648,448,121,22,0,121,264,6,111,20,8,5,56,206,4,23,11,0,5,0,15,58,264,1587,2123,42.8,264,69.7,Monsoon,Heavy Rainfall,15.86,46.5
116,Gujarat,2018,24653,1321,249,1955,123,524,2955,913,1620,1512,1615,1625,1735,1565,1342,1377,1342,1494,1655,1532,1182,1101,1929,2862,2990,3129,3271,1950,2116,2427,94,3403,8040,392,1779,358,154,549,2352,5584,220,1020,164,132,318,129,473,2456,8040,7504,10910,40.8,8040,36.8,Monsoon,Hot & Dry,709.04,34.8
117,Haryana,2018,15376,869,180,1312,149,194,1493,1232,913,999,1055,1069,949,911,888,955,885,1035,960,1033,883,1053,1360,1535,1733,1661,1923,1504,1963,1334,37,2095,5429,182,1198,104,71,281,1799,3635,104,358,51,65,323,306,587,1794,5429,5363,6289,46.0,5429,27.5,Monsoon,Hot & Dry,283.57,54.2
118,Himachal Pradesh,2018,2806,121,106,490,45,5,259,51,241,214,271,274,237,296,279,248,263,263,254,279,143,106,246,419,462,577,733,433,418,218,0,441,1077,59,454,56,15,66,86,736,32,195,32,25,22,9,26,341,1077,1415,1704,45.4,1077,24.0,Monsoon,Alpine/Cold,73.31,38.3
119,Jammu and Kashmir,2018,1388,128,116,317,25,26,215,159,459,399,461,482,551,547,503,586,513,566,474,456,232,338,509,999,1182,1276,979,482,400,119,0,467,986,16,243,21,4,44,348,676,14,74,19,5,32,4,162,310,986,2031,3966,33.9,986,21.8,Monsoon,Alpine/Cold,133.06,10.4
120,Jharkhand,2018,6199,388,334,711,68,357,1573,111,517,436,421,489,509,471,429,408,390,452,418,454,243,304,762,953,830,976,883,443,1141,1217,55,1129,3542,289,752,241,503,206,83,2074,244,414,207,316,164,67,56,1468,3542,1873,3521,34.7,3542,44.4,Monsoon,Tropical Wet & Dry,382.93,16.2
121,Karnataka,2018,24829,1153,740,1945,232,568,5020,1332,3936,3473,3552,3526,3703,3466,3261,3227,3158,3214,3432,3759,2137,2465,4411,6069,6428,7355,8238,4604,3936,3084,0,3970,10990,118,776,118,65,119,6072,7268,199,407,74,102,192,143,2605,3722,10990,17444,24263,41.8,10990,45.7,Monsoon,Tropical Wet & Dry,673.62,36.9
122,Kerala,2018,12016,235,214,517,6,213,2052,1066,3655,3433,3448,3326,3592,3200,3045,2918,3278,3302,3449,3535,914,1075,4736,7396,6182,8011,8382,3485,1248,876,0,2179,4303,236,1194,226,95,34,1043,2828,132,916,87,41,41,61,197,1475,4303,13856,26325,34.5,4303,47.7,Monsoon,Heavy Rainfall,354.99,33.8
123,Lakshadweep,2018,6,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,33.3,1,100.0,Summer,Coastal/Humid,0.73,8.2
124,Madhya Pradesh,2018,41682,1521,649,2119,661,273,4277,1927,4709,3800,4117,4309,4369,4111,3658,3545,3473,3939,3636,3803,2432,2166,4282,7376,8329,8641,8988,5255,2637,3432,0,5358,11427,403,2887,335,145,252,3359,7381,341,1531,305,163,367,161,1178,4046,11427,18841,28628,39.7,11427,37.4,Monsoon,Tropical Wet & Dry,853.58,48.8
125,Maharashtra,2018,68451,2020,544,2249,278,620,6389,1763,2562,2343,2572,2590,2808,2373,1995,2201,2321,2643,2626,2706,2088,2187,2945,3961,4453,4809,5351,3946,3867,3951,107,5938,13863,323,3057,171,71,341,3986,7949,327,2762,268,224,403,201,1729,5914,13863,13572,16168,45.6,13863,46.1,Monsoon,Tropical Wet & Dry,1242.21,55.1
126,Manipur,2018,285,40,4,30,0,5,39,17,53,46,53,43,40,44,43,48,38,49,71,74,36,31,59,82,96,116,130,52,79,29,0,27,135,8,57,2,1,0,26,94,6,22,0,3,0,4,6,41,135,249,353,41.4,135,28.9,Winter,Heavy Rainfall,32.37,8.8
127,Meghalaya,2018,440,65,5,65,1,17,33,10,37,22,22,20,17,19,22,17,19,16,26,21,24,16,18,37,38,48,43,34,107,29,14,46,196,5,48,27,2,11,48,141,9,22,5,1,0,4,14,55,196,117,141,45.3,196,16.8,Winter,Heavy Rainfall,32.11,13.7
128,Mizoram,2018,181,10,11,21,0,8,10,2,3,0,3,6,8,3,3,5,4,5,6,4,3,5,6,6,7,12,7,4,26,28,0,8,62,2,21,0,0,0,0,23,1,23,1,0,13,0,1,39,62,19,31,38.0,62,16.1,Summer,Heavy Rainfall,12.39,14.6
129,Nagaland,2018,84,12,0,18,0,1,3,1,4,6,8,4,3,6,3,1,4,1,1,9,3,4,5,3,6,10,8,11,20,6,0,9,35,0,7,0,0,0,6,13,2,17,0,0,0,0,3,22,35,26,24,52.0,35,8.6,Winter,Heavy Rainfall,21.89,3.8
130,Odisha,2018,17052,658,190,753,90,312,2143,1090,1029,907,950,953,971,936,863,859,853,937,944,1060,680,780,1174,1584,1718,1993,2207,1126,1996,1329,25,1886,5236,97,537,30,112,55,1622,2453,145,296,37,414,45,32,1814,2783,5236,4793,6469,42.6,5236,40.9,Monsoon,Tropical Wet & Dry,463.56,36.8
131,Puducherry,2018,1213,1,5,8,0,4,99,109,133,107,133,144,148,125,137,127,147,128,127,141,58,88,230,301,151,297,346,126,120,43,0,63,226,65,37,0,0,0,30,132,0,0,0,0,0,0,94,94,226,618,979,38.7,226,43.8,Monsoon,Coastal/Humid,16.73,72.5
132,Punjab,2018,10202,489,260,1269,59,260,1932,469,577,488,504,546,570,500,487,518,500,536,618,580,504,566,818,813,773,881,1257,812,1760,1332,34,1612,4738,292,910,187,116,217,982,2704,235,776,159,137,213,35,479,2034,4738,3139,3285,48.9,4738,40.8,Monsoon,Hot & Dry,303.57,33.6
133,Rajasthan,2018,28261,1504,631,2986,551,208,2983,1457,2053,1727,1922,1980,2062,1738,1679,1625,1756,1795,1873,1533,1112,1281,2150,3116,3565,4123,4184,2212,3762,1874,19,4665,10320,191,1360,82,64,199,5956,7852,169,583,96,72,225,80,1243,2468,10320,8789,12954,40.4,10320,28.9,Monsoon,Hot & Dry,815.03,34.7
134,Sikkim,2018,275,14,0,49,0,1,6,1,12,22,14,11,18,6,17,8,11,29,11,10,14,11,10,23,26,31,35,19,11,32,0,28,71,2,29,3,0,0,20,54,0,7,1,0,1,0,8,17,71,79,90,46.7,71,8.5,Winter,Alpine/Cold,6.91,39.8
135,Tamil Nadu,2018,24433,1938,1471,3068,105,274,3965,1395,5798,5243,5330,5535,5636,5484,5465,5545,5302,5075,4864,4643,2450,3319,7657,9384,9478,11171,14238,6223,4492,4285,0,3439,12216,527,2100,608,820,830,2540,7425,363,999,373,494,686,722,1154,4791,12216,26230,37690,41.0,12216,32.5,Monsoon,Tropical Wet & Dry,772.34,31.6
136,Telangana,2018,10847,881,426,1271,237,433,2828,527,1976,1763,1899,1995,2138,1908,1750,1681,1516,1788,1919,1897,1043,1183,2372,3196,3442,4249,4485,2260,1894,1299,1,3409,6603,145,428,173,217,169,2299,3431,189,913,66,285,166,220,1333,3172,6603,8971,13259,40.4,6603,42.8,Monsoon,Tropical Wet & Dry,384.67,28.2
137,Tripura,2018,686,18,3,49,0,14,63,65,52,38,51,40,44,45,35,34,50,55,51,56,15,7,51,79,88,111,119,81,83,66,0,63,212,12,56,7,5,5,46,131,15,40,4,6,6,0,10,81,212,222,329,40.3,212,29.7,Monsoon,Heavy Rainfall,40.99,16.7
138,Uttar Pradesh,2018,36868,5295,1989,5568,913,1190,6474,1112,3245,3058,3186,3142,3210,3114,2967,2776,2761,2956,3051,3389,3468,3305,4289,4885,4590,5179,6300,4839,6928,6375,764,8474,22541,2484,5610,640,339,479,4498,14050,1490,3096,528,514,582,207,2074,8491,22541,17912,18943,48.6,22541,28.7,Monsoon,Tropical Wet & Dry,2352.88,15.7
139,Uttarakhand,2018,1855,124,154,396,23,7,260,109,135,111,115,126,130,127,115,124,102,110,124,150,107,138,196,178,175,237,260,178,602,285,0,186,1073,58,71,19,19,28,365,560,74,100,25,45,61,26,182,513,1073,683,786,46.5,1073,24.2,Monsoon,Alpine/Cold,115.18,16.1
140,West Bengal,2018,16109,1738,526,904,226,178,1174,723,1084,914,1046,993,969,1047,1006,904,880,973,981,1030,979,1137,1379,1720,1795,1794,1688,1335,2004,1405,63,1997,5469,186,953,51,51,126,1992,3359,137,693,49,88,195,112,836,2110,5469,5139,6688,43.5,5469,21.5,Monsoon,Heavy Rainfall,1004.07,16.0
141,Andaman and Nicobar Islands,2019,198,0,1,0,0,0,13,6,17,14,29,25,14,23,22,14,15,18,20,19,9,3,26,39,42,43,42,26,7,5,0,8,20,1,5,1,0,0,6,13,2,3,1,0,0,0,1,7,20,80,150,34.8,20,65.0,Monsoon,Coastal/Humid,3.97,49.9
142,Andhra Pradesh,2019,17938,1043,469,1298,277,729,3012,1156,1783,1655,1772,1799,1821,1795,1688,1721,1463,1595,1698,1887,858,1206,2311,2864,3261,3679,4425,2073,2997,2080,0,2907,7984,443,1147,218,212,98,2976,5094,167,824,178,220,80,192,1229,2890,7984,8562,12115,41.4,7984,37.7,Monsoon,Tropical Wet & Dry,495.63,36.2
143,Arunachal Pradesh,2019,275,32,0,37,3,1,30,6,25,17,12,19,9,17,22,12,11,17,17,22,12,12,17,24,24,52,43,16,37,38,0,34,109,4,10,1,0,0,50,65,5,11,0,2,0,0,26,44,109,83,117,41.5,109,27.5,Winter,Alpine/Cold,15.84,17.4
144,Assam,2019,5436,299,285,894,41,187,1362,177,748,748,752,648,677,673,566,581,661,658,655,688,443,548,958,1481,1244,1420,1122,839,1479,717,0,1049,3245,318,1168,164,272,32,6,1960,252,626,134,141,132,0,0,1285,3245,2952,5103,36.6,3245,42.0,Monsoon,Heavy Rainfall,351.07,15.5
145,Bihar,2019,15211,1116,551,1177,262,561,2981,557,898,807,928,806,1054,1014,748,746,592,698,893,823,566,1665,1627,1630,1201,1485,1255,578,3403,1854,0,1948,7205,569,2900,254,153,73,142,4091,345,1604,177,418,281,168,121,3114,7205,4064,5943,40.6,7205,41.4,Monsoon,Tropical Wet & Dry,1239.26,12.3
146,Chandigarh,2019,414,2,0,2,0,7,46,47,30,21,22,22,25,26,25,36,14,27,29,27,16,7,46,36,39,43,65,52,13,0,0,91,104,0,2,1,0,0,3,6,2,8,3,8,6,0,71,98,104,140,164,46.1,104,44.2,Monsoon,Hot & Dry,11.58,35.8
147,Chhattisgarh,2019,19789,689,135,548,268,60,2499,804,1389,1236,1122,1236,1273,1178,1172,1025,999,1094,1127,1048,563,632,1515,2107,2226,2598,2882,1376,1455,1146,0,2402,5003,136,1337,42,14,35,2079,3643,42,526,41,13,69,23,646,1360,5003,5453,8446,39.2,5003,50.0,Monsoon,Tropical Wet & Dry,292.36,67.7
