Sl. No.,State/UT/Cities,Rural Area (Near School/College/Educational Institution) - Male,Rural Area (Near School/College/Educational Institution) - Female,Rural Area (Near School/College/Educational Institution) - Transgender,Rural Area (Near School/College/Educational Institution) - Total,Rural Area(Near Residential Area) - Male,Rural Area(Near Residential Area) - Female,Rural Area(Near Residential Area) - Transgender,Rural Area(Near Residential Area) - Total,Rural Area (Near Religious Place) - Male,Rural Area (Near Religious Place) - Female,Rural Area (Near Religious Place) - Transgender,Rural Area (Near Religious Place) - Total,Rural Area (Near Recreation Place/ Cinema Hall) - Male,Rural Area (Near Recreation Place/ Cinema Hall) - Female,Rural Area (Near Recreation Place/ Cinema Hall) - Transgender,Rural Area (Near Recreation Place/ Cinema Hall) - Total,Rural Area (Near Factory) - Male,Rural Area (Near Factory) - Female,Rural Area (Near Factory) - Transgender,Rural Area (Near Factory) - Total,Rural Area (Others) - Male,Rural Area (Others) - Female,Rural Area (Others) - Transgender,Rural Area (Others) - Total,Rural Area (Sub Total) - Male,Rural Area (Sub Total) - Female,Rural Area (Sub Total) - Transgender,Rural Area (Sub Total) - Total,Urban Area (Near School/College/Educational Institution) - Male,Urban Area (Near School/College/Educational Institution) - Female,Urban Area (Near School/College/Educational Institution) - Transgender,Urban Area (Near School/College/Educational Institution) - Total,Urban Area (Near Residential Area) - Male,Urban Area (Near Residential Area) - Female,Urban Area (Near Residential Area) - Transgender,Urban Area (Near Residential Area) - Total,Urban Area (Near Religious Place) - Male,Urban Area (Near Religious Place) - Female,Urban Area (Near Religious Place) - Transgender,Urban Area (Near Religious Place) - Total,Urban Area (Near Recreation Place/Cinema Hall) - Male,Urban Area (Near Recreation Place/Cinema Hall) - Female,Urban Area (Near Recreation Place/Cinema Hall) - Transgender,Urban Area (Near Recreation Place/Cinema Hall) - Total,Urban Area (Near Factory/Industrial Area) - Male,Urban Area (Near Factory/Industrial Area) - Female,Urban Area (Near Factory/Industrial Area) - Transgender,Urban Area (Near Factory/Industrial Area) - Total,Urban Area (At Pedestrian Crossing) - Male,Urban Area (At Pedestrian Crossing) - Female,Urban Area (At Pedestrian Crossing) - Transgender,Urban Area (At Pedestrian Crossing) - Total,Urban Area (Others) - Male,Urban Area (Others) - Female,Urban Area (Others) - Transgender,Urban Area (Others) - Total,Urban Area (Sub Total) - Male,Urban Area (Sub Total) - Female,Urban Area (Sub Total) - Transgender,Urban Area (Sub Total) - Total,Grand Total - Male,Grand Total - Female,Grand Total - Transgender,Grand Total - Total
14,Maharashtra,510,86,0,596,2537,349,0,2886,274,47,0,321,256,23,0,279,512,57,0,569,4536,496,1,5033,8625,1058,1,9684,439,72,0,511,2158,326,1,2485,246,38,0,284,170,18,0,188,453,59,0,512,530,70,0,600,1319,165,0,1484,5315,748,1,6064,13940,1806,2,15748
15,Manipur,2,0,0,2,34,11,0,45,1,0,0,1,9,1,0,10,1,1,0,2,19,1,0,20,66,14,0,80,8,0,0,8,17,2,0,19,0,0,0,0,8,3,0,11,0,0,0,0,6,0,0,6,1,2,0,3,40,7,0,47,106,21,0,127
16,Meghalaya,15,2,0,17,50,11,0,61,9,2,0,11,13,3,0,16,3,0,0,3,4,0,0,4,94,18,0,112,3,0,0,3,29,6,0,35,2,0,0,2,4,0,0,4,4,1,0,5,0,0,0,0,0,1,0,1,42,8,0,50,136,26,0,162
17,Mizoram,1,0,0,1,47,12,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,12,0,60,0,0,0,0,18,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,23,66,17,0,83
18,Nagaland,0,0,0,0,8,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,13,4,0,17,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4,1,0,5,17,5,0,22
19,Odisha,127,15,0,142,263,20,0,283,2,0,0,2,305,34,0,339,250,28,0,278,1177,168,0,1345,2124,265,0,2389,148,8,0,156,371,53,0,424,3,0,0,3,431,38,0,469,13,0,0,13,763,128,0,891,997,128,0,1125,2726,355,0,3081,4850,620,0,5470
20,Punjab,264,44,0,308,1004,105,0,1109,162,12,0,174,75,12,0,87,200,21,0,221,701,79,0,780,2406,273,0,2679,196,14,0,210,490,79,0,569,134,24,0,158,102,29,0,131,206,39,0,245,135,22,0,157,466,73,0,539,1729,280,0,2009,4135,553,0,4688
21,Rajasthan,186,34,0,220,1771,269,0,2040,51,9,0,60,17,7,0,24,153,37,0,190,4702,512,0,5214,6880,868,0,7748,102,25,0,127,666,136,0,802,38,15,0,53,66,15,0,81,202,53,0,255,149,31,0,180,1584,273,0,1857,2807,548,0,3355,9687,1416,0,11103
22,Sikkim,0,1,0,1,37,5,0,42,2,1,0,3,0,0,0,0,0,0,0,0,32,7,0,39,71,14,0,85,0,0,0,0,4,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7,1,0,8,12,1,0,13,83,15,0,98
23,Tamil Nadu,507,91,0,598,1869,340,0,2209,434,72,0,506,928,140,0,1068,676,116,0,792,6595,979,0,7574,11009,1738,0,12747,234,52,0,286,661,119,0,780,151,29,0,180,856,147,1,1004,508,95,1,604,82,18,0,100,1873,310,0,2183,4365,770,2,5137,15374,2508,2,17884
24,Telangana,276,18,0,294,954,189,0,1143,54,10,0,64,85,33,0,118,43,12,0,55,2794,388,0,3182,4206,650,0,4856,107,25,0,132,702,94,0,796,258,20,0,278,107,16,0,123,97,19,0,116,317,84,0,401,748,109,0,857,2336,367,0,2703,6542,1017,0,7559
25,Tripura,9,0,0,9,109,14,0,123,3,1,0,4,10,0,0,10,3,1,0,4,10,5,0,15,144,21,0,165,5,1,0,6,41,6,0,47,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,14,5,0,19,64,12,0,76,208,33,0,241
26,Uttar Pradesh,1456,314,0,1770,4170,764,0,4934,533,153,0,686,273,74,0,347,664,124,0,788,4651,837,0,5488,11747,2266,0,14013,1110,244,0,1354,2430,436,0,2866,399,88,0,487,393,86,0,479,608,97,0,705,598,93,0,691,3002,512,0,3514,8540,1556,0,10096,20287,3822,0,24109
27,Uttarakhand,30,8,0,38,223,38,0,261,18,6,0,24,29,1,0,30,9,1,0,10,140,43,0,183,449,97,0,546,31,11,0,42,253,33,0,286,12,1,0,13,42,8,0,50,26,5,0,31,6,1,0,7,53,14,0,67,423,73,0,496,872,170,0,1042
28,West Bengal,252,22,0,274,1219,187,0,1406,51,8,0,59,35,7,0,42,98,16,0,114,1751,305,0,2056,3406,545,0,3951,76,11,0,87,492,72,0,564,37,17,0,54,16,9,0,25,87,9,0,96,42,9,0,51,854,106,0,960,1604,233,0,1837,5010,778,0,5788
Total (States),Total (States),6130,1061,0,7191,26267,4210,0,30477,5160,1130,0,6290,4826,778,0,5604,4351,666,0,5017,48223,6475,2,54700,94957,14320,2,109279,4080,833,0,4913,13947,2445,1,16393,2742,620,0,3362,3732,668,1,4401,3788,629,1,4418,4820,952,0,5772,17230,2601,1,19832,50339,8748,4,59091,145296,23068,6,168370
29,Andaman and Nicobar Islands,1,0,0,1,8,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,11,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,0,0,5,16,3,0,19
30,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,5,0,0,5,1,1,0,2,0,0,0,0,7,3,0,10,7,1,0,8,45,9,0,54,68,15,0,83,68,15,0,83
31,Dadra and Nagar Haveli and Daman and Diu,5,0,0,5,33,4,0,37,1,2,0,3,2,0,0,2,6,0,0,6,4,0,0,4,51,6,0,57,1,0,0,1,10,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,4,0,0,4,22,1,0,23,73,7,0,80
32,Delhi (UT),1,0,0,1,18,2,0,20,0,0,0,0,0,0,0,0,2,0,0,2,26,0,0,26,47,2,0,49,63,2,0,65,292,31,0,323,31,0,0,31,48,8,0,56,101,4,0,105,83,9,0,92,695,45,0,740,1313,99,0,1412,1360,101,0,1461
33,Jammu and Kashmir,17,3,0,20,126,32,0,158,18,3,0,21,5,3,0,8,14,3,0,17,264,49,0,313,444,93,0,537,20,3,0,23,89,10,0,99,2,1,0,3,3,0,0,3,12,2,0,14,10,3,0,13,118,28,0,146,254,47,0,301,698,140,0,838
34,Ladakh,3,0,0,3,9,2,0,11,0,0,0,0,1,1,0,2,6,0,0,6,1,0,0,1,20,3,0,23,8,0,0,8,16,3,0,19,5,0,0,5,2,0,0,2,0,0,0,0,3,1,0,4,5,0,0,5,39,4,0,43,59,7,0,66
35,Lakshadweep,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
